pvt_bundle,mos_corner,res_corner,temp_c,band_code,vctrl_v,period_s,freq_hz
typ,mos_tt,res_typ,27,00,0.3,2.024444e-09,493962786.81949216
typ,mos_tt,res_typ,27,00,0.9,1.875885e-09,533081718.7620777
typ,mos_tt,res_typ,27,00,1.5,1.526759e-09,654982220.5076244
typ,mos_tt,res_typ,27,00,2.1,1.270005e-09,787398474.8091543
typ,mos_tt,res_typ,27,00,2.7,1.097720e-09,910979120.3585614
typ,mos_tt,res_typ,27,10,0.3,2.024444e-09,493962786.81949216
typ,mos_tt,res_typ,27,10,0.9,1.822716e-09,548631821.9623902
typ,mos_tt,res_typ,27,10,1.5,1.337217e-09,747821782.104176
typ,mos_tt,res_typ,27,10,2.1,1.042432e-09,959295186.6404716
typ,mos_tt,res_typ,27,10,2.7,8.849525e-10,1130004152.7652614
typ,mos_tt,res_typ,27,01,0.3,2.024444e-09,493962786.81949216
typ,mos_tt,res_typ,27,01,0.9,1.792122e-09,557997725.6012704
typ,mos_tt,res_typ,27,01,1.5,1.233190e-09,810905051.1275635
typ,mos_tt,res_typ,27,01,2.1,9.302927e-10,1074930503.0556512
typ,mos_tt,res_typ,27,01,2.7,7.923711e-10,1262034922.7779763
typ,mos_tt,res_typ,27,11,0.3,2.024444e-09,493962786.81949216
typ,mos_tt,res_typ,27,11,0.9,1.772847e-09,564064468.0561831
typ,mos_tt,res_typ,27,11,1.5,1.160043e-09,862037010.6970173
typ,mos_tt,res_typ,27,11,2.1,8.606263e-10,1161944504.8332825
typ,mos_tt,res_typ,27,11,2.7,7.357749e-10,1359111326.0319154
slow,mos_ss,res_wcs,125,00,0.3,2.245878e-09,445260161.05950546
slow,mos_ss,res_wcs,125,00,0.9,2.068742e-09,483385555.0861345
slow,mos_ss,res_wcs,125,00,1.5,1.711116e-09,584413914.6615425
slow,mos_ss,res_wcs,125,00,2.1,1.441027e-09,693949523.4995596
slow,mos_ss,res_wcs,125,00,2.7,1.263745e-09,791298877.5425422
slow,mos_ss,res_wcs,125,10,0.3,2.245878e-09,445260161.05950546
slow,mos_ss,res_wcs,125,10,0.9,2.009915e-09,497533477.7838864
slow,mos_ss,res_wcs,125,10,1.5,1.520758e-09,657566818.6522774
slow,mos_ss,res_wcs,125,10,2.1,1.213193e-09,824271158.8345796
slow,mos_ss,res_wcs,125,10,2.7,1.049245e-09,953066252.4005357
slow,mos_ss,res_wcs,125,01,0.3,2.245878e-09,445260161.05950546
slow,mos_ss,res_wcs,125,01,0.9,1.977480e-09,505694115.7432692
slow,mos_ss,res_wcs,125,01,1.5,1.418342e-09,705048570.7960422
slow,mos_ss,res_wcs,125,01,2.1,1.101955e-09,907478073.0610596
slow,mos_ss,res_wcs,125,01,2.7,9.551381e-10,1046969019.453836
slow,mos_ss,res_wcs,125,11,0.3,2.245878e-09,445260161.05950546
slow,mos_ss,res_wcs,125,11,0.9,1.954692e-09,511589549.6579513
slow,mos_ss,res_wcs,125,11,1.5,1.349111e-09,741228853.6673409
slow,mos_ss,res_wcs,125,11,2.1,1.030799e-09,970121236.0508692
slow,mos_ss,res_wcs,125,11,2.7,8.978397e-10,1113784565.3294234
fast,mos_ff,res_bcs,-40,00,0.3,1.824091e-09,548218263.2335777
fast,mos_ff,res_bcs,-40,00,0.9,1.688235e-09,592334597.9677
fast,mos_ff,res_bcs,-40,00,1.5,1.369366e-09,730264954.7308755
fast,mos_ff,res_bcs,-40,00,2.1,1.133497e-09,882225537.4297419
fast,mos_ff,res_bcs,-40,00,2.7,9.753223e-10,1025302097.5732843
fast,mos_ff,res_bcs,-40,10,0.3,1.824092e-09,548217962.6904783
fast,mos_ff,res_bcs,-40,10,0.9,1.637796e-09,610576653.0141727
fast,mos_ff,res_bcs,-40,10,1.5,1.189999e-09,840336840.6191939
fast,mos_ff,res_bcs,-40,10,2.1,9.220307e-10,1084562585.6058805
fast,mos_ff,res_bcs,-40,10,2.7,7.785599e-10,1284422688.6075175
fast,mos_ff,res_bcs,-40,01,0.3,1.824092e-09,548217962.6904783
fast,mos_ff,res_bcs,-40,01,0.9,1.608558e-09,621674816.8235152
fast,mos_ff,res_bcs,-40,01,1.5,1.087647e-09,919415950.2117875
fast,mos_ff,res_bcs,-40,01,2.1,8.168631e-10,1224195339.4638588
fast,mos_ff,res_bcs,-40,01,2.7,6.918889e-10,1445318749.8744378
fast,mos_ff,res_bcs,-40,11,0.3,1.824092e-09,548217962.6904783
fast,mos_ff,res_bcs,-40,11,0.9,1.587722e-09,629833182.383314
fast,mos_ff,res_bcs,-40,11,1.5,1.016309e-09,983952715.1683198
fast,mos_ff,res_bcs,-40,11,2.1,7.495949e-10,1334053900.313356
fast,mos_ff,res_bcs,-40,11,2.7,6.402163e-10,1561972102.2410705
