pvt_bundle,band_code,kvco_interval,kvco_hz_per_v,fvco_hz,fref_hz,n_div,trim_code,icp_a,fc_hz,pm_deg,fc_ceiling_hz,meets_ceiling,meets_pm45
typ,00,mid,2.031675e+08,5.940320e+08,2.500000e+07,24,2.5u,2.500258e-06,5.399051e+05,2.422,2.500000e+06,yes,no
typ,00,mid,2.031675e+08,5.940320e+08,2.500000e+07,24,5u,5.000325e-06,7.639174e+05,3.424,2.500000e+06,yes,no
typ,00,mid,2.031675e+08,5.940320e+08,2.500000e+07,24,10u,1.000047e-05,1.081439e+06,4.840,2.500000e+06,yes,no
typ,00,mid,2.031675e+08,5.940320e+08,2.500000e+07,24,20u,2.000082e-05,1.532515e+06,6.838,2.500000e+06,yes,no
typ,00,mid,2.031675e+08,5.940320e+08,2.500000e+07,24,40u,4.000269e-05,2.176222e+06,9.653,2.500000e+06,yes,no
typ,00,mid,2.031675e+08,5.940320e+08,2.500000e+07,24,80u,8.004954e-05,3.103814e+06,13.606,2.500000e+06,no,no
typ,00,mid,2.031675e+08,5.940320e+08,1.000000e+07,59,2.5u,2.500258e-06,3.442431e+05,1.545,1.000000e+06,yes,no
typ,00,mid,2.031675e+08,5.940320e+08,1.000000e+07,59,5u,5.000325e-06,4.869253e+05,2.184,1.000000e+06,yes,no
typ,00,mid,2.031675e+08,5.940320e+08,1.000000e+07,59,10u,1.000047e-05,6.888969e+05,3.088,1.000000e+06,yes,no
typ,00,mid,2.031675e+08,5.940320e+08,1.000000e+07,59,20u,2.000082e-05,9.750560e+05,4.366,1.000000e+06,yes,no
typ,00,mid,2.031675e+08,5.940320e+08,1.000000e+07,59,40u,4.000269e-05,1.381254e+06,6.170,1.000000e+06,no,no
typ,00,mid,2.031675e+08,5.940320e+08,1.000000e+07,59,80u,8.004954e-05,1.960453e+06,8.715,1.000000e+06,no,no
typ,00,top,2.059677e+08,8.491888e+08,2.500000e+07,34,2.5u,2.500258e-06,4.566599e+05,2.049,2.500000e+06,yes,no
typ,00,top,2.059677e+08,8.491888e+08,2.500000e+07,34,5u,5.000325e-06,6.460388e+05,2.897,2.500000e+06,yes,no
typ,00,top,2.059677e+08,8.491888e+08,2.500000e+07,34,10u,1.000047e-05,9.142981e+05,4.095,2.500000e+06,yes,no
typ,00,top,2.059677e+08,8.491888e+08,2.500000e+07,34,20u,2.000082e-05,1.294904e+06,5.788,2.500000e+06,yes,no
typ,00,top,2.059677e+08,8.491888e+08,2.500000e+07,34,40u,4.000269e-05,1.836668e+06,8.174,2.500000e+06,yes,no
typ,00,top,2.059677e+08,8.491888e+08,2.500000e+07,34,80u,8.004954e-05,2.613438e+06,11.534,2.500000e+06,no,no
typ,11,mid,4.966209e+08,7.130507e+08,2.500000e+07,29,2.5u,2.500258e-06,7.683106e+05,3.443,2.500000e+06,yes,no
typ,11,mid,4.966209e+08,7.130507e+08,2.500000e+07,29,5u,5.000325e-06,1.087660e+06,4.867,2.500000e+06,yes,no
typ,11,mid,4.966209e+08,7.130507e+08,2.500000e+07,29,10u,1.000047e-05,1.541358e+06,6.877,2.500000e+06,yes,no
typ,11,mid,4.966209e+08,7.130507e+08,2.500000e+07,29,20u,2.000082e-05,2.188845e+06,9.708,2.500000e+06,yes,no
typ,11,mid,4.966209e+08,7.130507e+08,2.500000e+07,29,40u,4.000269e-05,3.121262e+06,13.678,2.500000e+06,no,no
typ,11,mid,4.966209e+08,7.130507e+08,2.500000e+07,29,80u,8.004954e-05,4.489019e+06,19.203,2.500000e+06,no,no
typ,11,top,3.286114e+08,1.260528e+09,2.500000e+07,50,2.5u,2.500258e-06,4.756664e+05,2.134,2.500000e+06,yes,no
typ,11,top,3.286114e+08,1.260528e+09,2.500000e+07,50,5u,5.000325e-06,6.729484e+05,3.017,2.500000e+06,yes,no
typ,11,top,3.286114e+08,1.260528e+09,2.500000e+07,50,10u,1.000047e-05,9.524408e+05,4.265,2.500000e+06,yes,no
typ,11,top,3.286114e+08,1.260528e+09,2.500000e+07,50,20u,2.000082e-05,1.349093e+06,6.028,2.500000e+06,yes,no
typ,11,top,3.286114e+08,1.260528e+09,2.500000e+07,50,40u,4.000269e-05,1.914004e+06,8.513,2.500000e+06,yes,no
typ,11,top,3.286114e+08,1.260528e+09,2.500000e+07,50,80u,8.004954e-05,2.724835e+06,12.008,2.500000e+06,no,no
slow,00,mid,1.683806e+08,5.338997e+08,2.500000e+07,21,2.5u,2.500449e-06,5.255230e+05,2.644,2.500000e+06,yes,no
slow,00,mid,1.683806e+08,5.338997e+08,2.500000e+07,21,5u,5.000514e-06,7.436269e+05,3.739,2.500000e+06,yes,no
slow,00,mid,1.683806e+08,5.338997e+08,2.500000e+07,21,10u,1.000072e-05,1.052916e+06,5.284,2.500000e+06,yes,no
slow,00,mid,1.683806e+08,5.338997e+08,2.500000e+07,21,20u,2.000171e-05,1.492697e+06,7.465,2.500000e+06,yes,no
slow,00,mid,1.683806e+08,5.338997e+08,2.500000e+07,21,40u,4.001697e-05,2.121687e+06,10.536,2.500000e+06,yes,no
slow,00,mid,1.683806e+08,5.338997e+08,2.500000e+07,21,80u,8.015178e-05,3.032263e+06,14.846,2.500000e+06,no,no
slow,00,mid,1.683806e+08,5.338997e+08,1.000000e+07,53,2.5u,2.500449e-06,3.306765e+05,1.665,1.000000e+06,yes,no
slow,00,mid,1.683806e+08,5.338997e+08,1.000000e+07,53,5u,5.000514e-06,4.677424e+05,2.354,1.000000e+06,yes,no
slow,00,mid,1.683806e+08,5.338997e+08,1.000000e+07,53,10u,1.000072e-05,6.617974e+05,3.328,1.000000e+06,yes,no
slow,00,mid,1.683806e+08,5.338997e+08,1.000000e+07,53,20u,2.000171e-05,9.368350e+05,4.705,1.000000e+06,yes,no
slow,00,mid,1.683806e+08,5.338997e+08,1.000000e+07,53,40u,4.001697e-05,1.327677e+06,6.649,1.000000e+06,no,no
slow,00,mid,1.683806e+08,5.338997e+08,1.000000e+07,53,80u,8.015178e-05,1.886307e+06,9.394,1.000000e+06,no,no
slow,00,top,1.622489e+08,7.426242e+08,2.500000e+07,30,2.5u,2.500449e-06,4.315184e+05,2.172,2.500000e+06,yes,no
slow,00,top,1.622489e+08,7.426242e+08,2.500000e+07,30,5u,5.000514e-06,6.104870e+05,3.071,2.500000e+06,yes,no
slow,00,top,1.622489e+08,7.426242e+08,2.500000e+07,30,10u,1.000072e-05,8.640569e+05,4.341,2.500000e+06,yes,no
slow,00,top,1.622489e+08,7.426242e+08,2.500000e+07,30,20u,2.000171e-05,1.223983e+06,6.135,2.500000e+06,yes,no
slow,00,top,1.622489e+08,7.426242e+08,2.500000e+07,30,40u,4.001697e-05,1.736980e+06,8.665,2.500000e+06,yes,no
slow,00,top,1.622489e+08,7.426242e+08,2.500000e+07,30,80u,8.015178e-05,2.474560e+06,12.228,2.500000e+06,yes,no
slow,11,mid,3.827322e+08,6.264092e+08,2.500000e+07,25,2.5u,2.500449e-06,7.265640e+05,3.653,2.500000e+06,yes,no
slow,11,mid,3.827322e+08,6.264092e+08,2.500000e+07,25,5u,5.000514e-06,1.028675e+06,5.163,2.500000e+06,yes,no
slow,11,mid,3.827322e+08,6.264092e+08,2.500000e+07,25,10u,1.000072e-05,1.458138e+06,7.295,2.500000e+06,yes,no
slow,11,mid,3.827322e+08,6.264092e+08,2.500000e+07,25,20u,2.000171e-05,2.071764e+06,10.295,2.500000e+06,yes,no
slow,11,mid,3.827322e+08,6.264092e+08,2.500000e+07,25,40u,4.001697e-05,2.957854e+06,14.501,2.500000e+06,no,no
slow,11,mid,3.827322e+08,6.264092e+08,2.500000e+07,25,80u,8.015178e-05,4.264939e+06,20.345,2.500000e+06,no,no
slow,11,mid,3.827322e+08,6.264092e+08,1.000000e+07,63,2.5u,2.500449e-06,4.573707e+05,2.302,1.000000e+06,yes,no
slow,11,mid,3.827322e+08,6.264092e+08,1.000000e+07,63,5u,5.000514e-06,6.470941e+05,3.255,1.000000e+06,yes,no
slow,11,mid,3.827322e+08,6.264092e+08,1.000000e+07,63,10u,1.000072e-05,9.159619e+05,4.601,1.000000e+06,yes,no
slow,11,mid,3.827322e+08,6.264092e+08,1.000000e+07,63,20u,2.000171e-05,1.297773e+06,6.501,1.000000e+06,no,no
slow,11,mid,3.827322e+08,6.264092e+08,1.000000e+07,63,40u,4.001697e-05,1.842445e+06,9.181,1.000000e+06,no,no
slow,11,mid,3.827322e+08,6.264092e+08,1.000000e+07,63,80u,8.015178e-05,2.626944e+06,12.950,1.000000e+06,no,no
slow,11,top,2.394389e+08,1.041953e+09,2.500000e+07,42,2.5u,2.500449e-06,4.430487e+05,2.230,2.500000e+06,yes,no
slow,11,top,2.394389e+08,1.041953e+09,2.500000e+07,42,5u,5.000514e-06,6.268133e+05,3.153,2.500000e+06,yes,no
slow,11,top,2.394389e+08,1.041953e+09,2.500000e+07,42,10u,1.000072e-05,8.872039e+05,4.457,2.500000e+06,yes,no
slow,11,top,2.394389e+08,1.041953e+09,2.500000e+07,42,20u,2.000171e-05,1.256884e+06,6.298,2.500000e+06,yes,no
slow,11,top,2.394389e+08,1.041953e+09,2.500000e+07,42,40u,4.001697e-05,1.783989e+06,8.895,2.500000e+06,yes,no
