pvt_bundle,band_code,kvco_interval,kvco_hz_per_v,fvco_hz,fref_hz,n_div,trim_code,icp_a,fc_hz,pm_deg,fc_ceiling_hz,meets_ceiling,meets_pm45
slow,11,top,2.394389e+08,1.041953e+09,2.500000e+07,42,80u,8.015178e-05,2.542436e+06,12.550,2.500000e+06,no,no
fast,00,mid,2.298839e+08,6.612998e+08,2.500000e+07,26,2.5u,2.500226e-06,5.517256e+05,2.207,2.500000e+06,yes,no
fast,00,mid,2.298839e+08,6.612998e+08,2.500000e+07,26,5u,5.000306e-06,7.805782e+05,3.121,2.500000e+06,yes,no
fast,00,mid,2.298839e+08,6.612998e+08,2.500000e+07,26,10u,1.000046e-05,1.104835e+06,4.411,2.500000e+06,yes,no
fast,00,mid,2.298839e+08,6.612998e+08,2.500000e+07,26,20u,2.000076e-05,1.565125e+06,6.234,2.500000e+06,yes,no
fast,00,mid,2.298839e+08,6.612998e+08,2.500000e+07,26,40u,4.000169e-05,2.220964e+06,8.803,2.500000e+06,yes,no
fast,00,mid,2.298839e+08,6.612998e+08,2.500000e+07,26,80u,8.001717e-05,3.162618e+06,12.413,2.500000e+06,no,no
fast,00,top,2.384609e+08,9.537638e+08,2.500000e+07,38,2.5u,2.500226e-06,4.647493e+05,1.859,2.500000e+06,yes,no
fast,00,top,2.384609e+08,9.537638e+08,2.500000e+07,38,5u,5.000306e-06,6.574435e+05,2.629,2.500000e+06,yes,no
fast,00,top,2.384609e+08,9.537638e+08,2.500000e+07,38,10u,1.000046e-05,9.303196e+05,3.717,2.500000e+06,yes,no
fast,00,top,2.384609e+08,9.537638e+08,2.500000e+07,38,20u,2.000076e-05,1.317254e+06,5.254,2.500000e+06,yes,no
fast,00,top,2.384609e+08,9.537638e+08,2.500000e+07,38,40u,4.000169e-05,1.867383e+06,7.423,2.500000e+06,yes,no
fast,00,top,2.384609e+08,9.537638e+08,2.500000e+07,38,80u,8.001717e-05,2.653886e+06,10.476,2.500000e+06,no,no
fast,11,mid,5.901992e+08,8.068929e+08,2.500000e+07,32,2.5u,2.500226e-06,7.972239e+05,3.187,2.500000e+06,yes,no
fast,11,mid,5.901992e+08,8.068929e+08,2.500000e+07,32,5u,5.000306e-06,1.128429e+06,4.505,2.500000e+06,yes,no
fast,11,mid,5.901992e+08,8.068929e+08,2.500000e+07,32,10u,1.000046e-05,1.598659e+06,6.366,2.500000e+06,yes,no
fast,11,mid,5.901992e+08,8.068929e+08,2.500000e+07,32,20u,2.000076e-05,2.268867e+06,8.989,2.500000e+06,yes,no
fast,11,mid,5.901992e+08,8.068929e+08,2.500000e+07,32,40u,4.000169e-05,3.231498e+06,12.672,2.500000e+06,no,no
fast,11,mid,5.901992e+08,8.068929e+08,2.500000e+07,32,80u,8.001717e-05,4.635635e+06,17.807,2.500000e+06,no,no
fast,11,top,3.798637e+08,1.448013e+09,2.500000e+07,58,2.5u,2.500226e-06,4.747965e+05,1.900,2.500000e+06,yes,no
fast,11,top,3.798637e+08,1.448013e+09,2.500000e+07,58,5u,5.000306e-06,6.716653e+05,2.686,2.500000e+06,yes,no
fast,11,top,3.798637e+08,1.448013e+09,2.500000e+07,58,10u,1.000046e-05,9.504693e+05,3.797,2.500000e+06,yes,no
fast,11,top,3.798637e+08,1.448013e+09,2.500000e+07,58,20u,2.000076e-05,1.345855e+06,5.367,2.500000e+06,yes,no
fast,11,top,3.798637e+08,1.448013e+09,2.500000e+07,58,40u,4.000169e-05,1.908130e+06,7.582,2.500000e+06,yes,no
fast,11,top,3.798637e+08,1.448013e+09,2.500000e+07,58,80u,8.001717e-05,2.712367e+06,10.700,2.500000e+06,no,no
