pvt_bundle,r1_scale,r1_ohm,c1_f,c2_f,fref_hz,n_div,trim_code,icp_a,fc_hz,pm_deg,fc_ceiling_hz,meets_both
typ,10,7.794170e+04,1.691196e-12,1.001529e-13,2.500000e+07,50,10u,1.000047e-05,1.126700e+06,40.033,2.500000e+06,no
typ,10,7.794170e+04,1.691196e-12,1.001529e-13,2.500000e+07,50,20u,2.000082e-05,1.835917e+06,51.809,2.500000e+06,yes
typ,10,7.794170e+04,1.691196e-12,1.001529e-13,2.500000e+07,50,40u,4.000269e-05,3.248269e+06,61.055,2.500000e+06,no
typ,10,7.794170e+04,1.691196e-12,1.001529e-13,2.500000e+07,50,80u,8.004954e-05,6.049927e+06,63.063,2.500000e+06,no
typ,20,1.558834e+05,1.691196e-12,1.001529e-13,2.500000e+07,50,2.5u,2.500258e-06,5.633693e+05,40.034,2.500000e+06,no
typ,20,1.558834e+05,1.691196e-12,1.001529e-13,2.500000e+07,50,5u,5.000325e-06,9.179765e+05,51.810,2.500000e+06,yes
typ,20,1.558834e+05,1.691196e-12,1.001529e-13,2.500000e+07,50,10u,1.000047e-05,1.624104e+06,61.055,2.500000e+06,yes
typ,20,1.558834e+05,1.691196e-12,1.001529e-13,2.500000e+07,50,20u,2.000082e-05,3.023392e+06,63.066,2.500000e+06,no
typ,20,1.558834e+05,1.691196e-12,1.001529e-13,2.500000e+07,50,40u,4.000269e-05,5.516474e+06,56.693,2.500000e+06,no
typ,20,1.558834e+05,1.691196e-12,1.001529e-13,2.500000e+07,50,80u,8.004954e-05,9.339540e+06,45.444,2.500000e+06,no
typ,50,3.897085e+05,1.691196e-12,1.001529e-13,2.500000e+07,50,2.5u,2.500258e-06,9.677262e+05,63.360,2.500000e+06,yes
typ,50,3.897085e+05,1.691196e-12,1.001529e-13,2.500000e+07,50,5u,5.000325e-06,1.793291e+06,59.783,2.500000e+06,yes
typ,50,3.897085e+05,1.691196e-12,1.001529e-13,2.500000e+07,50,10u,1.000047e-05,3.126770e+06,49.682,2.500000e+06,no
typ,50,3.897085e+05,1.691196e-12,1.001529e-13,2.500000e+07,50,20u,2.000082e-05,5.023807e+06,37.935,2.500000e+06,no
typ,50,3.897085e+05,1.691196e-12,1.001529e-13,2.500000e+07,50,40u,4.000269e-05,7.605894e+06,27.773,2.500000e+06,no
typ,50,3.897085e+05,1.691196e-12,1.001529e-13,2.500000e+07,50,80u,8.004954e-05,1.113956e+07,19.951,2.500000e+06,no
typ,100,7.794170e+05,1.691196e-12,1.001529e-13,2.500000e+07,50,2.5u,2.500258e-06,1.563446e+06,49.681,2.500000e+06,yes
typ,100,7.794170e+05,1.691196e-12,1.001529e-13,2.500000e+07,50,5u,5.000325e-06,2.511950e+06,37.935,2.500000e+06,no
typ,100,7.794170e+05,1.691196e-12,1.001529e-13,2.500000e+07,50,10u,1.000047e-05,3.802911e+06,27.773,2.500000e+06,no
typ,100,7.794170e+05,1.691196e-12,1.001529e-13,2.500000e+07,50,20u,2.000082e-05,5.568062e+06,19.957,2.500000e+06,no
typ,100,7.794170e+05,1.691196e-12,1.001529e-13,2.500000e+07,50,40u,4.000269e-05,8.013101e+06,14.220,2.500000e+06,no
typ,100,7.794170e+05,1.691196e-12,1.001529e-13,2.500000e+07,50,80u,8.004954e-05,1.143486e+07,10.090,2.500000e+06,no
slow,1,8.745585e+03,1.691196e-12,1.001529e-13,2.500000e+07,42,2.5u,2.500449e-06,4.491591e+05,2.257,2.500000e+06,no
slow,1,8.745585e+03,1.691196e-12,1.001529e-13,2.500000e+07,42,5u,5.000514e-06,6.354580e+05,3.191,2.500000e+06,no
slow,1,8.745585e+03,1.691196e-12,1.001529e-13,2.500000e+07,42,10u,1.000072e-05,8.994395e+05,4.510,2.500000e+06,no
slow,1,8.745585e+03,1.691196e-12,1.001529e-13,2.500000e+07,42,20u,2.000171e-05,1.274217e+06,6.374,2.500000e+06,no
slow,1,8.745585e+03,1.691196e-12,1.001529e-13,2.500000e+07,42,40u,4.001697e-05,1.808590e+06,9.003,2.500000e+06,no
slow,1,8.745585e+03,1.691196e-12,1.001529e-13,2.500000e+07,42,80u,8.015178e-05,2.577492e+06,12.703,2.500000e+06,no
slow,5,4.372792e+04,1.691196e-12,1.001529e-13,2.500000e+07,42,2.5u,2.500449e-06,4.538594e+05,11.233,2.500000e+06,no
slow,5,4.372792e+04,1.691196e-12,1.001529e-13,2.500000e+07,42,5u,5.000514e-06,6.488211e+05,15.812,2.500000e+06,no
slow,5,4.372792e+04,1.691196e-12,1.001529e-13,2.500000e+07,42,10u,1.000072e-05,9.376140e+05,22.146,2.500000e+06,no
slow,5,4.372792e+04,1.691196e-12,1.001529e-13,2.500000e+07,42,20u,2.000171e-05,1.384147e+06,30.688,2.500000e+06,no
slow,5,4.372792e+04,1.691196e-12,1.001529e-13,2.500000e+07,42,40u,4.001697e-05,2.128416e+06,41.518,2.500000e+06,no
slow,5,4.372792e+04,1.691196e-12,1.001529e-13,2.500000e+07,42,80u,8.015178e-05,3.507770e+06,53.263,2.500000e+06,no
slow,10,8.745585e+04,1.691196e-12,1.001529e-13,2.500000e+07,42,2.5u,2.500449e-06,4.688340e+05,22.147,2.500000e+06,no
slow,10,8.745585e+04,1.691196e-12,1.001529e-13,2.500000e+07,42,5u,5.000514e-06,6.920790e+05,30.688,2.500000e+06,no
slow,10,8.745585e+04,1.691196e-12,1.001529e-13,2.500000e+07,42,10u,1.000072e-05,1.063960e+06,41.512,2.500000e+06,no
slow,10,8.745585e+04,1.691196e-12,1.001529e-13,2.500000e+07,42,20u,2.000171e-05,1.751418e+06,53.234,2.500000e+06,yes
slow,10,8.745585e+04,1.691196e-12,1.001529e-13,2.500000e+07,42,40u,4.001697e-05,3.129096e+06,61.788,2.500000e+06,no
slow,10,8.745585e+04,1.691196e-12,1.001529e-13,2.500000e+07,42,80u,8.015178e-05,5.842319e+06,62.678,2.500000e+06,no
slow,20,1.749117e+05,1.691196e-12,1.001529e-13,2.500000e+07,42,2.5u,2.500449e-06,5.320168e+05,41.514,2.500000e+06,no
slow,20,1.749117e+05,1.691196e-12,1.001529e-13,2.500000e+07,42,5u,5.000514e-06,8.757212e+05,53.234,2.500000e+06,yes
slow,20,1.749117e+05,1.691196e-12,1.001529e-13,2.500000e+07,42,10u,1.000072e-05,1.564062e+06,61.785,2.500000e+06,yes
slow,20,1.749117e+05,1.691196e-12,1.001529e-13,2.500000e+07,42,20u,2.000171e-05,2.916433e+06,62.687,2.500000e+06,no
slow,20,1.749117e+05,1.691196e-12,1.001529e-13,2.500000e+07,42,40u,4.001697e-05,5.282981e+06,55.419,2.500000e+06,no
slow,20,1.749117e+05,1.691196e-12,1.001529e-13,2.500000e+07,42,80u,8.015178e-05,8.853904e+06,43.907,2.500000e+06,no
slow,50,4.372792e+05,1.691196e-12,1.001529e-13,2.500000e+07,42,2.5u,2.500449e-06,9.340399e+05,63.386,2.500000e+06,yes
slow,50,4.372792e+05,1.691196e-12,1.001529e-13,2.500000e+07,42,5u,5.000514e-06,1.722909e+06,58.767,2.500000e+06,yes
slow,50,4.372792e+05,1.691196e-12,1.001529e-13,2.500000e+07,42,10u,1.000072e-05,2.972602e+06,48.182,2.500000e+06,no
slow,50,4.372792e+05,1.691196e-12,1.001529e-13,2.500000e+07,42,20u,2.000171e-05,4.732465e+06,36.521,2.500000e+06,no
slow,50,4.372792e+05,1.691196e-12,1.001529e-13,2.500000e+07,42,40u,4.001697e-05,7.126680e+06,26.645,2.500000e+06,no
slow,50,4.372792e+05,1.691196e-12,1.001529e-13,2.500000e+07,42,80u,8.015178e-05,1.041250e+07,19.105,2.500000e+06,no
slow,100,8.745585e+05,1.691196e-12,1.001529e-13,2.500000e+07,42,2.5u,2.500449e-06,1.486416e+06,48.180,2.500000e+06,yes
slow,100,8.745585e+05,1.691196e-12,1.001529e-13,2.500000e+07,42,5u,5.000514e-06,2.366252e+06,36.520,2.500000e+06,no
slow,100,8.745585e+05,1.691196e-12,1.001529e-13,2.500000e+07,42,10u,1.000072e-05,3.562634e+06,26.650,2.500000e+06,no
slow,100,8.745585e+05,1.691196e-12,1.001529e-13,2.500000e+07,42,20u,2.000171e-05,5.201245e+06,19.121,2.500000e+06,no
slow,100,8.745585e+05,1.691196e-12,1.001529e-13,2.500000e+07,42,40u,4.001697e-05,7.475439e+06,13.614,2.500000e+06,no
slow,100,8.745585e+05,1.691196e-12,1.001529e-13,2.500000e+07,42,80u,8.015178e-05,1.066470e+07,9.652,2.500000e+06,no
fast,1,6.950466e+03,1.691196e-12,1.001529e-13,2.500000e+07,58,2.5u,2.500226e-06,4.813448e+05,1.922,2.500000e+06,no
fast,1,6.950466e+03,1.691196e-12,1.001529e-13,2.500000e+07,58,5u,5.000306e-06,6.809287e+05,2.718,2.500000e+06,no
fast,1,6.950466e+03,1.691196e-12,1.001529e-13,2.500000e+07,58,10u,1.000046e-05,9.635776e+05,3.843,2.500000e+06,no
fast,1,6.950466e+03,1.691196e-12,1.001529e-13,2.500000e+07,58,20u,2.000076e-05,1.364416e+06,5.432,2.500000e+06,no
fast,1,6.950466e+03,1.691196e-12,1.001529e-13,2.500000e+07,58,40u,4.000169e-05,1.934444e+06,7.673,2.500000e+06,no
fast,1,6.950466e+03,1.691196e-12,1.001529e-13,2.500000e+07,58,80u,8.001717e-05,2.749767e+06,10.829,2.500000e+06,no
fast,5,3.475233e+04,1.691196e-12,1.001529e-13,2.500000e+07,58,2.5u,2.500226e-06,4.849945e+05,9.580,2.500000e+06,no
fast,5,3.475233e+04,1.691196e-12,1.001529e-13,2.500000e+07,58,5u,5.000306e-06,6.912908e+05,13.503,2.500000e+06,no
fast,5,3.475233e+04,1.691196e-12,1.001529e-13,2.500000e+07,58,10u,1.000046e-05,9.931061e+05,18.965,2.500000e+06,no
fast,5,3.475233e+04,1.691196e-12,1.001529e-13,2.500000e+07,58,20u,2.000076e-05,1.449097e+06,26.439,2.500000e+06,no
