pvt_bundle,band_code,kvco_interval,kvco_hz_per_v,fvco_hz,fref_hz,n_div,trim_code,icp_a,fc_hz,pm_deg,fc_ceiling_hz,meets_ceiling,meets_pm45
typ,00,low,6.519822e+07,5.135223e+08,4.500000e+06,114,2.5u,2.517839e-06,1.492040e+05,26.792,4.500000e+05,yes,no
typ,00,low,6.519822e+07,5.135223e+08,4.500000e+06,114,5u,5.029259e-06,2.252470e+05,36.514,4.500000e+05,yes,no
typ,00,low,6.519822e+07,5.135223e+08,4.500000e+06,114,10u,1.004607e-05,3.601103e+05,47.624,4.500000e+05,yes,yes
typ,00,low,6.519822e+07,5.135223e+08,4.500000e+06,114,20u,2.006843e-05,6.225029e+05,56.764,4.500000e+05,no,yes
typ,00,low,6.519822e+07,5.135223e+08,4.500000e+06,114,40u,4.008966e-05,1.134788e+06,58.883,4.500000e+05,no,yes
typ,00,low,6.519822e+07,5.135223e+08,4.500000e+06,114,80u,8.007441e-05,2.026136e+06,52.543,4.500000e+05,no,yes
typ,00,low,6.519822e+07,5.135223e+08,5.500000e+06,93,2.5u,2.517839e-06,1.677065e+05,29.428,5.500000e+05,yes,no
typ,00,low,6.519822e+07,5.135223e+08,5.500000e+06,93,5u,5.029259e-06,2.567294e+05,39.728,5.500000e+05,yes,no
typ,00,low,6.519822e+07,5.135223e+08,5.500000e+06,93,10u,1.004607e-05,4.195561e+05,50.748,5.500000e+05,yes,yes
typ,00,low,6.519822e+07,5.135223e+08,5.500000e+06,93,20u,2.006843e-05,7.407996e+05,58.298,5.500000e+05,no,yes
typ,00,low,6.519822e+07,5.135223e+08,5.500000e+06,93,40u,4.008966e-05,1.353451e+06,57.794,5.500000e+05,no,yes
typ,00,low,6.519822e+07,5.135223e+08,5.500000e+06,93,80u,8.007441e-05,2.371115e+06,49.583,5.500000e+05,no,yes
typ,00,low,6.519822e+07,5.135223e+08,6.500000e+06,79,2.5u,2.517839e-06,1.846082e+05,31.682,6.500000e+05,yes,no
typ,00,low,6.519822e+07,5.135223e+08,6.500000e+06,79,5u,5.029259e-06,2.862748e+05,42.368,6.500000e+05,yes,no
typ,00,low,6.519822e+07,5.135223e+08,6.500000e+06,79,10u,1.004607e-05,4.766564e+05,53.047,6.500000e+05,yes,yes
typ,00,low,6.519822e+07,5.135223e+08,6.500000e+06,79,20u,2.006843e-05,8.536984e+05,58.999,6.500000e+05,no,yes
typ,00,low,6.519822e+07,5.135223e+08,6.500000e+06,79,40u,4.008966e-05,1.554400e+06,56.410,6.500000e+05,no,yes
typ,00,low,6.519822e+07,5.135223e+08,6.500000e+06,79,80u,8.007441e-05,2.675570e+06,47.033,6.500000e+05,no,yes
typ,00,low,6.519822e+07,5.135223e+08,7.500000e+06,68,2.5u,2.517839e-06,2.020706e+05,33.857,7.500000e+05,yes,no
typ,00,low,6.519822e+07,5.135223e+08,7.500000e+06,68,5u,5.029259e-06,3.175439e+05,44.809,7.500000e+05,yes,no
typ,00,low,6.519822e+07,5.135223e+08,7.500000e+06,68,10u,1.004607e-05,5.380384e+05,54.928,7.500000e+05,yes,yes
typ,00,low,6.519822e+07,5.135223e+08,7.500000e+06,68,20u,2.006843e-05,9.734546e+05,59.199,7.500000e+05,no,yes
typ,00,low,6.519822e+07,5.135223e+08,7.500000e+06,68,40u,4.008966e-05,1.760022e+06,54.787,7.500000e+05,no,yes
typ,00,low,6.519822e+07,5.135223e+08,7.500000e+06,68,80u,8.007441e-05,2.977819e+06,44.615,7.500000e+05,no,no
typ,00,mid,2.031675e+08,5.940320e+08,5.500000e+06,108,2.5u,2.517839e-06,3.135798e+05,44.518,5.500000e+05,yes,no
typ,00,mid,2.031675e+08,5.940320e+08,5.500000e+06,108,5u,5.029259e-06,5.302009e+05,54.717,5.500000e+05,yes,yes
typ,00,mid,2.031675e+08,5.940320e+08,5.500000e+06,108,10u,1.004607e-05,9.582263e+05,59.198,5.500000e+05,no,yes
typ,00,mid,2.031675e+08,5.940320e+08,5.500000e+06,108,20u,2.006843e-05,1.734268e+06,54.998,5.500000e+05,no,yes
typ,00,mid,2.031675e+08,5.940320e+08,5.500000e+06,108,40u,4.008966e-05,2.940664e+06,44.905,5.500000e+05,no,no
typ,00,mid,2.031675e+08,5.940320e+08,5.500000e+06,108,80u,8.007441e-05,4.623557e+06,33.946,5.500000e+05,no,no
typ,00,mid,2.031675e+08,5.940320e+08,6.500000e+06,91,2.5u,2.517839e-06,3.544059e+05,47.277,6.500000e+05,yes,yes
typ,00,mid,2.031675e+08,5.940320e+08,6.500000e+06,91,5u,5.029259e-06,6.111080e+05,56.558,6.500000e+05,yes,yes
typ,00,mid,2.031675e+08,5.940320e+08,6.500000e+06,91,10u,1.004607e-05,1.113212e+06,58.954,6.500000e+05,no,yes
typ,00,mid,2.031675e+08,5.940320e+08,6.500000e+06,91,20u,2.006843e-05,1.991368e+06,52.841,6.500000e+05,no,yes
typ,00,mid,2.031675e+08,5.940320e+08,6.500000e+06,91,40u,4.008966e-05,3.309926e+06,42.118,6.500000e+05,no,no
typ,00,mid,2.031675e+08,5.940320e+08,6.500000e+06,91,80u,8.007441e-05,5.126023e+06,31.465,6.500000e+05,no,no
typ,00,mid,2.031675e+08,5.940320e+08,7.500000e+06,79,2.5u,2.517839e-06,3.935707e+05,49.486,7.500000e+05,yes,yes
typ,00,mid,2.031675e+08,5.940320e+08,7.500000e+06,79,5u,5.029259e-06,6.890687e+05,57.749,7.500000e+05,yes,yes
typ,00,mid,2.031675e+08,5.940320e+08,7.500000e+06,79,10u,1.004607e-05,1.258812e+06,58.335,7.500000e+05,no,yes
