pvt_bundle,band_code,kvco_interval,mom_frac,r1_ohm,c1_f,c2_f,trim_code,icp_a,fc_hz,pm_deg
typ,11,top,-0.20,7.794170e+03,1.352957e-12,8.012232e-14,2.5u,2.500258e-06,5.391030e+05,1.931
typ,11,top,-0.20,7.794170e+03,1.352957e-12,8.012232e-14,5u,5.000325e-06,7.626345e+05,2.731
typ,11,top,-0.20,7.794170e+03,1.352957e-12,8.012232e-14,10u,1.000047e-05,1.079204e+06,3.861
typ,11,top,-0.20,7.794170e+03,1.352957e-12,8.012232e-14,20u,2.000082e-05,1.528161e+06,5.457
typ,11,top,-0.20,7.794170e+03,1.352957e-12,8.012232e-14,40u,4.000269e-05,2.166675e+06,7.710
typ,11,top,-0.20,7.794170e+03,1.352957e-12,8.012232e-14,80u,8.004954e-05,3.080623e+06,10.883
typ,11,top,0.00,7.794170e+03,1.691196e-12,1.001529e-13,2.5u,2.500258e-06,4.822267e+05,2.159
typ,11,top,0.00,7.794170e+03,1.691196e-12,1.001529e-13,5u,5.000325e-06,6.822294e+05,3.053
typ,11,top,0.00,7.794170e+03,1.691196e-12,1.001529e-13,10u,1.000047e-05,9.655761e+05,4.316
typ,11,top,0.00,7.794170e+03,1.691196e-12,1.001529e-13,20u,2.000082e-05,1.367698e+06,6.100
typ,11,top,0.00,7.794170e+03,1.691196e-12,1.001529e-13,40u,4.000269e-05,1.940398e+06,8.615
typ,11,top,0.00,7.794170e+03,1.691196e-12,1.001529e-13,80u,8.004954e-05,2.762407e+06,12.154
typ,11,top,0.20,7.794170e+03,2.029435e-12,1.201835e-13,2.5u,2.500258e-06,4.402457e+05,2.365
typ,11,top,0.20,7.794170e+03,2.029435e-12,1.201835e-13,5u,5.000325e-06,6.228864e+05,3.344
typ,11,top,0.20,7.794170e+03,2.029435e-12,1.201835e-13,10u,1.000047e-05,8.817265e+05,4.727
typ,11,top,0.20,7.794170e+03,2.029435e-12,1.201835e-13,20u,2.000082e-05,1.249325e+06,6.680
typ,11,top,0.20,7.794170e+03,2.029435e-12,1.201835e-13,40u,4.000269e-05,1.773585e+06,9.432
typ,11,top,0.20,7.794170e+03,2.029435e-12,1.201835e-13,80u,8.004954e-05,2.528139e+06,13.300
slow,11,top,-0.20,8.745585e+03,1.352957e-12,8.012232e-14,2.5u,2.500449e-06,5.021315e+05,2.018
slow,11,top,-0.20,8.745585e+03,1.352957e-12,8.012232e-14,5u,5.000514e-06,7.103404e+05,2.854
slow,11,top,-0.20,8.745585e+03,1.352957e-12,8.012232e-14,10u,1.000072e-05,1.005255e+06,4.035
