mos_corner,res_corner,temp_c,dut_variant,tstep,twin_r_s
mos_tt,res_typ,27,real,20p,2.89453e-10
mos_ss,res_wcs,125,ideal0.20,20p,4.08545e-10
mos_ff,res_bcs,-40,ideal-0.20,20p,2.18747e-10
mos_sf,res_typ,27,real,20p,2.87814e-10
mos_tt,res_typ,27,real,5p,2.87818e-10
mos_ss,res_wcs,125,ideal0.20,5p,4.07440e-10
mos_ff,res_bcs,-40,ideal-0.20,5p,2.16877e-10
mos_sf,res_typ,27,real,5p,2.86070e-10
mos_tt,res_typ,27,real,1.25p,2.87724e-10
mos_ss,res_wcs,125,ideal0.20,1.25p,4.07384e-10
mos_ff,res_bcs,-40,ideal-0.20,1.25p,2.16741e-10
mos_sf,res_typ,27,real,1.25p,2.85973e-10
