mos_corner,temp_c,vsup_v,vth_rising_v,vth_falling_v,hysteresis_v,hysteresis_pct_of_vdd
mos_tt,-40,2.97,1.87395e+00,9.95113e-01,8.788370e-01,29.5905
mos_tt,-40,3.3,2.05720e+00,1.10548e+00,9.517200e-01,28.8400
mos_tt,-40,3.63,2.24331e+00,1.21241e+00,1.030900e+00,28.3994
mos_tt,27,2.97,1.88157e+00,1.02228e+00,8.592900e-01,28.9323
mos_tt,27,3.3,2.06875e+00,1.13525e+00,9.335000e-01,28.2879
mos_tt,27,3.63,2.25849e+00,1.24872e+00,1.009770e+00,27.8174
mos_tt,125,2.97,1.88736e+00,1.06172e+00,8.256400e-01,27.7993
mos_tt,125,3.3,2.08126e+00,1.17970e+00,9.015600e-01,27.3200
mos_tt,125,3.63,2.27379e+00,1.29413e+00,9.796600e-01,26.9879
mos_ss,-40,2.97,1.89158e+00,9.90645e-01,9.009350e-01,30.3345
mos_ss,-40,3.3,2.07556e+00,1.09649e+00,9.790700e-01,29.6688
mos_ss,-40,3.63,2.25858e+00,1.20048e+00,1.058100e+00,29.1488
mos_ss,27,2.97,1.89701e+00,1.01716e+00,8.798500e-01,29.6246
mos_ss,27,3.3,2.08455e+00,1.12667e+00,9.578800e-01,29.0267
mos_ss,27,3.63,2.27018e+00,1.23621e+00,1.033970e+00,28.4840
mos_ss,125,2.97,1.90135e+00,1.05279e+00,8.485600e-01,28.5710
mos_ss,125,3.3,2.09436e+00,1.16814e+00,9.262200e-01,28.0673
mos_ss,125,3.63,2.28627e+00,1.28135e+00,1.004920e+00,27.6837
mos_ff,-40,2.97,1.85593e+00,9.99583e-01,8.563470e-01,28.8332
mos_ff,-40,3.3,2.04212e+00,1.11046e+00,9.316600e-01,28.2321
mos_ff,-40,3.63,2.22660e+00,1.22151e+00,1.005090e+00,27.6884
mos_ff,27,2.97,1.86568e+00,1.02907e+00,8.366100e-01,28.1687
mos_ff,27,3.3,2.05389e+00,1.14414e+00,9.097500e-01,27.5682
mos_ff,27,3.63,2.24451e+00,1.25963e+00,9.848800e-01,27.1317
mos_ff,125,2.97,1.87375e+00,1.06936e+00,8.043900e-01,27.0838
mos_ff,125,3.3,2.06872e+00,1.18962e+00,8.791000e-01,26.6394
mos_ff,125,3.63,2.26109e+00,1.30675e+00,9.543400e-01,26.2904
mos_sf,-40,2.97,1.89158e+00,1.02163e+00,8.699500e-01,29.2912
mos_sf,-40,3.3,2.07804e+00,1.13314e+00,9.449000e-01,28.6333
mos_sf,-40,3.63,2.26448e+00,1.24509e+00,1.019390e+00,28.0824
mos_sf,27,2.97,1.90050e+00,1.04985e+00,8.506500e-01,28.6414
mos_sf,27,3.3,2.08998e+00,1.16488e+00,9.251000e-01,28.0333
mos_sf,27,3.63,2.27924e+00,1.27981e+00,9.994300e-01,27.5325
mos_sf,125,2.97,1.90879e+00,1.08698e+00,8.218100e-01,27.6704
mos_sf,125,3.3,2.10344e+00,1.20776e+00,8.956800e-01,27.1418
mos_sf,125,3.63,2.29739e+00,1.32674e+00,9.706500e-01,26.7397
mos_fs,-40,2.97,1.85575e+00,9.68374e-01,8.873760e-01,29.8780
mos_fs,-40,3.3,2.03937e+00,1.07318e+00,9.661900e-01,29.2785
mos_fs,-40,3.63,2.22301e+00,1.17865e+00,1.044360e+00,28.7702
mos_fs,27,2.97,1.86169e+00,9.96399e-01,8.652910e-01,29.1344
mos_fs,27,3.3,2.04894e+00,1.10712e+00,9.418200e-01,28.5400
mos_fs,27,3.63,2.23568e+00,1.21501e+00,1.020670e+00,28.1176
mos_fs,125,2.97,1.86634e+00,1.03500e+00,8.313400e-01,27.9912
mos_fs,125,3.3,2.05721e+00,1.14828e+00,9.089300e-01,27.5433
mos_fs,125,3.63,2.25020e+00,1.26217e+00,9.880300e-01,27.2185
