corner_tag,mos_corner,res_corner,temp_c,vsup_v,fref_hz,dut_variant,twin_r_s,twin_f_s
mos_tt_res_typ_-40c_3.3v_25MHz_real,mos_tt,res_typ,-40,3.3,25e6,real,2.51367e-10,2.60666e-10
mos_tt_res_typ_-40c_3.3v_25MHz_ideal-0.20,mos_tt,res_typ,-40,3.3,25e6,ideal-0.20,2.41550e-10,2.51737e-10
mos_tt_res_typ_-40c_3.3v_25MHz_ideal0.00,mos_tt,res_typ,-40,3.3,25e6,ideal0.00,2.51376e-10,2.60674e-10
mos_tt_res_typ_-40c_3.3v_25MHz_ideal0.20,mos_tt,res_typ,-40,3.3,25e6,ideal0.20,2.60639e-10,2.69507e-10
mos_tt_res_typ_27c_3.3v_25MHz_real,mos_tt,res_typ,27,3.3,25e6,real,2.89453e-10,2.97427e-10
mos_tt_res_typ_27c_3.3v_25MHz_ideal-0.20,mos_tt,res_typ,27,3.3,25e6,ideal-0.20,2.78198e-10,2.87247e-10
mos_tt_res_typ_27c_3.3v_25MHz_ideal0.00,mos_tt,res_typ,27,3.3,25e6,ideal0.00,2.89463e-10,2.97452e-10
mos_tt_res_typ_27c_3.3v_25MHz_ideal0.20,mos_tt,res_typ,27,3.3,25e6,ideal0.20,3.00073e-10,3.07532e-10
mos_tt_res_typ_125c_3.3v_25MHz_real,mos_tt,res_typ,125,3.3,25e6,real,3.52660e-10,3.60664e-10
mos_tt_res_typ_125c_3.3v_25MHz_ideal-0.20,mos_tt,res_typ,125,3.3,25e6,ideal-0.20,3.39206e-10,3.48334e-10
mos_tt_res_typ_125c_3.3v_25MHz_ideal0.00,mos_tt,res_typ,125,3.3,25e6,ideal0.00,3.52680e-10,3.60676e-10
mos_tt_res_typ_125c_3.3v_25MHz_ideal0.20,mos_tt,res_typ,125,3.3,25e6,ideal0.20,3.65716e-10,3.72900e-10
mos_ss_res_wcs_-40c_3.3v_25MHz_real,mos_ss,res_wcs,-40,3.3,25e6,real,2.84425e-10,2.94063e-10
mos_ss_res_wcs_-40c_3.3v_25MHz_ideal-0.20,mos_ss,res_wcs,-40,3.3,25e6,ideal-0.20,2.72918e-10,2.83744e-10
mos_ss_res_wcs_-40c_3.3v_25MHz_ideal0.00,mos_ss,res_wcs,-40,3.3,25e6,ideal0.00,2.84437e-10,2.94074e-10
mos_ss_res_wcs_-40c_3.3v_25MHz_ideal0.20,mos_ss,res_wcs,-40,3.3,25e6,ideal0.20,2.95852e-10,3.04197e-10
mos_ss_res_wcs_27c_3.3v_25MHz_real,mos_ss,res_wcs,27,3.3,25e6,real,3.25308e-10,3.34814e-10
mos_ss_res_wcs_27c_3.3v_25MHz_ideal-0.20,mos_ss,res_wcs,27,3.3,25e6,ideal-0.20,3.12216e-10,3.23147e-10
mos_ss_res_wcs_27c_3.3v_25MHz_ideal0.00,mos_ss,res_wcs,27,3.3,25e6,ideal0.00,3.25315e-10,3.34820e-10
mos_ss_res_wcs_27c_3.3v_25MHz_ideal0.20,mos_ss,res_wcs,27,3.3,25e6,ideal0.20,3.38198e-10,3.46265e-10
mos_ss_res_wcs_125c_3.3v_25MHz_real,mos_ss,res_wcs,125,3.3,25e6,real,3.93111e-10,4.03123e-10
mos_ss_res_wcs_125c_3.3v_25MHz_ideal-0.20,mos_ss,res_wcs,125,3.3,25e6,ideal-0.20,3.77398e-10,3.89048e-10
mos_ss_res_wcs_125c_3.3v_25MHz_ideal0.00,mos_ss,res_wcs,125,3.3,25e6,ideal0.00,3.93130e-10,4.03152e-10
mos_ss_res_wcs_125c_3.3v_25MHz_ideal0.20,mos_ss,res_wcs,125,3.3,25e6,ideal0.20,4.08545e-10,4.16869e-10
mos_ff_res_bcs_-40c_3.3v_25MHz_real,mos_ff,res_bcs,-40,3.3,25e6,real,2.27316e-10,2.35733e-10
mos_ff_res_bcs_-40c_3.3v_25MHz_ideal-0.20,mos_ff,res_bcs,-40,3.3,25e6,ideal-0.20,2.18747e-10,2.27980e-10
mos_ff_res_bcs_-40c_3.3v_25MHz_ideal0.00,mos_ff,res_bcs,-40,3.3,25e6,ideal0.00,2.27328e-10,2.35742e-10
mos_ff_res_bcs_-40c_3.3v_25MHz_ideal0.20,mos_ff,res_bcs,-40,3.3,25e6,ideal0.20,2.35325e-10,2.43536e-10
mos_ff_res_bcs_27c_3.3v_25MHz_real,mos_ff,res_bcs,27,3.3,25e6,real,2.62215e-10,2.69953e-10
mos_ff_res_bcs_27c_3.3v_25MHz_ideal-0.20,mos_ff,res_bcs,27,3.3,25e6,ideal-0.20,2.52860e-10,2.60717e-10
mos_ff_res_bcs_27c_3.3v_25MHz_ideal0.00,mos_ff,res_bcs,27,3.3,25e6,ideal0.00,2.62227e-10,2.69963e-10
mos_ff_res_bcs_27c_3.3v_25MHz_ideal0.20,mos_ff,res_bcs,27,3.3,25e6,ideal0.20,2.71721e-10,2.78743e-10
mos_ff_res_bcs_125c_3.3v_25MHz_real,mos_ff,res_bcs,125,3.3,25e6,real,3.21201e-10,3.28723e-10
mos_ff_res_bcs_125c_3.3v_25MHz_ideal-0.20,mos_ff,res_bcs,125,3.3,25e6,ideal-0.20,3.09834e-10,3.17477e-10
mos_ff_res_bcs_125c_3.3v_25MHz_ideal0.00,mos_ff,res_bcs,125,3.3,25e6,ideal0.00,3.21211e-10,3.28731e-10
mos_ff_res_bcs_125c_3.3v_25MHz_ideal0.20,mos_ff,res_bcs,125,3.3,25e6,ideal0.20,3.32720e-10,3.39427e-10
mos_sf_res_typ_-40c_3.3v_25MHz_real,mos_sf,res_typ,-40,3.3,25e6,real,2.50160e-10,2.60584e-10
mos_sf_res_typ_-40c_3.3v_25MHz_ideal-0.20,mos_sf,res_typ,-40,3.3,25e6,ideal-0.20,2.41020e-10,2.51161e-10
mos_sf_res_typ_-40c_3.3v_25MHz_ideal0.00,mos_sf,res_typ,-40,3.3,25e6,ideal0.00,2.50169e-10,2.60600e-10
mos_sf_res_typ_-40c_3.3v_25MHz_ideal0.20,mos_sf,res_typ,-40,3.3,25e6,ideal0.20,2.58671e-10,2.69953e-10
mos_sf_res_typ_27c_3.3v_25MHz_real,mos_sf,res_typ,27,3.3,25e6,real,2.87814e-10,2.97111e-10
mos_sf_res_typ_27c_3.3v_25MHz_ideal-0.20,mos_sf,res_typ,27,3.3,25e6,ideal-0.20,2.77401e-10,2.86382e-10
mos_sf_res_typ_27c_3.3v_25MHz_ideal0.00,mos_sf,res_typ,27,3.3,25e6,ideal0.00,2.87825e-10,2.97113e-10
mos_sf_res_typ_27c_3.3v_25MHz_ideal0.20,mos_sf,res_typ,27,3.3,25e6,ideal0.20,2.97686e-10,3.07752e-10
mos_sf_res_typ_125c_3.3v_25MHz_real,mos_sf,res_typ,125,3.3,25e6,real,3.50644e-10,3.60296e-10
mos_sf_res_typ_125c_3.3v_25MHz_ideal-0.20,mos_sf,res_typ,125,3.3,25e6,ideal-0.20,3.38065e-10,3.47372e-10
mos_sf_res_typ_125c_3.3v_25MHz_ideal0.00,mos_sf,res_typ,125,3.3,25e6,ideal0.00,3.50658e-10,3.60302e-10
mos_sf_res_typ_125c_3.3v_25MHz_ideal0.20,mos_sf,res_typ,125,3.3,25e6,ideal0.20,3.62709e-10,3.73177e-10
mos_fs_res_typ_-40c_3.3v_25MHz_real,mos_fs,res_typ,-40,3.3,25e6,real,2.54563e-10,2.62684e-10
mos_fs_res_typ_-40c_3.3v_25MHz_ideal-0.20,mos_fs,res_typ,-40,3.3,25e6,ideal-0.20,2.44108e-10,2.54025e-10
mos_fs_res_typ_-40c_3.3v_25MHz_ideal0.00,mos_fs,res_typ,-40,3.3,25e6,ideal0.00,2.54573e-10,2.62687e-10
mos_fs_res_typ_-40c_3.3v_25MHz_ideal0.20,mos_fs,res_typ,-40,3.3,25e6,ideal0.20,2.64966e-10,2.71058e-10
mos_fs_res_typ_27c_3.3v_25MHz_real,mos_fs,res_typ,27,3.3,25e6,real,2.92955e-10,2.99851e-10
mos_fs_res_typ_27c_3.3v_25MHz_ideal-0.20,mos_fs,res_typ,27,3.3,25e6,ideal-0.20,2.80796e-10,2.90089e-10
mos_fs_res_typ_27c_3.3v_25MHz_ideal0.00,mos_fs,res_typ,27,3.3,25e6,ideal0.00,2.92970e-10,2.99858e-10
mos_fs_res_typ_27c_3.3v_25MHz_ideal0.20,mos_fs,res_typ,27,3.3,25e6,ideal0.20,3.04764e-10,3.09490e-10
mos_fs_res_typ_125c_3.3v_25MHz_real,mos_fs,res_typ,125,3.3,25e6,real,3.56489e-10,3.63029e-10
mos_fs_res_typ_125c_3.3v_25MHz_ideal-0.20,mos_fs,res_typ,125,3.3,25e6,ideal-0.20,3.42194e-10,3.51086e-10
mos_fs_res_typ_125c_3.3v_25MHz_ideal0.00,mos_fs,res_typ,125,3.3,25e6,ideal0.00,3.56506e-10,3.63041e-10
mos_fs_res_typ_125c_3.3v_25MHz_ideal0.20,mos_fs,res_typ,125,3.3,25e6,ideal0.20,3.70672e-10,3.74683e-10
mos_tt_res_wcs_-40c_3.3v_25MHz_real,mos_tt,res_wcs,-40,3.3,25e6,real,2.51367e-10,2.60666e-10
mos_tt_res_wcs_-40c_3.3v_25MHz_ideal-0.20,mos_tt,res_wcs,-40,3.3,25e6,ideal-0.20,2.41550e-10,2.51737e-10
mos_tt_res_wcs_-40c_3.3v_25MHz_ideal0.00,mos_tt,res_wcs,-40,3.3,25e6,ideal0.00,2.51376e-10,2.60674e-10
mos_tt_res_wcs_-40c_3.3v_25MHz_ideal0.20,mos_tt,res_wcs,-40,3.3,25e6,ideal0.20,2.60639e-10,2.69507e-10
mos_tt_res_wcs_27c_3.3v_25MHz_real,mos_tt,res_wcs,27,3.3,25e6,real,2.89453e-10,2.97427e-10
mos_tt_res_wcs_27c_3.3v_25MHz_ideal-0.20,mos_tt,res_wcs,27,3.3,25e6,ideal-0.20,2.78198e-10,2.87247e-10
mos_tt_res_wcs_27c_3.3v_25MHz_ideal0.00,mos_tt,res_wcs,27,3.3,25e6,ideal0.00,2.89463e-10,2.97452e-10
mos_tt_res_wcs_27c_3.3v_25MHz_ideal0.20,mos_tt,res_wcs,27,3.3,25e6,ideal0.20,3.00073e-10,3.07532e-10
mos_tt_res_wcs_125c_3.3v_25MHz_real,mos_tt,res_wcs,125,3.3,25e6,real,3.52660e-10,3.60664e-10
mos_tt_res_wcs_125c_3.3v_25MHz_ideal-0.20,mos_tt,res_wcs,125,3.3,25e6,ideal-0.20,3.39206e-10,3.48334e-10
mos_tt_res_wcs_125c_3.3v_25MHz_ideal0.00,mos_tt,res_wcs,125,3.3,25e6,ideal0.00,3.52680e-10,3.60676e-10
mos_tt_res_wcs_125c_3.3v_25MHz_ideal0.20,mos_tt,res_wcs,125,3.3,25e6,ideal0.20,3.65716e-10,3.72900e-10
mos_tt_res_bcs_-40c_3.3v_25MHz_real,mos_tt,res_bcs,-40,3.3,25e6,real,2.51367e-10,2.60666e-10
mos_tt_res_bcs_-40c_3.3v_25MHz_ideal-0.20,mos_tt,res_bcs,-40,3.3,25e6,ideal-0.20,2.41550e-10,2.51737e-10
mos_tt_res_bcs_-40c_3.3v_25MHz_ideal0.00,mos_tt,res_bcs,-40,3.3,25e6,ideal0.00,2.51376e-10,2.60674e-10
mos_tt_res_bcs_-40c_3.3v_25MHz_ideal0.20,mos_tt,res_bcs,-40,3.3,25e6,ideal0.20,2.60639e-10,2.69507e-10
mos_tt_res_bcs_27c_3.3v_25MHz_real,mos_tt,res_bcs,27,3.3,25e6,real,2.89453e-10,2.97427e-10
mos_tt_res_bcs_27c_3.3v_25MHz_ideal-0.20,mos_tt,res_bcs,27,3.3,25e6,ideal-0.20,2.78198e-10,2.87247e-10
mos_tt_res_bcs_27c_3.3v_25MHz_ideal0.00,mos_tt,res_bcs,27,3.3,25e6,ideal0.00,2.89463e-10,2.97452e-10
mos_tt_res_bcs_27c_3.3v_25MHz_ideal0.20,mos_tt,res_bcs,27,3.3,25e6,ideal0.20,3.00073e-10,3.07532e-10
mos_tt_res_bcs_125c_3.3v_25MHz_real,mos_tt,res_bcs,125,3.3,25e6,real,3.52660e-10,3.60664e-10
mos_tt_res_bcs_125c_3.3v_25MHz_ideal-0.20,mos_tt,res_bcs,125,3.3,25e6,ideal-0.20,3.39206e-10,3.48334e-10
mos_tt_res_bcs_125c_3.3v_25MHz_ideal0.00,mos_tt,res_bcs,125,3.3,25e6,ideal0.00,3.52680e-10,3.60676e-10
mos_tt_res_bcs_125c_3.3v_25MHz_ideal0.20,mos_tt,res_bcs,125,3.3,25e6,ideal0.20,3.65716e-10,3.72900e-10
mos_tt_res_typ_-40c_2.97v_25MHz_real,mos_tt,res_typ,-40,2.97,25e6,real,2.73523e-10,2.81903e-10
mos_tt_res_typ_-40c_3.63v_25MHz_real,mos_tt,res_typ,-40,3.63,25e6,real,2.35613e-10,2.44598e-10
mos_tt_res_typ_27c_2.97v_25MHz_real,mos_tt,res_typ,27,2.97,25e6,real,3.15948e-10,3.24231e-10
mos_tt_res_typ_27c_3.63v_25MHz_real,mos_tt,res_typ,27,3.63,25e6,real,2.69693e-10,2.77748e-10
mos_tt_res_typ_125c_2.97v_25MHz_real,mos_tt,res_typ,125,2.97,25e6,real,3.86822e-10,3.95236e-10
mos_tt_res_typ_125c_3.63v_25MHz_real,mos_tt,res_typ,125,3.63,25e6,real,3.26737e-10,3.34745e-10
