corner_tag,mos_corner,res_corner,temp_c,vsup_v,fref,dut_variant,twin_r_s,tref_s,vth_rising_v,vth_falling_v,vwin_at_zero_err_v,vwin_at_max_tau_v,tau_enter_band_xwin,tau_exit_band_xwin,zone_width_xwin,zone_width_s,zone_width_pct_of_tref,zone_pct_of_half_period,zone_enter_pct_of_tref,zone_exit_pct_of_tref,tau_assert_xwin,tau_deassert_xwin
mos_ff_res_typ_27c_3.3v_3p5MHz_real,mos_ff,res_typ,27,3.3,3p5MHz,real,5.735620e-09,2.857143e-07,2.053890e+00,1.144140e+00,3.2263,0.6203,5.3670,10.6975,5.3305,3.057368e-08,10.7008,21.4016,10.7740,21.4748,5.000000e+00,1.000000e+01
mos_ff_res_wcs_-40c_3.3v_24p4MHz_real,mos_ff,res_wcs,-40,3.3,24p4MHz,real,5.007140e-09,4.098361e-08,2.042120e+00,1.110460e+00,3.0904,0.1321,1.3661,1.8413,0.4751,2.379082e-09,5.8050,11.6099,16.6905,22.4954,1.250000e+00,1.750000e+00
mos_ss_res_bcs_125c_3.3v_24p4MHz_real,mos_ss,res_bcs,125,3.3,24p4MHz,real,9.423090e-09,4.098361e-08,2.094360e+00,1.168140e+00,3.2302,0.6845,1.9918,2.9248,0.9329,8.791118e-09,21.4503,42.9007,45.7968,67.2472,2.000000e+00,2.500000e+00
mos_ss_res_typ_27c_3.3v_3p5MHz_real,mos_ss,res_typ,27,3.3,3p5MHz,real,7.980440e-09,2.857143e-07,2.084550e+00,1.126670e+00,3.2267,0.5449,4.6985,9.5677,4.8692,3.885836e-08,13.6004,27.2009,13.1235,26.7240,4.000000e+00,8.000000e+00
mos_tt_res_bcs_-40c_3.3v_3p5MHz_real,mos_tt,res_bcs,-40,3.3,3p5MHz,real,5.855460e-09,2.857143e-07,2.057200e+00,1.105480e+00,3.2250,0.5841,5.2212,10.5039,5.2826,3.093215e-08,10.8263,21.6525,10.7005,21.5267,5.000000e+00,8.000000e+00
mos_tt_res_bcs_125c_3.3v_24p4MHz_real,mos_tt,res_bcs,125,3.3,24p4MHz,real,7.959140e-09,4.098361e-08,2.081260e+00,1.179700e+00,3.2300,0.6340,2.0423,3.2804,1.2381,9.854184e-09,24.0442,48.0884,39.6628,63.7070,2.000000e+00,3.000000e+00
mos_tt_res_bcs_125c_3.3v_3p5MHz_real,mos_tt,res_bcs,125,3.3,3p5MHz,real,7.959140e-09,2.857143e-07,2.081260e+00,1.179700e+00,3.2208,1.0806,8.8357,18.1341,9.2984,7.400748e-08,25.9026,51.8052,24.6135,50.5161,8.000000e+00,1.600000e+01
mos_tt_res_bcs_27c_3.3v_3p5MHz_real,mos_tt,res_bcs,27,3.3,3p5MHz,real,6.668090e-09,2.857143e-07,2.068750e+00,1.135250e+00,3.2283,0.7768,6.5107,13.4179,6.9072,4.605794e-08,16.1203,32.2406,15.1948,31.3151,6.000000e+00,1.200000e+01
mos_tt_res_typ_-40c_3.3v_3p5MHz_real,mos_tt,res_typ,-40,3.3,3p5MHz,real,5.855460e-09,2.857143e-07,2.057200e+00,1.105480e+00,3.1892,0.4449,4.0971,8.0586,3.9616,2.319685e-08,8.1189,16.2378,8.3965,16.5154,4.000000e+00,7.000000e+00
mos_tt_res_typ_125c_3.3v_3p5MHz_real,mos_tt,res_typ,125,3.3,3p5MHz,real,7.959140e-09,2.857143e-07,2.081260e+00,1.179700e+00,3.2255,0.8422,6.9087,13.8457,6.9371,5.521306e-08,19.3246,38.6491,19.2454,38.5700,7.000000e+00,1.200000e+01
mos_tt_res_typ_27c_2.97v_3p5MHz_real,mos_tt,res_typ,27,2.97,3p5MHz,real,7.425050e-09,2.857143e-07,1.881570e+00,1.022280e+00,2.9039,0.5268,5.0978,10.3017,5.2039,3.863951e-08,13.5238,27.0477,13.2479,26.7717,5.000000e+00,8.000000e+00
mos_tt_res_typ_27c_3.3v_24p4MHz_real,mos_tt,res_typ,27,3.3,24p4MHz,real,6.668090e-09,4.098361e-08,2.068750e+00,1.135250e+00,3.2300,0.2825,1.5667,2.3075,0.7407,4.939088e-09,12.0514,24.1027,25.4912,37.5425,1.500000e+00,2.250000e+00
mos_tt_res_typ_27c_3.3v_3p5MHz_ideal-0.20,mos_tt,res_typ,27,3.3,3p5MHz,ideal-0.20,5.383530e-09,2.857143e-07,2.068750e+00,1.135250e+00,3.2212,0.7207,6.0098,12.3698,6.3600,3.423927e-08,11.9837,23.9675,11.3239,23.3077,6.000000e+00,1.000000e+01
mos_tt_res_typ_27c_3.3v_3p5MHz_ideal0.20,mos_tt,res_typ,27,3.3,3p5MHz,ideal0.20,7.954300e-09,2.857143e-07,2.068750e+00,1.135250e+00,3.1795,0.5016,4.3107,8.7496,4.4390,3.530903e-08,12.3582,24.7163,12.0009,24.3590,4.000000e+00,8.000000e+00
mos_tt_res_typ_27c_3.3v_3p5MHz_real,mos_tt,res_typ,27,3.3,3p5MHz,real,6.668090e-09,2.857143e-07,2.068750e+00,1.135250e+00,3.2266,0.5950,5.1303,10.3006,5.1703,3.447620e-08,12.0667,24.1333,11.9732,24.0398,5.000000e+00,8.000000e+00
mos_tt_res_typ_27c_3.63v_24p4MHz_real,mos_tt,res_typ,27,3.63,24p4MHz,real,6.100970e-09,4.098361e-08,2.258490e+00,1.248720e+00,3.5530,0.2934,1.5566,2.3024,0.7458,4.550036e-09,11.1021,22.2042,23.1719,34.2740,1.500000e+00,2.250000e+00
mos_tt_res_typ_27c_3.63v_3p5MHz_real,mos_tt,res_typ,27,3.63,3p5MHz,real,6.100970e-09,2.857143e-07,2.258490e+00,1.248720e+00,3.5492,0.6654,5.0413,10.3356,5.2944,3.230092e-08,11.3053,22.6106,10.7648,22.0701,5.000000e+00,8.000000e+00
mos_tt_res_wcs_-40c_3.3v_24p4MHz_real,mos_tt,res_wcs,-40,3.3,24p4MHz,real,5.855460e-09,4.098361e-08,2.057200e+00,1.105480e+00,3.0909,0.1483,1.2640,1.7856,0.5216,3.054262e-09,7.4524,14.9048,18.0595,25.5119,1.250000e+00,1.750000e+00
mos_tt_res_wcs_-40c_3.3v_3p5MHz_real,mos_tt,res_wcs,-40,3.3,3p5MHz,real,5.855460e-09,2.857143e-07,2.057200e+00,1.105480e+00,3.0808,0.3584,3.3528,6.6814,3.3287,1.949092e-08,6.8218,13.6436,6.8712,13.6930,3.000000e+00,6.000000e+00
mos_tt_res_wcs_125c_3.3v_3p5MHz_real,mos_tt,res_wcs,125,3.3,3p5MHz,real,7.959140e-09,2.857143e-07,2.081260e+00,1.179700e+00,3.2283,0.6881,5.7297,11.2769,5.5473,4.415142e-08,15.4530,30.9060,15.9612,31.4142,6.000000e+00,1.000000e+01
mos_tt_res_wcs_27c_3.3v_3p5MHz_real,mos_tt,res_wcs,27,3.3,3p5MHz,real,6.668090e-09,2.857143e-07,2.068750e+00,1.135250e+00,3.1596,0.4825,4.2542,8.5134,4.2592,2.840065e-08,9.9402,19.8805,9.9286,19.8688,4.000000e+00,8.000000e+00
