mos_corner,res_corner,temp_c,dut_variant,tstep,twin_r_s
mos_tt,res_typ,27,real,20p,6.66809e-09
mos_ss,res_wcs,125,ideal0.20,20p,1.12413e-08
mos_ff,res_bcs,-40,ideal-0.20,20p,4.04319e-09
mos_sf,res_typ,27,real,20p,6.16772e-09
mos_tt,res_typ,27,real,5p,6.66740e-09
mos_ss,res_wcs,125,ideal0.20,5p,1.12406e-08
mos_ff,res_bcs,-40,ideal-0.20,5p,4.04191e-09
mos_sf,res_typ,27,real,5p,6.16607e-09
mos_tt,res_typ,27,real,1.25p,6.66734e-09
mos_ss,res_wcs,125,ideal0.20,1.25p,1.12406e-08
mos_ff,res_bcs,-40,ideal-0.20,1.25p,4.04183e-09
mos_sf,res_typ,27,real,1.25p,6.16601e-09
