kind,instance,corner,temp_c,w,l,m,value,source
R,XRPU(rhigh),res_typ,-40,0.5u,700u,1,2.637689e+06,ngspice-osdi
R,XRPU(rhigh),res_typ,27,0.5u,700u,1,2.266979e+06,ngspice-osdi
R,XRPU(rhigh),res_typ,125,0.5u,700u,1,1.801724e+06,ngspice-osdi
R,XRPU(rhigh),res_bcs,-40,0.5u,700u,1,1.978362e+06,ngspice-osdi
R,XRPU(rhigh),res_bcs,27,0.5u,700u,1,1.700315e+06,ngspice-osdi
R,XRPU(rhigh),res_bcs,125,0.5u,700u,1,1.351358e+06,ngspice-osdi
R,XRPU(rhigh),res_wcs,-40,0.5u,700u,1,3.297015e+06,ngspice-osdi
R,XRPU(rhigh),res_wcs,27,0.5u,700u,1,2.833641e+06,ngspice-osdi
R,XRPU(rhigh),res_wcs,125,0.5u,700u,1,2.252090e+06,ngspice-osdi
C,XCW(cap_cmomi),none,-40,40u,40u,1,1.691196e-12,ngspice-osdi
C,XCW(cap_cmomi),none,27,40u,40u,1,1.691196e-12,ngspice-osdi
C,XCW(cap_cmomi),none,125,40u,40u,1,1.691196e-12,ngspice-osdi
C,XDW.XC1(cap_cmomi),none,-40,40u,40u,2,3.382393e-12,ngspice-osdi
C,XDW.XC1(cap_cmomi),none,27,40u,40u,2,3.382393e-12,ngspice-osdi
C,XDW.XC1(cap_cmomi),none,125,40u,40u,2,3.382393e-12,ngspice-osdi
