corner_tag,tau_xwin,tau_s,state_discharged_start,state_charged_start,lka_min_v,lka_max_v,lka_avg_v,lkb_min_v,lkb_max_v,lkb_avg_v,vwin_a_min_v,vwin_a_max_v,vwin_a_avg_v
mos_tt_res_typ_-40c_3.3v_3p5MHz_real,0.50,2.927730e-09,IN,IN,1.314470e-07,2.528180e-07,1.901990e-07,-5.802710e-08,5.026970e-08,1.613070e-10,3.182140e+00,3.195880e+00,3.189150e+00
mos_tt_res_typ_-40c_3.3v_3p5MHz_real,1.00,5.855460e-09,IN,IN,-4.175250e-04,2.736560e-04,1.979250e-07,-4.132430e-04,2.703460e-04,7.681350e-09,3.161820e+00,3.176890e+00,3.169460e+00
mos_tt_res_typ_-40c_3.3v_3p5MHz_real,1.25,7.319325e-09,IN,IN,-6.624850e-04,3.656500e-04,1.760730e-07,-6.552130e-04,3.651250e-04,-1.409870e-08,3.085910e+00,3.105110e+00,3.095850e+00
mos_tt_res_typ_-40c_3.3v_3p5MHz_real,1.50,8.783190e-09,IN,IN,-7.071710e-04,3.824050e-04,1.933090e-07,-6.983750e-04,3.820750e-04,3.820310e-09,2.969360e+00,2.995850e+00,2.983080e+00
mos_tt_res_typ_-40c_3.3v_3p5MHz_real,1.75,1.024706e-08,IN,IN,-7.203470e-04,3.859370e-04,1.554090e-07,-7.108100e-04,3.857030e-04,-3.062140e-08,2.901560e+00,2.930690e+00,2.916690e+00
mos_tt_res_typ_-40c_3.3v_3p5MHz_real,2.00,1.171092e-08,IN,IN,-7.321420e-04,3.869410e-04,1.772080e-07,-7.206250e-04,3.862330e-04,6.329980e-09,2.788290e+00,2.824600e+00,2.807130e+00
mos_tt_res_typ_-40c_3.3v_3p5MHz_real,2.25,1.317479e-08,IN,IN,-7.488180e-04,4.019550e-04,1.526010e-07,-7.293590e-04,3.864310e-04,-1.920190e-08,2.699080e+00,2.739740e+00,2.720200e+00
mos_tt_res_typ_-40c_3.3v_3p5MHz_real,2.50,1.463865e-08,IN,IN,-7.911940e-04,5.068460e-04,8.978710e-08,-7.397430e-04,3.923900e-04,-4.473970e-08,2.617940e+00,2.661970e+00,2.640840e+00
mos_tt_res_typ_-40c_3.3v_3p5MHz_real,3.00,1.756638e-08,IN,IN,-6.894010e-04,7.523450e-04,1.462270e-08,-7.704820e-04,6.427770e-04,-3.196820e-08,2.436670e+00,2.489520e+00,2.464190e+00
mos_tt_res_typ_-40c_3.3v_3p5MHz_real,3.50,2.049411e-08,IN,IN,-5.517290e-04,7.960220e-04,2.050670e-09,-6.138560e-04,7.895860e-04,-1.418570e-08,2.243130e+00,2.306100e+00,2.275920e+00
mos_tt_res_typ_-40c_3.3v_3p5MHz_real,4.00,2.342184e-08,IN,IN,-4.736740e-04,7.740710e-04,-1.306450e-09,-5.045790e-04,7.871400e-04,-9.867610e-09,2.051430e+00,2.124630e+00,2.089360e+00
mos_tt_res_typ_-40c_3.3v_3p5MHz_real,5.00,2.927730e-08,OUT,IN,3.298290e+00,3.300210e+00,3.300000e+00,-4.553060e-04,7.416540e-04,-1.262830e-08,1.712050e+00,1.802440e+00,1.758000e+00
mos_tt_res_typ_-40c_3.3v_3p5MHz_real,6.00,3.513276e-08,OUT,IN,3.298330e+00,3.300240e+00,3.300000e+00,-5.778200e-04,7.235080e-04,-2.704490e-08,1.436260e+00,1.540050e+00,1.488220e+00
mos_tt_res_typ_-40c_3.3v_3p5MHz_real,7.00,4.098822e-08,OUT,IN,3.298290e+00,3.300250e+00,3.300000e+00,3.764880e-05,1.171260e-02,3.184560e-03,1.221950e+00,1.335670e+00,1.278200e+00
