pdk,dut,mos_corner,temp_c,vsup_v,vth_rising_v,vth_falling_v,hysteresis_v,hysteresis_pct_of_vdd
ihp-sg13cmos5l,feedback_rewired,mos_tt,-40,3.63,2.24331e+00,1.21241e+00,1.030900e+00,28.3994
ihp-sg13cmos5l,feedback_rewired,mos_tt,27,2.97,1.88157e+00,1.02228e+00,8.592900e-01,28.9323
ihp-sg13cmos5l,feedback_rewired,mos_tt,27,3.3,2.06875e+00,1.13525e+00,9.335000e-01,28.2879
ihp-sg13cmos5l,feedback_rewired,mos_tt,27,3.63,2.25849e+00,1.24872e+00,1.009770e+00,27.8174
ihp-sg13cmos5l,feedback_rewired,mos_tt,125,2.97,1.88736e+00,1.06172e+00,8.256400e-01,27.7993
ihp-sg13cmos5l,feedback_rewired,mos_tt,125,3.3,2.08126e+00,1.17970e+00,9.015600e-01,27.3200
ihp-sg13cmos5l,feedback_rewired,mos_tt,125,3.63,2.27379e+00,1.29413e+00,9.796600e-01,26.9879
ihp-sg13cmos5l,feedback_rewired,mos_ff,-40,2.97,1.85593e+00,9.99583e-01,8.563470e-01,28.8332
ihp-sg13cmos5l,feedback_rewired,mos_ff,-40,3.3,2.04212e+00,1.11046e+00,9.316600e-01,28.2321
ihp-sg13cmos5l,feedback_rewired,mos_ff,-40,3.63,2.22660e+00,1.22151e+00,1.005090e+00,27.6884
ihp-sg13cmos5l,feedback_rewired,mos_ff,27,2.97,1.86568e+00,1.02907e+00,8.366100e-01,28.1687
ihp-sg13cmos5l,feedback_rewired,mos_ff,27,3.3,2.05389e+00,1.14414e+00,9.097500e-01,27.5682
ihp-sg13cmos5l,feedback_rewired,mos_ff,27,3.63,2.24451e+00,1.25963e+00,9.848800e-01,27.1317
ihp-sg13cmos5l,feedback_rewired,mos_ff,125,2.97,1.87375e+00,1.06936e+00,8.043900e-01,27.0838
ihp-sg13cmos5l,feedback_rewired,mos_ff,125,3.3,2.06872e+00,1.18962e+00,8.791000e-01,26.6394
ihp-sg13cmos5l,feedback_rewired,mos_ff,125,3.63,2.26109e+00,1.30675e+00,9.543400e-01,26.2904
ihp-sg13cmos5l,feedback_rewired,mos_ss,-40,2.97,1.89158e+00,9.90645e-01,9.009350e-01,30.3345
ihp-sg13cmos5l,feedback_rewired,mos_ss,-40,3.3,2.07556e+00,1.09649e+00,9.790700e-01,29.6688
ihp-sg13cmos5l,feedback_rewired,mos_ss,-40,3.63,2.25858e+00,1.20048e+00,1.058100e+00,29.1488
ihp-sg13cmos5l,feedback_rewired,mos_ss,27,2.97,1.89701e+00,1.01716e+00,8.798500e-01,29.6246
ihp-sg13cmos5l,feedback_rewired,mos_ss,27,3.3,2.08455e+00,1.12667e+00,9.578800e-01,29.0267
ihp-sg13cmos5l,feedback_rewired,mos_ss,27,3.63,2.27018e+00,1.23621e+00,1.033970e+00,28.4840
ihp-sg13cmos5l,feedback_rewired,mos_ss,125,2.97,1.90135e+00,1.05279e+00,8.485600e-01,28.5710
ihp-sg13cmos5l,feedback_rewired,mos_ss,125,3.3,2.09436e+00,1.16814e+00,9.262200e-01,28.0673
ihp-sg13cmos5l,feedback_rewired,mos_ss,125,3.63,2.28627e+00,1.28135e+00,1.004920e+00,27.6837
ihp-sg13g2,as_drawn,mos_tt,-40,2.97,1.30416e+00,1.30318e+00,9.800000e-04,0.0330
ihp-sg13g2,as_drawn,mos_tt,-40,3.3,1.44455e+00,1.44356e+00,9.900000e-04,0.0300
ihp-sg13g2,as_drawn,mos_tt,-40,3.63,1.58774e+00,1.58671e+00,1.030000e-03,0.0284
ihp-sg13g2,as_drawn,mos_tt,27,2.97,1.35195e+00,1.35081e+00,1.140000e-03,0.0384
ihp-sg13g2,as_drawn,mos_tt,27,3.3,1.49512e+00,1.49398e+00,1.140000e-03,0.0345
