corner_tag,twin_r_s,in_window_lock_rail,tau_assert_s,tau_assert_xwin,tau_deassert_s,tau_deassert_xwin,hysteresis_s,hysteresis_pct_of_window,chatter,lock_min_deep_v,lock_max_deep_v,trec_s,vwin_min_zeroerr_v,vwin_max_zeroerr_v,idd_inlock_a,idd_outlock_a,ladder_states_discharged_start,ladder_states_charged_start,rc_s,tref_s,rc_over_tref,n_cycles,settle_frac
mos_tt_res_typ_-40c_3.3v_3p5MHz_real,5.855460e-09,lo,2.342184e-08,4.000000e+00,4.098822e-08,7.000000e+00,1.756638e-08,3.000000e+02,steady,3.295250e+00,3.302260e+00,3.353970e-06,3.166280e+00,3.181450e+00,2.831980e-06,5.003890e-05,IIIIIIIIIIIOOOOOOOOOO,IIIIIIIIIIIIIIOOOOOOO,4.460849e-06,2.857143e-07,15.613,56,0.9723
mos_tt_res_typ_27c_3.3v_3p5MHz_real,6.668090e-09,lo,3.334045e-08,5.000000e+00,5.334472e-08,8.000000e+00,2.000427e-08,3.000000e+02,steady,3.295740e+00,3.302100e+00,2.882240e-06,3.209400e+00,3.221080e+00,2.876780e-06,6.224990e-05,IIIIIIIIIIIIOOOOOOOOO,IIIIIIIIIIIIIIIOOOOOO,3.833906e-06,2.857143e-07,13.419,54,0.9821
mos_tt_res_typ_125c_3.3v_3p5MHz_real,7.959140e-09,lo,5.571398e-08,7.000000e+00,9.550968e-08,1.200000e+01,3.979570e-08,5.000000e+02,steady,3.295800e+00,3.301540e+00,2.290420e-06,3.206350e+00,3.221200e+00,3.149670e-06,8.845490e-05,IIIIIIIIIIIIIIOOOOOOO,IIIIIIIIIIIIIIIIIOOOO,3.047068e-06,2.857143e-07,10.665,43,0.9823
mos_tt_res_bcs_-40c_3.3v_3p5MHz_real,5.855460e-09,lo,2.927730e-08,5.000000e+00,4.684368e-08,8.000000e+00,1.756638e-08,3.000000e+02,steady,3.295350e+00,3.302080e+00,2.515590e-06,3.206800e+00,3.220400e+00,2.880440e-06,6.372020e-05,IIIIIIIIIIIIOOOOOOOOO,IIIIIIIIIIIIIIIOOOOOO,3.345798e-06,2.857143e-07,11.710,47,0.9819
mos_tt_res_bcs_27c_3.3v_3p5MHz_real,6.668090e-09,lo,4.000854e-08,6.000000e+00,8.001708e-08,1.200000e+01,4.000854e-08,6.000000e+02,steady,3.295830e+00,3.301810e+00,2.161790e-06,3.209390e+00,3.224820e+00,2.847720e-06,8.524330e-05,IIIIIIIIIIIIIOOOOOOOO,IIIIIIIIIIIIIIIIIOOOO,2.875566e-06,2.857143e-07,10.064,41,0.9830
mos_tt_res_bcs_125c_3.3v_3p5MHz_real,7.959140e-09,lo,6.367312e-08,8.000000e+00,1.273462e-07,1.600000e+01,6.367312e-08,8.000000e+02,steady,3.296180e+00,3.301530e+00,1.717900e-06,3.197710e+00,3.218750e+00,3.148640e-06,1.128970e-04,IIIIIIIIIIIIIIIOOOOOO,IIIIIIIIIIIIIIIIIIIOO,2.285411e-06,2.857143e-07,7.999,32,0.9817
mos_tt_res_wcs_-40c_3.3v_3p5MHz_real,5.855460e-09,lo,1.756638e-08,3.000000e+00,3.513276e-08,6.000000e+00,1.756638e-08,3.000000e+02,steady,3.295180e+00,3.302340e+00,4.192340e-06,3.043790e+00,3.067330e+00,2.832390e-06,4.677160e-05,IIIIIIIIIOOOOOOOOOOOO,IIIIIIIIIIIIIOOOOOOOO,5.575899e-06,2.857143e-07,19.516,56,0.9433
mos_tt_res_wcs_27c_3.3v_3p5MHz_real,6.668090e-09,lo,2.667236e-08,4.000000e+00,5.334472e-08,8.000000e+00,2.667236e-08,4.000000e+02,steady,3.295670e+00,3.302300e+00,3.602710e-06,3.132250e+00,3.150030e+00,2.836790e-06,5.213440e-05,IIIIIIIIIIIOOOOOOOOOO,IIIIIIIIIIIIIIIOOOOOO,4.792242e-06,2.857143e-07,16.773,56,0.9645
mos_tt_res_wcs_125c_3.3v_3p5MHz_real,7.959140e-09,lo,3.979570e-08,5.000000e+00,7.959140e-08,1.000000e+01,3.979570e-08,5.000000e+02,steady,3.295590e+00,3.301580e+00,2.862950e-06,3.211170e+00,3.222640e+00,3.137640e-06,7.265230e-05,IIIIIIIIIIIITOOOOOOOO,IIIIIIIIIIIIIIIIOOOOO,3.808726e-06,2.857143e-07,13.331,54,0.9826
mos_tt_res_typ_27c_3.3v_24p4MHz_real,6.668090e-09,lo,1.000214e-08,1.500000e+00,1.500320e-08,2.250000e+00,5.001068e-09,7.500000e+01,steady,3.295720e+00,3.304120e+00,2.882240e-06,3.218450e+00,3.220050e+00,2.096690e-05,6.516060e-05,IIIIOOOOOOOOOOOOOOOOO,IIIIIIIOOOOOOOOOOOOOO,3.833906e-06,4.098361e-08,93.547,375,0.9818
