variant,pdk,mos_corner,temp_c,vsup_v,vth_rising_v,vth_falling_v,hysteresis_v,hysteresis_pct_of_vdd,i_peak_rise_a,v_at_i_peak_rise_v,i_peak_fall_a,v_at_i_peak_fall_v,i_midband_rise_a,i_midband_fall_a,i_worst_a,i_rail_lo_a,i_rail_hi_a
long4u,ihp-sg13cmos5l,mos_ss,-40,3.63,2.312378e+00,1.206656e+00,1.105722e+00,30.4607,7.723069e-05,2.2820,4.619360e-05,1.2569,3.492170e-05,2.472910e-05,7.723069e-05,1.398778e-14,4.840802e-06
long4u,ihp-sg13cmos5l,mos_ss,27,2.97,1.936527e+00,9.593354e-01,9.771916e-01,32.9021,3.515569e-05,1.9057,2.326366e-05,1.0076,1.463544e-05,1.083367e-05,3.515569e-05,3.883321e-14,9.857267e-07
long4u,ihp-sg13cmos5l,mos_ss,27,3.3,2.127605e+00,1.083020e+00,1.044585e+00,31.6541,4.642387e-05,2.0927,3.060012e-05,1.1360,2.131361e-05,1.576592e-05,4.642387e-05,5.798194e-14,1.305532e-06
long4u,ihp-sg13cmos5l,mos_ss,27,3.63,2.318582e+00,1.203491e+00,1.115091e+00,30.7188,5.890201e-05,2.2783,3.877813e-05,1.2623,2.910615e-05,2.149947e-05,5.890201e-05,1.001082e-13,2.255475e-06
long4u,ihp-sg13cmos5l,mos_ss,125,2.97,1.938072e+00,9.669622e-01,9.711098e-01,32.6973,2.567988e-05,1.8923,1.903300e-05,1.0269,1.252385e-05,1.002540e-05,2.567988e-05,3.819116e-11,6.190819e-07
long4u,ihp-sg13cmos5l,mos_ss,125,3.3,2.133311e+00,1.088870e+00,1.044441e+00,31.6497,3.329605e-05,2.0828,2.470691e-05,1.1542,1.735480e-05,1.390407e-05,3.329605e-05,4.161049e-11,1.245246e-06
long4u,ihp-sg13cmos5l,mos_ss,125,3.63,2.328415e+00,1.209333e+00,1.119082e+00,30.8287,4.169033e-05,2.2729,3.101411e-05,1.2823,2.291365e-05,1.839190e-05,4.169033e-05,4.589227e-11,1.788144e-06
long4u,ihp-sg13cmos5l,mos_ff,-40,2.97,1.907670e+00,9.787563e-01,9.289137e-01,31.2766,5.724393e-05,1.8834,3.363590e-05,1.0209,2.376490e-05,1.681412e-05,5.724393e-05,2.193603e-12,8.364059e-07
long4u,ihp-sg13cmos5l,mos_ff,-40,3.3,2.096483e+00,1.098751e+00,9.977320e-01,30.2343,7.632104e-05,2.0696,4.389195e-05,1.1459,3.449123e-05,2.404245e-05,7.632104e-05,4.786801e-12,1.437505e-06
long4u,ihp-sg13cmos5l,mos_ff,-40,3.63,2.284653e+00,1.214286e+00,1.070367e+00,29.4867,9.763230e-05,2.2547,5.525497e-05,1.2696,4.720574e-05,3.259125e-05,9.763230e-05,9.315657e-12,3.511875e-06
long4u,ihp-sg13cmos5l,mos_ff,27,2.97,1.909407e+00,9.767799e-01,9.326271e-01,31.4016,4.437184e-05,1.8775,2.837979e-05,1.0254,2.053423e-05,1.502058e-05,4.437184e-05,7.082488e-12,2.291150e-06
long4u,ihp-sg13cmos5l,mos_ff,27,3.3,2.100775e+00,1.096189e+00,1.004586e+00,30.4420,5.812917e-05,2.0646,3.683650e-05,1.1509,2.877831e-05,2.101113e-05,5.812917e-05,1.371084e-11,5.041999e-07
long4u,ihp-sg13cmos5l,mos_ff,27,3.63,2.291572e+00,1.212909e+00,1.078663e+00,29.7152,7.338049e-05,2.2511,4.620705e-05,1.2732,3.843976e-05,2.792393e-05,7.338049e-05,2.422772e-11,3.028348e-06
long4u,ihp-sg13cmos5l,mos_ff,125,2.97,1.912342e+00,9.828431e-01,9.294989e-01,31.2963,3.189664e-05,1.8656,2.299253e-05,1.0447,1.690058e-05,1.339866e-05,3.189664e-05,1.100304e-10,9.120750e-07
long4u,ihp-sg13cmos5l,mos_ff,125,3.3,2.107410e+00,1.102292e+00,1.005118e+00,30.4581,4.107313e-05,2.0564,2.949887e-05,1.1690,2.280124e-05,1.805757e-05,4.107313e-05,1.377662e-10,4.668548e-07
long4u,ihp-sg13cmos5l,mos_ff,125,3.63,2.302050e+00,1.220517e+00,1.081533e+00,29.7943,5.119611e-05,2.2457,3.669764e-05,1.2950,2.958948e-05,2.337282e-05,5.119611e-05,1.751382e-10,5.027216e-07
long4u,ihp-sg13cmos5l,mos_sf,-40,2.97,1.938319e+00,9.895223e-01,9.487967e-01,31.9460,4.792489e-05,1.9131,3.156527e-05,1.0298,1.886428e-05,1.477454e-05,4.792489e-05,3.124788e-13,2.699225e-06
long4u,ihp-sg13cmos5l,mos_sf,-40,3.3,2.127734e+00,1.114652e+00,1.013082e+00,30.6995,6.427036e-05,2.0993,4.133562e-05,1.1608,2.803349e-05,2.145571e-05,6.427036e-05,8.176844e-13,5.712759e-09
long4u,ihp-sg13cmos5l,mos_sf,-40,3.63,2.316826e+00,1.235056e+00,1.081770e+00,29.8008,8.247534e-05,2.2856,5.219695e-05,1.2859,3.900938e-05,2.933552e-05,8.247534e-05,1.854347e-12,1.426069e-07
long4u,ihp-sg13cmos5l,mos_sf,27,2.97,1.939883e+00,9.887636e-01,9.511194e-01,32.0242,3.756080e-05,1.9072,2.666144e-05,1.0358,1.662558e-05,1.327386e-05,3.756080e-05,1.626039e-12,1.794748e-07
long4u,ihp-sg13cmos5l,mos_sf,27,3.3,2.132104e+00,1.112182e+00,1.019922e+00,30.9067,4.945900e-05,2.0943,3.473770e-05,1.1657,2.385468e-05,1.880658e-05,4.945900e-05,3.603736e-12,6.111911e-07
long4u,ihp-sg13cmos5l,mos_sf,27,3.63,2.324052e+00,1.232740e+00,1.091312e+00,30.0637,6.261913e-05,2.2820,4.370725e-05,1.2914,3.231407e-05,2.530644e-05,6.261913e-05,7.139423e-12,2.620752e-06
long4u,ihp-sg13cmos5l,mos_sf,125,2.97,1.943340e+00,9.961306e-01,9.472094e-01,31.8926,2.731238e-05,1.8953,2.165912e-05,1.0551,1.399496e-05,1.200160e-05,2.731238e-05,6.868408e-11,5.769620e-07
long4u,ihp-sg13cmos5l,mos_sf,125,3.3,2.139631e+00,1.118525e+00,1.021106e+00,30.9426,3.532363e-05,2.0877,2.788639e-05,1.1822,1.923283e-05,1.632041e-05,3.532363e-05,8.496235e-11,1.325601e-06
long4u,ihp-sg13cmos5l,mos_sf,125,3.63,2.335739e+00,1.239728e+00,1.096011e+00,30.1931,4.414787e-05,2.2783,3.478766e-05,1.3113,2.523484e-05,2.132953e-05,4.414787e-05,1.076239e-10,1.906074e-06
long4u,ihp-sg13cmos5l,mos_fs,-40,2.97,1.906057e+00,9.508056e-01,9.552514e-01,32.1633,5.317083e-05,1.8834,2.932888e-05,0.9927,2.073757e-05,1.359776e-05,5.317083e-05,7.952243e-15,3.165052e-07
long4u,ihp-sg13cmos5l,mos_fs,-40,3.3,2.094080e+00,1.072012e+00,1.022068e+00,30.9718,7.110925e-05,2.0679,3.866911e-05,1.1179,3.056781e-05,1.997737e-05,7.110925e-05,1.489396e-14,4.359086e-06
long4u,ihp-sg13cmos5l,mos_fs,-40,3.63,2.281546e+00,1.188267e+00,1.093279e+00,30.1179,9.116148e-05,2.2529,4.907512e-05,1.2406,4.233915e-05,2.759878e-05,9.116148e-05,3.488979e-14,4.642606e-06
long4u,ihp-sg13cmos5l,mos_fs,27,2.97,1.906945e+00,9.491894e-01,9.577556e-01,32.2477,4.142204e-05,1.8760,2.482654e-05,0.9987,1.807719e-05,1.232618e-05,4.142204e-05,8.018011e-14,9.173745e-07
long4u,ihp-sg13cmos5l,mos_fs,27,3.3,2.097436e+00,1.068962e+00,1.028474e+00,31.1659,5.440493e-05,2.0630,3.253659e-05,1.1245,2.576623e-05,1.762743e-05,5.440493e-05,1.579883e-13,3.956084e-07
long4u,ihp-sg13cmos5l,mos_fs,27,3.63,2.287544e+00,1.185690e+00,1.101854e+00,30.3541,6.879985e-05,2.2493,4.111693e-05,1.2478,3.477535e-05,2.386259e-05,6.879985e-05,3.449050e-13,1.625379e-06
long4u,ihp-sg13cmos5l,mos_fs,125,2.97,1.908084e+00,9.550824e-01,9.530016e-01,32.0876,2.990238e-05,1.8641,2.024666e-05,1.0165,1.510645e-05,1.122801e-05,2.990238e-05,5.104789e-11,9.173790e-07
long4u,ihp-sg13cmos5l,mos_fs,125,3.3,2.102360e+00,1.074163e+00,1.028197e+00,31.1575,3.858962e-05,2.0531,2.619089e-05,1.1410,2.059315e-05,1.541765e-05,3.858962e-05,5.625148e-11,7.970077e-07
long4u,ihp-sg13cmos5l,mos_fs,125,3.63,2.296273e+00,1.191854e+00,1.104419e+00,30.4248,4.817287e-05,2.2420,3.279113e-05,1.2641,2.694852e-05,2.024184e-05,4.817287e-05,6.338654e-11,1.199899e-06
long8u,ihp-sg13cmos5l,mos_tt,-40,2.97,2.010734e+00,8.693678e-01,1.141366e+00,38.4298,2.617071e-05,1.9591,1.592806e-05,0.9601,8.948597e-06,7.164587e-06,2.617071e-05,4.609670e-14,4.818241e-07
long8u,ihp-sg13cmos5l,mos_tt,-40,3.3,2.200119e+00,9.947959e-01,1.205323e+00,36.5249,3.468632e-05,2.1422,2.068853e-05,1.0915,1.357168e-05,1.037983e-05,3.468632e-05,1.359838e-13,4.135356e-07
long8u,ihp-sg13cmos5l,mos_tt,-40,3.63,2.389758e+00,1.114746e+00,1.275012e+00,35.1243,4.422085e-05,2.3255,2.598548e-05,1.2188,1.906323e-05,1.420467e-05,4.422085e-05,3.534879e-13,1.081314e-06
long8u,ihp-sg13cmos5l,mos_tt,27,2.97,2.024965e+00,8.566721e-01,1.168293e+00,39.3365,2.045230e-05,1.9562,1.351913e-05,0.9586,7.975235e-06,6.466386e-06,2.045230e-05,3.720099e-13,8.030787e-08
long8u,ihp-sg13cmos5l,mos_tt,27,3.3,2.218343e+00,9.789870e-01,1.239356e+00,37.5562,2.665399e-05,2.1422,1.747960e-05,1.0882,1.161336e-05,9.158058e-06,2.665399e-05,9.211984e-13,3.768275e-07
long8u,ihp-sg13cmos5l,mos_tt,27,3.63,2.411788e+00,1.097862e+00,1.313926e+00,36.1963,3.353474e-05,2.3273,2.187814e-05,1.2133,1.586894e-05,1.228491e-05,3.353474e-05,2.032576e-12,9.473318e-07
long8u,ihp-sg13cmos5l,mos_tt,125,2.97,2.049126e+00,8.451922e-01,1.203934e+00,40.5365,1.475019e-05,1.9532,1.107172e-05,0.9660,6.744970e-06,5.865137e-06,1.475019e-05,4.841803e-11,2.394618e-07
long8u,ihp-sg13cmos5l,mos_tt,125,3.3,2.248111e+00,9.644759e-01,1.283635e+00,38.8980,1.892006e-05,2.1438,1.415393e-05,1.0931,9.360777e-06,7.965476e-06,1.892006e-05,5.813376e-11,3.151505e-07
long8u,ihp-sg13cmos5l,mos_tt,125,3.63,2.446987e+00,1.082311e+00,1.364676e+00,37.5944,2.351672e-05,2.3328,1.756484e-05,1.2188,1.237967e-05,1.037223e-05,2.351672e-05,7.186791e-11,3.709514e-07
long8u,ihp-sg13cmos5l,mos_ss,-40,2.97,2.028913e+00,8.529394e-01,1.175974e+00,39.5951,2.330234e-05,1.9770,1.447700e-05,0.9437,7.349014e-06,6.014581e-06,2.330234e-05,7.017499e-15,1.623325e-08
long8u,ihp-sg13cmos5l,mos_ss,-40,3.3,2.217229e+00,9.818841e-01,1.235345e+00,37.4347,3.094191e-05,2.1587,1.890631e-05,1.0799,1.139924e-05,8.921405e-06,3.094191e-05,9.358887e-15,9.551975e-07
long8u,ihp-sg13cmos5l,mos_ss,-40,3.63,2.406578e+00,1.105052e+00,1.301526e+00,35.8547,3.950414e-05,2.3419,2.385105e-05,1.2097,1.631963e-05,1.238092e-05,3.950414e-05,1.390497e-14,1.898880e-06
long8u,ihp-sg13cmos5l,mos_ss,27,2.97,2.042287e+00,8.416717e-01,1.200615e+00,40.4248,1.834757e-05,1.9740,1.231097e-05,0.9452,6.670666e-06,5.504254e-06,1.834757e-05,3.534938e-14,4.161360e-08
long8u,ihp-sg13cmos5l,mos_ss,27,3.3,2.235032e+00,9.665266e-01,1.268505e+00,38.4396,2.395942e-05,2.1587,1.600641e-05,1.0766,9.900562e-06,7.922182e-06,2.395942e-05,5.446320e-14,6.044651e-07
long8u,ihp-sg13cmos5l,mos_ss,27,3.63,2.428392e+00,1.087632e+00,1.340760e+00,36.9355,3.019107e-05,2.3437,2.012184e-05,1.2043,1.370801e-05,1.078069e-05,3.019107e-05,9.639951e-14,2.759018e-08
long8u,ihp-sg13cmos5l,mos_ss,125,2.97,2.065526e+00,8.314571e-01,1.234069e+00,41.5511,1.332519e-05,1.9710,1.012752e-05,0.9541,5.763228e-06,5.088573e-06,1.332519e-05,3.450943e-11,2.077753e-07
long8u,ihp-sg13cmos5l,mos_ss,125,3.3,2.264474e+00,9.522579e-01,1.312216e+00,39.7641,1.713109e-05,2.1603,1.301245e-05,1.0816,8.114884e-06,7.007138e-06,1.713109e-05,3.791051e-11,2.459046e-07
long8u,ihp-sg13cmos5l,mos_ss,125,3.63,2.463480e+00,1.071365e+00,1.392115e+00,38.3503,2.132772e-05,2.3491,1.621250e-05,1.2079,1.087766e-05,9.221477e-06,2.132772e-05,4.216651e-11,1.863058e-07
long8u,ihp-sg13cmos5l,mos_ff,-40,2.97,1.992087e+00,8.822775e-01,1.109809e+00,37.3673,2.962463e-05,1.9398,1.744450e-05,0.9719,1.092585e-05,8.457898e-06,2.962463e-05,2.193608e-12,5.661251e-07
long8u,ihp-sg13cmos5l,mos_ff,-40,3.3,2.181905e+00,1.003841e+00,1.178064e+00,35.6989,3.919314e-05,2.1240,2.252891e-05,1.0997,1.610539e-05,1.202510e-05,3.919314e-05,4.786796e-12,7.710034e-07
long8u,ihp-sg13cmos5l,mos_ff,-40,3.63,2.371503e+00,1.120289e+00,1.251214e+00,34.4687,4.992438e-05,2.3074,2.816179e-05,1.2260,2.231397e-05,1.623308e-05,4.992438e-05,9.315582e-12,7.497368e-07
long8u,ihp-sg13cmos5l,mos_ff,27,2.97,2.006906e+00,8.685846e-01,1.138321e+00,38.3273,2.298074e-05,1.9383,1.479015e-05,0.9704,9.533693e-06,7.547887e-06,2.298074e-05,7.054316e-12,1.482292e-07
long8u,ihp-sg13cmos5l,mos_ff,27,3.3,2.200362e+00,9.881148e-01,1.212247e+00,36.7348,2.989509e-05,2.1240,1.901391e-05,1.0981,1.359565e-05,1.049772e-05,2.989509e-05,1.368243e-11,1.558854e-07
long8u,ihp-sg13cmos5l,mos_ff,27,3.63,2.393655e+00,1.104454e+00,1.289201e+00,35.5152,3.757639e-05,2.3110,2.368829e-05,1.2206,1.829872e-05,1.392954e-05,3.757639e-05,2.419891e-11,1.401880e-06
long8u,ihp-sg13cmos5l,mos_ff,125,2.97,2.031417e+00,8.562608e-01,1.175156e+00,39.5675,1.645801e-05,1.9354,1.207044e-05,0.9764,7.907478e-06,6.733781e-06,1.645801e-05,9.282747e-11,2.146854e-07
long8u,ihp-sg13cmos5l,mos_ff,125,3.3,2.230157e+00,9.738460e-01,1.256311e+00,38.0700,2.107092e-05,2.1257,1.535105e-05,1.1014,1.082928e-05,9.048740e-06,2.107092e-05,1.204696e-10,3.131745e-07
long8u,ihp-sg13cmos5l,mos_ff,125,3.63,2.428636e+00,1.090084e+00,1.338552e+00,36.8747,2.616147e-05,2.3146,1.897161e-05,1.2260,1.414533e-05,1.166150e-05,2.616147e-05,1.577107e-10,1.351730e-07
long8u,ihp-sg13cmos5l,mos_sf,-40,2.97,2.027816e+00,8.879448e-01,1.139871e+00,38.3795,2.482184e-05,1.9740,1.649873e-05,0.9779,8.521506e-06,7.451027e-06,2.482184e-05,3.124855e-13,1.019097e-06
long8u,ihp-sg13cmos5l,mos_sf,-40,3.3,2.218143e+00,1.014939e+00,1.203204e+00,36.4607,3.295096e-05,2.1570,2.135470e-05,1.1096,1.296178e-05,1.075123e-05,3.295096e-05,8.176395e-13,1.041215e-06
long8u,ihp-sg13cmos5l,mos_sf,-40,3.63,2.408765e+00,1.136619e+00,1.272146e+00,35.0453,4.204019e-05,2.3400,2.674651e-05,1.2406,1.829374e-05,1.463249e-05,4.204019e-05,1.854233e-12,1.527948e-06
long8u,ihp-sg13cmos5l,mos_sf,27,2.97,2.042636e+00,8.756407e-01,1.166995e+00,39.2928,1.945731e-05,1.9710,1.399326e-05,0.9764,7.622217e-06,6.708475e-06,1.945731e-05,1.614960e-12,1.134251e-08
long8u,ihp-sg13cmos5l,mos_sf,27,3.3,2.236979e+00,9.994062e-01,1.237573e+00,37.5022,2.539568e-05,2.1587,1.803799e-05,1.1080,1.112644e-05,9.441711e-06,2.539568e-05,3.592591e-12,3.800562e-08
long8u,ihp-sg13cmos5l,mos_sf,27,3.63,2.431495e+00,1.119870e+00,1.311625e+00,36.1329,3.197862e-05,2.3437,2.252144e-05,1.2351,1.526823e-05,1.260811e-05,3.197862e-05,7.128153e-12,9.550265e-08
long8u,ihp-sg13cmos5l,mos_sf,125,2.97,2.068178e+00,8.647791e-01,1.203399e+00,40.5185,1.408001e-05,1.9695,1.144177e-05,0.9838,6.492991e-06,6.045821e-06,1.408001e-05,5.976309e-11,2.103697e-07
long8u,ihp-sg13cmos5l,mos_sf,125,3.3,2.268297e+00,9.854019e-01,1.282895e+00,38.8756,1.808511e-05,2.1603,1.459156e-05,1.1129,9.053979e-06,8.193759e-06,1.808511e-05,7.600840e-11,3.152224e-07
long8u,ihp-sg13cmos5l,mos_sf,125,3.63,2.468333e+00,1.104674e+00,1.363659e+00,37.5664,2.249791e-05,2.3509,1.807196e-05,1.2406,1.197630e-05,1.062981e-05,2.249791e-05,9.861922e-11,3.681068e-07
long8u,ihp-sg13cmos5l,mos_fs,-40,2.97,1.993363e+00,8.499959e-01,1.143367e+00,38.4972,2.769656e-05,1.9428,1.534341e-05,0.9407,9.440910e-06,6.873891e-06,2.769656e-05,7.942404e-15,3.870494e-07
long8u,ihp-sg13cmos5l,mos_fs,-40,3.3,2.181874e+00,9.736408e-01,1.208233e+00,36.6131,3.666465e-05,2.1257,1.999818e-05,1.0700,1.421541e-05,1.003016e-05,3.666465e-05,1.490623e-14,1.098181e-06
long8u,ihp-sg13cmos5l,mos_fs,-40,3.63,2.370635e+00,1.091636e+00,1.278999e+00,35.2341,4.672940e-05,2.3092,2.518763e-05,1.1952,1.994830e-05,1.379422e-05,4.672940e-05,3.486694e-14,1.915805e-06
long8u,ihp-sg13cmos5l,mos_fs,27,2.97,2.007013e+00,8.368717e-01,1.170141e+00,39.3987,2.158074e-05,1.9413,1.303959e-05,0.9407,8.349934e-06,6.242876e-06,2.158074e-05,6.925231e-14,1.045839e-07
long8u,ihp-sg13cmos5l,mos_fs,27,3.3,2.199390e+00,9.575569e-01,1.241833e+00,37.6313,2.809134e-05,2.1257,1.691013e-05,1.0667,1.208625e-05,8.866647e-06,2.809134e-05,1.470016e-13,3.967970e-07
long8u,ihp-sg13cmos5l,mos_fs,27,3.63,2.391823e+00,1.074642e+00,1.317181e+00,36.2860,3.532712e-05,2.3110,2.121555e-05,1.1934,1.650671e-05,1.194627e-05,3.532712e-05,3.336914e-13,5.459503e-07
long8u,ihp-sg13cmos5l,mos_fs,125,2.97,2.029655e+00,8.247242e-01,1.204931e+00,40.5701,1.551203e-05,1.9369,1.070193e-05,0.9467,7.038030e-06,5.682823e-06,1.551203e-05,4.304931e-11,1.928215e-07
long8u,ihp-sg13cmos5l,mos_fs,125,3.3,2.227531e+00,9.425269e-01,1.285004e+00,38.9395,1.987560e-05,2.1273,1.371358e-05,1.0717,9.719441e-06,7.754176e-06,1.987560e-05,4.819785e-11,2.693469e-07
long8u,ihp-sg13cmos5l,mos_fs,125,3.63,2.425211e+00,1.058733e+00,1.366478e+00,37.6440,2.469077e-05,2.3146,1.705120e-05,1.1970,1.281174e-05,1.013249e-05,2.469077e-05,5.526000e-11,3.279967e-07
