variant,pdk,mos_corner,temp_c,vsup_v,vth_rising_v,vth_falling_v,hysteresis_v,hysteresis_pct_of_vdd,i_peak_rise_a,v_at_i_peak_rise_v,i_peak_fall_a,v_at_i_peak_fall_v,i_midband_rise_a,i_midband_fall_a,i_worst_a,i_rail_lo_a,i_rail_hi_a
asdrawn,ihp-sg13cmos5l,mos_ss,-40,3.3,2.075557e+00,1.096493e+00,9.790640e-01,29.6686,4.191567e-04,2.0712,2.942355e-04,1.1063,2.339713e-04,1.668265e-04,4.191567e-04,9.757877e-15,3.056767e-06
asdrawn,ihp-sg13cmos5l,mos_ss,-40,3.63,2.258576e+00,1.200478e+00,1.058098e+00,29.1487,4.986572e-04,2.2547,3.681005e-04,1.2133,2.943449e-04,2.289822e-04,4.986572e-04,1.454174e-14,2.458181e-06
asdrawn,ihp-sg13cmos5l,mos_ss,27,2.97,1.897010e+00,1.017158e+00,8.798520e-01,29.6246,2.798692e-04,1.8923,1.969563e-04,1.0239,1.463021e-04,1.035988e-04,2.798692e-04,1.005934e-13,3.607668e-06
asdrawn,ihp-sg13cmos5l,mos_ss,27,3.3,2.084547e+00,1.126674e+00,9.578730e-01,29.0265,3.497581e-04,2.0795,2.559370e-04,1.1377,1.966703e-04,1.493761e-04,3.497581e-04,1.238698e-13,2.597345e-06
asdrawn,ihp-sg13cmos5l,mos_ss,27,3.63,2.270179e+00,1.236212e+00,1.033967e+00,28.4839,4.218253e-04,2.2656,3.191004e-04,1.2496,2.503382e-04,2.016631e-04,4.218253e-04,1.709112e-13,1.232083e-06
asdrawn,ihp-sg13cmos5l,mos_ss,125,2.97,1.901351e+00,1.052794e+00,8.485570e-01,28.5709,2.140174e-04,1.8938,1.666685e-04,1.0625,1.176601e-04,9.582542e-05,2.140174e-04,8.754437e-11,6.576496e-07
asdrawn,ihp-sg13cmos5l,mos_ss,125,3.3,2.094357e+00,1.168138e+00,9.262190e-01,28.0672,2.713187e-04,2.0861,2.141697e-04,1.1789,1.584537e-04,1.322389e-04,2.713187e-04,9.281560e-11,6.085604e-07
asdrawn,ihp-sg13cmos5l,mos_ss,125,3.63,2.286271e+00,1.281349e+00,1.004922e+00,27.6838,3.316205e-04,2.2783,2.653274e-04,1.2968,2.030744e-04,1.733979e-04,3.316205e-04,9.917153e-11,1.099795e-06
asdrawn,ihp-sg13cmos5l,mos_ff,-40,2.97,1.855928e+00,9.995832e-01,8.563448e-01,28.8332,4.434859e-04,1.8522,3.054512e-04,1.0076,2.543998e-04,1.723591e-04,4.434859e-04,2.196141e-12,1.195762e-06
asdrawn,ihp-sg13cmos5l,mos_ff,-40,3.3,2.042115e+00,1.110457e+00,9.316580e-01,28.2321,5.408765e-04,2.0382,3.969952e-04,1.1212,3.287258e-04,2.419019e-04,5.408765e-04,4.789592e-12,1.315045e-06
