corner_tag,twin_r_s,in_window_lock_rail,tau_assert_s,tau_assert_xwin,tau_deassert_s,tau_deassert_xwin,hysteresis_s,hysteresis_pct_of_window,chatter,lock_min_deep_v,lock_max_deep_v,trec_s,vwin_min_zeroerr_v,vwin_max_zeroerr_v,idd_inlock_a,idd_outlock_a,ladder_states_discharged_start,ladder_states_charged_start,rc_s,tref_s,rc_over_tref,n_cycles,settle_frac
mos_tt_res_typ_-40c_3.3v_3p5MHz_ideal0.00,5.855730e-09,lo,2.927865e-09,5.000000e-01,2.927865e-09,5.000000e-01,0.000000e+00,0.000000e+00,steady,3.298170e+00,3.300140e+00,3.224240e-06,3.182500e+00,3.196200e+00,2.832380e-06,4.741450e-05,IOOOOOOOO,IOOOOOOOO,4.460849e-06,2.857143e-07,15.613,56,0.9723
mos_tt_res_typ_27c_3.3v_3p5MHz_ideal0.00,6.668920e-09,lo,3.334460e-09,5.000000e-01,3.334460e-09,5.000000e-01,0.000000e+00,0.000000e+00,steady,3.298100e+00,3.300130e+00,2.770200e-06,3.221430e+00,3.231830e+00,2.882850e-06,4.690950e-05,ITOOOOOOO,ITOOOOOOO,3.833906e-06,2.857143e-07,13.419,54,0.9821
mos_tt_res_typ_125c_3.3v_3p5MHz_ideal0.00,7.960020e-09,lo,7.960020e-09,1.000000e+00,7.960020e-09,1.000000e+00,0.000000e+00,0.000000e+00,steady,3.297960e+00,3.300140e+00,2.201480e-06,3.218890e+00,3.232100e+00,3.148900e-06,4.831680e-05,IIOOOOOOO,IIOOOOOOO,3.047068e-06,2.857143e-07,10.665,43,0.9823
mos_tt_res_bcs_-40c_3.3v_3p5MHz_ideal0.00,5.855730e-09,lo,2.927865e-09,5.000000e-01,2.927865e-09,5.000000e-01,0.000000e+00,0.000000e+00,steady,3.297540e+00,3.300150e+00,2.418300e-06,3.218980e+00,3.231110e+00,2.886310e-06,4.869250e-05,IOOOOOOOO,IOOOOOOOO,3.345798e-06,2.857143e-07,11.710,47,0.9819
mos_tt_res_bcs_27c_3.3v_3p5MHz_ideal0.00,6.668920e-09,lo,6.668920e-09,1.000000e+00,6.668920e-09,1.000000e+00,0.000000e+00,0.000000e+00,steady,3.297450e+00,3.300130e+00,2.077740e-06,3.221420e+00,3.235160e+00,2.847710e-06,4.664540e-05,IIOOOOOOO,IIOOOOOOO,2.875566e-06,2.857143e-07,10.064,41,0.9830
mos_tt_res_bcs_125c_3.3v_3p5MHz_ideal0.00,7.960020e-09,lo,7.960020e-09,1.000000e+00,7.960020e-09,1.000000e+00,0.000000e+00,0.000000e+00,steady,3.297270e+00,3.300150e+00,1.651180e-06,3.211190e+00,3.229940e+00,3.148900e-06,4.889260e-05,IIOOOOOOO,IIOOOOOOO,2.285411e-06,2.857143e-07,7.999,32,0.9817
mos_tt_res_wcs_-40c_3.3v_3p5MHz_ideal0.00,5.855730e-09,lo,2.927865e-09,5.000000e-01,2.927865e-09,5.000000e-01,0.000000e+00,0.000000e+00,steady,3.298550e+00,3.300140e+00,4.030190e-06,3.070550e+00,3.092210e+00,2.832060e-06,4.717560e-05,IOOOOOOOO,IOOOOOOOO,5.575899e-06,2.857143e-07,19.516,56,0.9433
mos_tt_res_wcs_27c_3.3v_3p5MHz_ideal0.00,6.668920e-09,lo,3.334460e-09,5.000000e-01,3.334460e-09,5.000000e-01,0.000000e+00,0.000000e+00,steady,3.298500e+00,3.300120e+00,3.462650e-06,3.151820e+00,3.167970e+00,2.836790e-06,4.590420e-05,ITOOOOOOO,ITOOOOOOO,4.792242e-06,2.857143e-07,16.773,56,0.9645
mos_tt_res_wcs_125c_3.3v_3p5MHz_ideal0.00,7.960020e-09,lo,7.960020e-09,1.000000e+00,7.960020e-09,1.000000e+00,0.000000e+00,0.000000e+00,steady,3.298430e+00,3.300100e+00,2.751780e-06,3.223170e+00,3.233350e+00,3.138900e-06,4.795500e-05,IIOOOOOOO,IIOOOOOOO,3.808726e-06,2.857143e-07,13.331,54,0.9826
mos_tt_res_typ_27c_3.3v_24p4MHz_ideal0.00,6.668920e-09,lo,6.668920e-09,1.000000e+00,6.668920e-09,1.000000e+00,0.000000e+00,0.000000e+00,steady,3.299210e+00,3.300570e+00,2.770190e-06,3.229510e+00,3.230930e+00,2.096640e-05,6.655850e-05,IIOOOOOOO,IIOOOOOOO,3.833906e-06,4.098361e-08,93.547,375,0.9818
mos_tt_res_bcs_125c_3.3v_24p4MHz_ideal0.00,7.960020e-09,lo,7.960020e-09,1.000000e+00,7.960020e-09,1.000000e+00,0.000000e+00,0.000000e+00,steady,3.299270e+00,3.300650e+00,1.651180e-06,3.228940e+00,3.231360e+00,2.194830e-05,4.450610e-05,IIOOOOOOO,IIOOOOOOO,2.285411e-06,4.098361e-08,55.764,224,0.9820
mos_tt_res_wcs_-40c_3.3v_24p4MHz_ideal0.00,5.855730e-09,lo,2.927865e-09,5.000000e-01,2.927865e-09,5.000000e-01,0.000000e+00,0.000000e+00,steady,3.299100e+00,3.300600e+00,4.030190e-06,3.090130e+00,3.093040e+00,1.996060e-05,9.507600e-05,IOOOOOOOO,IOOOOOOOO,5.575899e-06,4.098361e-08,136.052,391,0.9435
mos_tt_res_typ_27c_3.3v_3p5MHz_ideal-0.20,5.383530e-09,lo,5.383530e-09,1.000000e+00,5.383530e-09,1.000000e+00,0.000000e+00,0.000000e+00,steady,3.296880e+00,3.300230e+00,2.238700e-06,3.214320e+00,3.228210e+00,2.878330e-06,3.909350e-05,IIOOOOOOO,IIOOOOOOO,3.067125e-06,2.857143e-07,10.735,43,0.9818
mos_tt_res_typ_27c_3.3v_3p5MHz_ideal0.20,7.954300e-09,lo,3.977150e-09,5.000000e-01,3.977150e-09,5.000000e-01,0.000000e+00,0.000000e+00,steady,3.298680e+00,3.300090e+00,3.301690e-06,3.172370e+00,3.186890e+00,2.836980e-06,5.442480e-05,ITOOOOOOO,ITOOOOOOO,4.600687e-06,2.857143e-07,16.102,56,0.9691
mos_ff_res_typ_27c_3.3v_3p5MHz_ideal0.00,5.733420e-09,lo,5.733420e-09,1.000000e+00,5.733420e-09,1.000000e+00,0.000000e+00,0.000000e+00,steady,3.298110e+00,3.300120e+00,2.772600e-06,3.221220e+00,3.231600e+00,3.129230e-06,4.886780e-05,IIOOOOOOO,IIOOOOOOO,3.833906e-06,2.857143e-07,13.419,54,0.9821
