corner_tag,twin_r_s,in_window_lock_rail,tau_assert_s,tau_assert_xwin,tau_deassert_s,tau_deassert_xwin,hysteresis_s,hysteresis_pct_of_window,chatter,lock_min_deep_v,lock_max_deep_v,trec_s,vwin_min_zeroerr_v,vwin_max_zeroerr_v,idd_inlock_a,idd_outlock_a,ladder_states_discharged_start,ladder_states_charged_start,rc_s,tref_s,rc_over_tref,n_cycles,settle_frac
mos_tt_res_typ_-40c_3.3v_3p5MHz_real,5.855460e-09,lo,2.342184e-08,4.000000e+00,4.098822e-08,7.000000e+00,1.756638e-08,3.000000e+02,steady,3.297510e+00,3.300490e+00,3.211140e-06,3.182140e+00,3.195880e+00,2.832390e-06,7.972620e-05,IIIIIIIIIIIOOOOOOOOOO,IIIIIIIIIIIIIIOOOOOOO,4.460849e-06,2.857143e-07,15.613,56,0.9723
mos_tt_res_typ_27c_3.3v_3p5MHz_real,6.668090e-09,lo,3.334045e-08,5.000000e+00,5.334472e-08,8.000000e+00,2.000427e-08,3.000000e+02,steady,3.297910e+00,3.300230e+00,2.759650e-06,3.221190e+00,3.231630e+00,2.876860e-06,1.340030e-04,IIIIIIIIIIIIOOOOOOOOO,IIIIIIIIIIIIIIIOOOOOO,3.833906e-06,2.857143e-07,13.419,54,0.9821
mos_tt_res_typ_125c_3.3v_3p5MHz_real,7.959140e-09,lo,5.571398e-08,7.000000e+00,9.550968e-08,1.200000e+01,3.979570e-08,5.000000e+02,steady,3.298300e+00,3.300220e+00,2.193110e-06,3.218700e+00,3.231950e+00,3.149810e-06,2.234770e-04,IIIIIIIIIIIIIIOOOOOOO,IIIIIIIIIIIIIIIIIOOOO,3.047068e-06,2.857143e-07,10.665,43,0.9823
mos_tt_res_bcs_-40c_3.3v_3p5MHz_real,5.855460e-09,lo,2.927730e-08,5.000000e+00,4.684368e-08,8.000000e+00,1.756638e-08,3.000000e+02,steady,3.297580e+00,3.300490e+00,2.408470e-06,3.218740e+00,3.230910e+00,2.883710e-06,1.581060e-04,IIIIIIIIIIIIOOOOOOOOO,IIIIIIIIIIIIIIIOOOOOO,3.345798e-06,2.857143e-07,11.710,47,0.9819
mos_tt_res_bcs_27c_3.3v_3p5MHz_real,6.668090e-09,lo,4.000854e-08,6.000000e+00,8.001708e-08,1.200000e+01,4.000854e-08,6.000000e+02,steady,3.298130e+00,3.300200e+00,2.069840e-06,3.221180e+00,3.234970e+00,2.847720e-06,2.338420e-04,IIIIIIIIIIIIIOOOOOOOO,IIIIIIIIIIIIIIIIIOOOO,2.875566e-06,2.857143e-07,10.064,41,0.9830
mos_tt_res_bcs_125c_3.3v_3p5MHz_real,7.959140e-09,lo,6.367312e-08,8.000000e+00,1.273462e-07,1.600000e+01,6.367312e-08,8.000000e+02,steady,3.298450e+00,3.300190e+00,1.644910e-06,3.210970e+00,3.229770e+00,3.148780e-06,1.442160e-04,IIIIIIIIIIIIIIITOOOOO,IIIIIIIIIIIIIIIIIIIOO,2.285411e-06,2.857143e-07,7.999,32,0.9817
mos_tt_res_wcs_-40c_3.3v_3p5MHz_real,5.855460e-09,lo,1.756638e-08,3.000000e+00,3.513276e-08,6.000000e+00,1.756638e-08,3.000000e+02,steady,3.297470e+00,3.300500e+00,4.013810e-06,3.069770e+00,3.091520e+00,2.832390e-06,5.282560e-05,IIIIIIIIITOOOOOOOOOOO,IIIIIIIIIIIIIOOOOOOOO,5.575899e-06,2.857143e-07,19.516,56,0.9433
mos_tt_res_wcs_27c_3.3v_3p5MHz_real,6.668090e-09,lo,2.667236e-08,4.000000e+00,5.334472e-08,8.000000e+00,2.667236e-08,4.000000e+02,steady,3.297890e+00,3.300260e+00,3.449470e-06,3.151330e+00,3.167540e+00,2.836790e-06,8.426750e-05,IIIIIIIIIIIOOOOOOOOOO,IIIIIIIIIIIIIIIOOOOOO,4.792242e-06,2.857143e-07,16.773,56,0.9645
mos_tt_res_wcs_125c_3.3v_3p5MHz_real,7.959140e-09,lo,4.775484e-08,6.000000e+00,7.959140e-08,1.000000e+01,3.183656e-08,4.000000e+02,steady,3.298340e+00,3.300250e+00,2.741310e-06,3.223010e+00,3.233230e+00,3.137780e-06,1.587510e-04,IIIIIIIIIIIIIOOOOOOOO,IIIIIIIIIIIIIIIIOOOOO,3.808726e-06,2.857143e-07,13.331,54,0.9826
mos_tt_res_typ_27c_3.3v_24p4MHz_real,6.668090e-09,lo,1.000214e-08,1.500000e+00,1.500320e-08,2.250000e+00,5.001068e-09,7.500000e+01,steady,3.297910e+00,3.301620e+00,2.759650e-06,3.229290e+00,3.230710e+00,2.097410e-05,6.648050e-05,IIIIOOOOOOOOOOOOOOOOO,IIIIIIIOOOOOOOOOOOOOO,3.833906e-06,4.098361e-08,93.547,375,0.9818
mos_tt_res_bcs_125c_3.3v_24p4MHz_real,7.959140e-09,lo,1.591828e-08,2.000000e+00,2.387742e-08,3.000000e+00,7.959140e-09,1.000000e+02,steady,3.297980e+00,3.301460e+00,1.644910e-06,3.228770e+00,3.231200e+00,2.122080e-05,4.782690e-05,IIIIIIOOOOOOOOOOOOOOO,IIIIIIIIIOOOOOOOOOOOO,2.285411e-06,4.098361e-08,55.764,224,0.9820
mos_tt_res_wcs_-40c_3.3v_24p4MHz_real,5.855460e-09,lo,7.319325e-09,1.250000e+00,1.024706e-08,1.750000e+00,2.927730e-09,5.000000e+01,steady,3.297390e+00,3.301370e+00,4.013810e-06,3.089430e+00,3.092360e+00,1.988340e-05,9.192440e-05,IIIOOOOOOOOOOOOOOOOOO,IIIIIOOOOOOOOOOOOOOOO,5.575899e-06,4.098361e-08,136.052,391,0.9435
mos_ff_res_wcs_-40c_3.3v_24p4MHz_real,5.007140e-09,lo,6.258925e-09,1.250000e+00,8.762495e-09,1.750000e+00,2.503570e-09,5.000000e+01,steady,3.297250e+00,3.301910e+00,4.016560e-06,3.088920e+00,3.091870e+00,2.238900e-05,9.618650e-05,IIIOOOOOOOOOOOOOOOOOO,IIIIIOOOOOOOOOOOOOOOO,5.575899e-06,4.098361e-08,136.052,391,0.9435
mos_ss_res_bcs_125c_3.3v_24p4MHz_real,9.423090e-09,lo,1.884618e-08,2.000000e+00,2.355772e-08,2.500000e+00,4.711545e-09,5.000000e+01,steady,3.297920e+00,3.301320e+00,1.643890e-06,3.228960e+00,3.231380e+00,2.144080e-05,4.695300e-05,IIIIIIOOOOOOOOOOOOOOO,IIIIIIIIOOOOOOOOOOOOO,2.285411e-06,4.098361e-08,55.764,224,0.9820
mos_tt_res_typ_27c_3.63v_24p4MHz_real,6.100970e-09,lo,9.151455e-09,1.500000e+00,1.372718e-08,2.250000e+00,4.575727e-09,7.500000e+01,steady,3.627270e+00,3.632170e+00,2.759810e-06,3.552170e+00,3.553740e+00,2.419190e-05,7.660760e-05,IIIIOOOOOOOOOOOOOOOOO,IIIIIIIOOOOOOOOOOOOOO,3.833906e-06,4.098361e-08,93.547,375,0.9818
mos_tt_res_typ_27c_3.3v_3p5MHz_ideal-0.20,5.383530e-09,lo,3.230118e-08,6.000000e+00,5.383530e-08,1.000000e+01,2.153412e-08,4.000000e+02,steady,3.297600e+00,3.300360e+00,2.228160e-06,3.214000e+00,3.227950e+00,2.878440e-06,1.901010e-04,IIIIIIIIIIIIIOOOOOOOO,IIIIIIIIIIIIIIIIOOOOO,3.067125e-06,2.857143e-07,10.735,43,0.9818
mos_tt_res_typ_27c_3.3v_3p5MHz_ideal0.20,7.954300e-09,lo,3.181720e-08,4.000000e+00,6.363440e-08,8.000000e+00,3.181720e-08,4.000000e+02,steady,3.298260e+00,3.300220e+00,3.291150e-06,3.172020e+00,3.186590e+00,2.836950e-06,1.009260e-04,IIIIIIIIIIIOOOOOOOOOO,IIIIIIIIIIIIIIIOOOOOO,4.600687e-06,2.857143e-07,16.102,56,0.9691
