corner_tag,tau_xwin,tau_s,state_discharged_start,state_charged_start,lka_min_v,lka_max_v,lka_avg_v,lkb_min_v,lkb_max_v,lkb_avg_v,vwin_a_min_v,vwin_a_max_v,vwin_a_avg_v
mos_tt_res_typ_-40c_3.3v_3p5MHz_real,0.50,2.927730e-09,IN,IN,2.257650e-06,2.670730e-06,2.441760e-06,-8.942830e-08,7.794080e-08,6.152550e-10,3.166280e+00,3.181450e+00,3.174010e+00
mos_tt_res_typ_-40c_3.3v_3p5MHz_real,1.00,5.855460e-09,IN,IN,-1.616340e-03,1.663090e-03,2.532290e-06,-1.617100e-03,1.650210e-03,8.643870e-08,3.146030e+00,3.162470e+00,3.154350e+00
mos_tt_res_typ_-40c_3.3v_3p5MHz_real,1.25,7.319325e-09,IN,IN,-2.510130e-03,1.907230e-04,2.327580e-06,-2.499350e-03,1.849560e-04,-1.225260e-07,3.071340e+00,3.091660e+00,3.081840e+00
mos_tt_res_typ_-40c_3.3v_3p5MHz_real,1.50,8.783190e-09,IN,IN,-2.573200e-03,2.572840e-04,2.262520e-06,-2.559160e-03,2.499070e-04,-2.059450e-07,2.969770e+00,2.995520e+00,2.983100e+00
mos_tt_res_typ_-40c_3.3v_3p5MHz_real,1.75,1.024706e-08,IN,IN,-2.588100e-03,1.811780e-04,2.167780e-06,-2.572600e-03,1.746300e-04,-3.071770e-07,2.887430e+00,2.917380e+00,2.902950e+00
mos_tt_res_typ_-40c_3.3v_3p5MHz_real,2.00,1.171092e-08,IN,IN,-2.613830e-03,1.864370e-04,2.141760e-06,-2.594290e-03,1.791810e-04,-3.392080e-07,2.790810e+00,2.825900e+00,2.809010e+00
mos_tt_res_typ_-40c_3.3v_3p5MHz_real,2.25,1.317479e-08,IN,IN,-2.640280e-03,1.945940e-04,2.285860e-06,-2.603760e-03,1.857090e-04,-1.432010e-07,2.683920e+00,2.725240e+00,2.705340e+00
mos_tt_res_typ_-40c_3.3v_3p5MHz_real,2.50,1.463865e-08,IN,IN,-2.831650e-03,2.050550e-04,1.643380e-06,-2.617160e-03,1.912840e-04,-1.991750e-07,2.602570e+00,2.647160e+00,2.625720e+00
mos_tt_res_typ_-40c_3.3v_3p5MHz_real,3.00,1.756638e-08,IN,IN,-3.338880e-03,1.014340e-03,-6.813830e-09,-3.106300e-03,5.227580e-04,-2.295170e-07,2.414140e+00,2.467820e+00,2.442020e+00
mos_tt_res_typ_-40c_3.3v_3p5MHz_real,3.50,2.049411e-08,IN,IN,-3.332690e-03,1.328100e-03,-3.488230e-07,-3.355640e-03,1.168280e-03,1.429910e-07,2.223830e+00,2.286890e+00,2.256590e+00
mos_tt_res_typ_-40c_3.3v_3p5MHz_real,4.00,2.342184e-08,IN,IN,-3.240640e-03,1.451780e-03,-5.269960e-07,-3.293460e-03,1.394820e-03,1.930070e-07,2.021200e+00,2.095050e+00,2.059500e+00
mos_tt_res_typ_-40c_3.3v_3p5MHz_real,5.00,2.927730e-08,OUT,IN,3.295480e+00,3.300810e+00,3.300010e+00,-3.201120e-03,1.568430e-03,3.850580e-07,1.715810e+00,1.802330e+00,1.759770e+00
mos_tt_res_typ_-40c_3.3v_3p5MHz_real,6.00,3.513276e-08,OUT,IN,3.295680e+00,3.300850e+00,3.300000e+00,-3.243420e-03,1.571920e-03,3.566740e-07,1.433900e+00,1.533570e+00,1.483960e+00
mos_tt_res_typ_-40c_3.3v_3p5MHz_real,7.00,4.098822e-08,OUT,IN,3.295600e+00,3.301060e+00,3.300000e+00,-6.397690e-04,1.954970e-02,5.622620e-03,1.219660e+00,1.328840e+00,1.273850e+00
mos_tt_res_typ_-40c_3.3v_3p5MHz_real,8.00,4.684368e-08,OUT,OUT,3.295440e+00,3.301180e+00,3.300000e+00,3.295450e+00,3.301180e+00,3.300000e+00,1.057190e+00,1.172650e+00,1.114350e+00
mos_tt_res_typ_-40c_3.3v_3p5MHz_real,10.00,5.855460e-08,OUT,OUT,3.295150e+00,3.301430e+00,3.300000e+00,3.295150e+00,3.301430e+00,3.300000e+00,8.285820e-01,9.506470e-01,8.888910e-01
mos_tt_res_typ_-40c_3.3v_3p5MHz_real,12.00,7.026552e-08,OUT,OUT,3.295050e+00,3.301670e+00,3.300000e+00,3.295050e+00,3.301670e+00,3.300000e+00,6.797070e-01,8.035510e-01,7.407250e-01
mos_tt_res_typ_-40c_3.3v_3p5MHz_real,14.00,8.197644e-08,OUT,OUT,3.295230e+00,3.301910e+00,3.300000e+00,3.295230e+00,3.301910e+00,3.300000e+00,5.746400e-01,6.976310e-01,6.351170e-01
mos_tt_res_typ_-40c_3.3v_3p5MHz_real,16.00,9.368736e-08,OUT,OUT,3.295270e+00,3.302100e+00,3.300000e+00,3.295270e+00,3.302100e+00,3.300000e+00,4.967120e-01,6.171390e-01,5.558330e-01
mos_tt_res_typ_-40c_3.3v_3p5MHz_real,18.00,1.053983e-07,OUT,OUT,3.295260e+00,3.302190e+00,3.300000e+00,3.295260e+00,3.302190e+00,3.300000e+00,4.375170e-01,5.541290e-01,4.946470e-01
mos_tt_res_typ_-40c_3.3v_3p5MHz_real,20.00,1.171092e-07,OUT,OUT,3.295250e+00,3.302260e+00,3.300000e+00,3.295250e+00,3.302260e+00,3.300000e+00,3.901610e-01,5.020650e-01,4.449730e-01
mos_tt_res_typ_27c_3.3v_3p5MHz_real,0.50,3.334045e-09,IN,IN,2.374280e-06,2.853560e-06,2.587870e-06,-8.366440e-08,8.443260e-08,5.820070e-09,3.209410e+00,3.221110e+00,3.215390e+00
mos_tt_res_typ_27c_3.3v_3p5MHz_real,1.00,6.668090e-09,IN,IN,-1.112470e-04,4.077730e-04,2.762200e-06,-1.142030e-04,4.045690e-04,1.757500e-07,3.203260e+00,3.215700e+00,3.209620e+00
mos_tt_res_typ_27c_3.3v_3p5MHz_real,1.25,8.335113e-09,IN,IN,-2.490090e-03,3.821030e-04,2.552250e-06,-2.484050e-03,3.746230e-04,-4.018920e-08,3.142070e+00,3.158010e+00,3.150300e+00
mos_tt_res_typ_27c_3.3v_3p5MHz_real,1.50,1.000214e-08,IN,IN,-2.559420e-03,4.049950e-04,2.744840e-06,-2.549270e-03,3.968360e-04,1.344500e-07,3.056840e+00,3.078350e+00,3.068050e+00
mos_tt_res_typ_27c_3.3v_3p5MHz_real,1.75,1.166916e-08,IN,IN,-2.531640e-03,2.576070e-04,2.393880e-06,-2.521840e-03,2.509600e-04,-2.127580e-07,3.003690e+00,3.027820e+00,3.016320e+00
mos_tt_res_typ_27c_3.3v_3p5MHz_real,2.00,1.333618e-08,IN,IN,-2.553670e-03,2.298500e-04,2.115170e-06,-2.542380e-03,2.233680e-04,-4.789060e-07,2.939160e+00,2.966740e+00,2.953640e+00
mos_tt_res_typ_27c_3.3v_3p5MHz_real,2.25,1.500320e-08,IN,IN,-2.572450e-03,2.359820e-04,2.235160e-06,-2.557240e-03,2.289660e-04,-2.970060e-07,2.857800e+00,2.890550e+00,2.875030e+00
mos_tt_res_typ_27c_3.3v_3p5MHz_real,2.50,1.667023e-08,IN,IN,-2.589430e-03,2.444630e-04,2.605950e-06,-2.556840e-03,2.357940e-04,3.570340e-08,2.768530e+00,2.807650e+00,2.789050e+00
mos_tt_res_typ_27c_3.3v_3p5MHz_real,3.00,2.000427e-08,IN,IN,-2.892630e-03,3.983220e-04,1.375600e-06,-2.656390e-03,2.504230e-04,-3.415370e-07,2.630270e+00,2.676540e+00,2.654610e+00
mos_tt_res_typ_27c_3.3v_3p5MHz_real,3.50,2.333832e-08,IN,IN,-3.177350e-03,8.193560e-04,2.000680e-07,-3.057700e-03,6.562460e-04,-3.299380e-08,2.473520e+00,2.528810e+00,2.502430e+00
mos_tt_res_typ_27c_3.3v_3p5MHz_real,4.00,2.667236e-08,IN,IN,-3.186080e-03,1.001970e-03,-6.884360e-08,-3.182010e-03,9.069910e-04,1.197200e-07,2.346290e+00,2.408920e+00,2.378300e+00
mos_tt_res_typ_27c_3.3v_3p5MHz_real,5.00,3.334045e-08,IN,IN,-3.102160e-03,1.160550e-03,-1.957130e-07,-3.130700e-03,1.103110e-03,3.808210e-07,2.048740e+00,2.128220e+00,2.089040e+00
mos_tt_res_typ_27c_3.3v_3p5MHz_real,6.00,4.000854e-08,OUT,IN,3.295650e+00,3.300870e+00,3.299980e+00,-3.039990e-03,1.249610e-03,5.987210e-07,1.806050e+00,1.897310e+00,1.851460e+00
mos_tt_res_typ_27c_3.3v_3p5MHz_real,7.00,4.667663e-08,OUT,IN,3.295960e+00,3.300980e+00,3.300000e+00,-2.969010e-03,1.302740e-03,7.453870e-07,1.570280e+00,1.673140e+00,1.621070e+00
