mos_corner,temp_c,vsup_v,vth_rising_v,vth_falling_v,hysteresis_v,hysteresis_pct_of_vdd
mos_tt,-40,2.97,1.88961e+00,1.01045e+00,8.791600e-01,29.6013
mos_tt,-40,3.3,2.07853e+00,1.13126e+00,9.472700e-01,28.7052
mos_tt,-40,3.63,2.26661e+00,1.24785e+00,1.018760e+00,28.0650
mos_tt,27,2.97,1.88710e+00,1.01610e+00,8.710000e-01,29.3266
mos_tt,27,3.3,2.07836e+00,1.13657e+00,9.417900e-01,28.5391
mos_tt,27,3.63,2.26901e+00,1.25458e+00,1.014430e+00,27.9457
mos_tt,125,2.97,1.88269e+00,1.03267e+00,8.500200e-01,28.6202
mos_tt,125,3.3,2.07711e+00,1.15365e+00,9.234600e-01,27.9836
mos_tt,125,3.63,2.27114e+00,1.27348e+00,9.976600e-01,27.4837
mos_ss,-40,2.97,1.90075e+00,1.00157e+00,8.991800e-01,30.2754
mos_ss,-40,3.3,2.08981e+00,1.12466e+00,9.651500e-01,29.2470
mos_ss,-40,3.63,2.27778e+00,1.24313e+00,1.034650e+00,28.5028
mos_ss,27,2.97,1.89797e+00,1.00793e+00,8.900400e-01,29.9677
mos_ss,27,3.3,2.08913e+00,1.12977e+00,9.593600e-01,29.0715
mos_ss,27,3.63,2.27966e+00,1.24882e+00,1.030840e+00,28.3978
mos_ss,125,2.97,1.89261e+00,1.02513e+00,8.674800e-01,29.2081
mos_ss,125,3.3,2.08712e+00,1.14662e+00,9.405000e-01,28.5000
mos_ss,125,3.63,2.28118e+00,1.26692e+00,1.014260e+00,27.9410
mos_ff,-40,2.97,1.87705e+00,1.01676e+00,8.602900e-01,28.9660
mos_ff,-40,3.3,2.06609e+00,1.13508e+00,9.310100e-01,28.2124
mos_ff,-40,3.63,2.25390e+00,1.24945e+00,1.004450e+00,27.6708
mos_ff,27,2.97,1.87519e+00,1.02202e+00,8.531700e-01,28.7263
mos_ff,27,3.3,2.06639e+00,1.14079e+00,9.256000e-01,28.0485
mos_ff,27,3.63,2.25676e+00,1.25743e+00,9.993300e-01,27.5298
mos_ff,125,2.97,1.87146e+00,1.03832e+00,8.331400e-01,28.0519
mos_ff,125,3.3,2.06555e+00,1.15838e+00,9.071700e-01,27.4900
mos_ff,125,3.63,2.25916e+00,1.27736e+00,9.818000e-01,27.0468
mos_sf,-40,2.97,1.90500e+00,1.02983e+00,8.751700e-01,29.4670
mos_sf,-40,3.3,2.09487e+00,1.15263e+00,9.422400e-01,28.5527
mos_sf,-40,3.63,2.28391e+00,1.27134e+00,1.012570e+00,27.8945
mos_sf,27,2.97,1.90307e+00,1.03573e+00,8.673400e-01,29.2034
mos_sf,27,3.3,2.09506e+00,1.15814e+00,9.369200e-01,28.3915
mos_sf,27,3.63,2.28659e+00,1.27810e+00,1.008490e+00,27.7821
mos_sf,125,2.97,1.89972e+00,1.05309e+00,8.466300e-01,28.5061
mos_sf,125,3.3,2.09505e+00,1.17562e+00,9.194300e-01,27.8615
mos_sf,125,3.63,2.29012e+00,1.29737e+00,9.927500e-01,27.3485
mos_fs,-40,2.97,1.87370e+00,9.90390e-01,8.833100e-01,29.7411
mos_fs,-40,3.3,2.06206e+00,1.10901e+00,9.530500e-01,28.8803
mos_fs,-40,3.63,2.24970e+00,1.22330e+00,1.026400e+00,28.2755
mos_fs,27,2.97,1.87106e+00,9.95550e-01,8.755100e-01,29.4785
mos_fs,27,3.3,2.06154e+00,1.11405e+00,9.474900e-01,28.7118
mos_fs,27,3.63,2.25125e+00,1.22977e+00,1.021480e+00,28.1399
mos_fs,125,2.97,1.86556e+00,1.01151e+00,8.540500e-01,28.7559
mos_fs,125,3.3,2.05889e+00,1.13052e+00,9.283700e-01,28.1324
mos_fs,125,3.63,2.25176e+00,1.24840e+00,1.003360e+00,27.6408
