kind,instance,corner,temp_c,w,l,m,value
R,XRPU(rhigh),res_typ,-40,0.5u,6u,1,2.297799e+04
R,XRPU(rhigh),res_typ,27,0.5u,6u,1,1.974857e+04
R,XRPU(rhigh),res_typ,125,0.5u,6u,1,1.569554e+04
R,XRPU(rhigh),res_bcs,-40,0.5u,6u,1,1.732658e+04
R,XRPU(rhigh),res_bcs,27,0.5u,6u,1,1.489143e+04
R,XRPU(rhigh),res_bcs,125,0.5u,6u,1,1.183524e+04
R,XRPU(rhigh),res_wcs,-40,0.5u,6u,1,2.862941e+04
R,XRPU(rhigh),res_wcs,27,0.5u,6u,1,2.460571e+04
R,XRPU(rhigh),res_wcs,125,0.5u,6u,1,1.955584e+04
C,XCW(cap_cmomi),none,-40,8u,8u,1,5.981816e-14
C,XCW(cap_cmomi),none,27,8u,8u,1,5.981816e-14
C,XCW(cap_cmomi),none,125,8u,8u,1,5.981816e-14
C,XDW.XC1(cap_cmomi),none,-40,4u,4u,2,2.728996e-14
C,XDW.XC1(cap_cmomi),none,27,4u,4u,2,2.728996e-14
C,XDW.XC1(cap_cmomi),none,125,4u,4u,2,2.728996e-14
