sweep,mos_corner,res_corner,temp_c,vsup_v,fref_hz,xmpd_w,xmpd_l,xmpd_l_over_w,twin_r_s,tau_xwin,tau_s,vwin_discharged_start_avg_v,vwin_charged_start_avg_v,lock_discharged_start_avg_v,lock_charged_start_avg_v
min_hysteresis,mos_ff,res_wcs,-40,3.3,24.4e6,2u,0.5u,0.25,5.00714e-09,1.00,5.007140e-09,3.90077e-02,3.90078e-02,3.30000e+00,3.30000e+00
min_hysteresis,mos_ff,res_wcs,-40,3.3,24.4e6,2u,0.5u,0.25,5.00714e-09,1.20,6.008568e-09,2.12748e-02,2.12748e-02,3.30000e+00,3.30000e+00
min_hysteresis,mos_ff,res_wcs,-40,3.3,24.4e6,2u,0.5u,0.25,5.00714e-09,1.40,7.009996e-09,7.86208e-03,7.86209e-03,3.30000e+00,3.30000e+00
min_hysteresis,mos_ff,res_wcs,-40,3.3,24.4e6,2u,0.5u,0.25,5.00714e-09,1.60,8.011424e-09,6.60392e-03,6.60392e-03,3.30000e+00,3.30000e+00
min_hysteresis,mos_ff,res_wcs,-40,3.3,24.4e6,2u,0.5u,0.25,5.00714e-09,1.80,9.012852e-09,6.01314e-03,6.01317e-03,3.30000e+00,3.30000e+00
min_hysteresis,mos_ff,res_wcs,-40,3.3,24.4e6,2u,0.5u,0.25,5.00714e-09,2.00,1.001428e-08,5.60149e-03,5.60149e-03,3.30000e+00,3.30000e+00
min_hysteresis,mos_ff,res_wcs,-40,3.3,24.4e6,2u,0.5u,0.25,5.00714e-09,2.50,1.251785e-08,4.64447e-03,4.64457e-03,3.30000e+00,3.30000e+00
min_hysteresis,mos_ff,res_wcs,-40,3.3,24.4e6,0.5u,8u,16,5.00714e-09,1.00,5.007140e-09,2.50844e+00,2.70585e+00,7.94334e-09,-8.77740e-08
min_hysteresis,mos_ff,res_wcs,-40,3.3,24.4e6,0.5u,8u,16,5.00714e-09,1.20,6.008568e-09,1.13316e+00,1.14944e+00,3.30000e+00,8.87355e-02
min_hysteresis,mos_ff,res_wcs,-40,3.3,24.4e6,0.5u,8u,16,5.00714e-09,1.40,7.009996e-09,6.09871e-01,6.09885e-01,3.30000e+00,3.30000e+00
min_hysteresis,mos_ff,res_wcs,-40,3.3,24.4e6,0.5u,8u,16,5.00714e-09,1.60,8.011424e-09,4.44269e-01,4.44269e-01,3.30000e+00,3.30000e+00
min_hysteresis,mos_ff,res_wcs,-40,3.3,24.4e6,0.5u,8u,16,5.00714e-09,1.80,9.012852e-09,3.35727e-01,3.35727e-01,3.30000e+00,3.30000e+00
min_hysteresis,mos_ff,res_wcs,-40,3.3,24.4e6,0.5u,8u,16,5.00714e-09,2.00,1.001428e-08,2.70973e-01,2.70976e-01,3.30000e+00,3.30000e+00
min_hysteresis,mos_ff,res_wcs,-40,3.3,24.4e6,0.5u,8u,16,5.00714e-09,2.50,1.251785e-08,1.80653e-01,1.80653e-01,3.30000e+00,3.30000e+00
min_hysteresis,mos_ff,res_wcs,-40,3.3,24.4e6,0.25u,8u,32,5.00714e-09,1.00,5.007140e-09,2.73112e+00,2.93283e+00,1.27452e-07,-5.22659e-08
min_hysteresis,mos_ff,res_wcs,-40,3.3,24.4e6,0.25u,8u,32,5.00714e-09,1.20,6.008568e-09,1.74805e+00,1.87283e+00,3.30000e+00,2.62057e-08
min_hysteresis,mos_ff,res_wcs,-40,3.3,24.4e6,0.25u,8u,32,5.00714e-09,1.40,7.009996e-09,7.70996e-01,7.71798e-01,3.30000e+00,3.30000e+00
min_hysteresis,mos_ff,res_wcs,-40,3.3,24.4e6,0.25u,8u,32,5.00714e-09,1.60,8.011424e-09,5.95048e-01,5.95077e-01,3.30000e+00,3.30000e+00
min_hysteresis,mos_ff,res_wcs,-40,3.3,24.4e6,0.25u,8u,32,5.00714e-09,1.80,9.012852e-09,4.83114e-01,4.83115e-01,3.30000e+00,3.30000e+00
min_hysteresis,mos_ff,res_wcs,-40,3.3,24.4e6,0.25u,8u,32,5.00714e-09,2.00,1.001428e-08,4.04520e-01,4.04520e-01,3.30000e+00,3.30000e+00
min_hysteresis,mos_ff,res_wcs,-40,3.3,24.4e6,0.25u,8u,32,5.00714e-09,2.50,1.251785e-08,2.90325e-01,2.90330e-01,3.30000e+00,3.30000e+00
min_hysteresis,mos_ff,res_wcs,-40,3.3,24.4e6,0.5u,16u,32,5.00714e-09,1.00,5.007140e-09,2.82014e+00,3.02541e+00,2.54374e-07,-9.21738e-09
min_hysteresis,mos_ff,res_wcs,-40,3.3,24.4e6,0.5u,16u,32,5.00714e-09,1.20,6.008568e-09,1.93187e+00,2.08964e+00,3.29984e+00,-1.43400e-07
min_hysteresis,mos_ff,res_wcs,-40,3.3,24.4e6,0.5u,16u,32,5.00714e-09,1.40,7.009996e-09,1.13156e+00,1.14721e+00,3.30000e+00,9.22964e-02
min_hysteresis,mos_ff,res_wcs,-40,3.3,24.4e6,0.5u,16u,32,5.00714e-09,1.60,8.011424e-09,8.35239e-01,8.36566e-01,3.30000e+00,3.30000e+00
min_hysteresis,mos_ff,res_wcs,-40,3.3,24.4e6,0.5u,16u,32,5.00714e-09,1.80,9.012852e-09,6.41162e-01,6.41217e-01,3.30000e+00,3.30000e+00
min_hysteresis,mos_ff,res_wcs,-40,3.3,24.4e6,0.5u,16u,32,5.00714e-09,2.00,1.001428e-08,5.23558e-01,5.23561e-01,3.30000e+00,3.30000e+00
min_hysteresis,mos_ff,res_wcs,-40,3.3,24.4e6,0.5u,16u,32,5.00714e-09,2.50,1.251785e-08,3.54832e-01,3.54832e-01,3.30000e+00,3.30000e+00
min_hysteresis,mos_ff,res_wcs,-40,3.3,24.4e6,0.35u,16u,45.71,5.00714e-09,1.00,5.007140e-09,2.88950e+00,3.09569e+00,2.28312e-07,-4.05220e-08
min_hysteresis,mos_ff,res_wcs,-40,3.3,24.4e6,0.35u,16u,45.71,5.00714e-09,1.20,6.008568e-09,2.23232e+00,2.41594e+00,-1.04660e-07,-1.17331e-07
