corner_tag,twin_r_s,in_window_lock_rail,tau_assert_s,tau_assert_xwin,tau_deassert_s,tau_deassert_xwin,hysteresis_s,hysteresis_pct_of_window,chatter,lock_min_deep_v,lock_max_deep_v,trec_s,vwin_min_zeroerr_v,vwin_max_zeroerr_v,idd_inlock_a,idd_outlock_a,ladder_states_discharged_start,ladder_states_charged_start
mos_tt_res_typ_-40c_3.3v_25MHz_real,2.513670e-10,lo,2.890720e-10,1.150000e+00,2.890720e-10,1.150000e+00,0.000000e+00,0.000000e+00,chatter,-1.214670e-01,3.338700e+00,1.570040e-09,3.299960e+00,3.300040e+00,1.932800e-05,4.815800e-05,IIIITTTTTTTTTT,IIIITTTTTTTTTT
mos_tt_res_typ_-40c_3.3v_25MHz_ideal-0.20,2.415500e-10,lo,2.777825e-10,1.150000e+00,2.777825e-10,1.150000e+00,0.000000e+00,0.000000e+00,chatter,-1.367640e-01,3.344440e+00,1.379350e-09,3.299950e+00,3.300050e+00,1.923510e-05,4.592710e-05,IIIITTTTTTTTTT,IIIITTTTTTTTTT
mos_tt_res_typ_-40c_3.3v_25MHz_ideal0.00,2.513760e-10,lo,2.890824e-10,1.150000e+00,2.890824e-10,1.150000e+00,0.000000e+00,0.000000e+00,chatter,-1.214810e-01,3.338720e+00,1.570090e-09,3.299960e+00,3.300040e+00,1.932740e-05,4.815870e-05,IIIITTTTTTTTTT,IIIITTTTTTTTTT
mos_tt_res_typ_-40c_3.3v_25MHz_ideal0.20,2.606390e-10,lo,3.388307e-10,1.300000e+00,3.388307e-10,1.300000e+00,0.000000e+00,0.000000e+00,chatter,-1.074830e-01,3.334290e+00,1.760650e-09,3.299970e+00,3.300040e+00,1.940910e-05,5.040060e-05,IIIIITTTTTTTTT,IIIIITTTTTTTTT
mos_tt_res_typ_27c_3.3v_25MHz_real,2.894530e-10,lo,3.328709e-10,1.150000e+00,3.328709e-10,1.150000e+00,0.000000e+00,0.000000e+00,chatter,-1.254530e-01,3.349940e+00,1.348580e-09,3.299960e+00,3.300040e+00,1.962690e-05,4.945700e-05,IIIITTTTTTTTTT,IIIITTTTTTTTTT
mos_tt_res_typ_27c_3.3v_25MHz_ideal-0.20,2.781980e-10,lo,3.199277e-10,1.150000e+00,3.199277e-10,1.150000e+00,0.000000e+00,0.000000e+00,chatter,-1.392620e-01,3.356970e+00,1.185190e-09,3.299940e+00,3.300050e+00,1.953840e-05,4.727530e-05,IIIITTTTTTTTTT,IIIITTTTTTTTTT
mos_tt_res_typ_27c_3.3v_25MHz_ideal0.00,2.894630e-10,lo,3.328824e-10,1.150000e+00,3.328824e-10,1.150000e+00,0.000000e+00,0.000000e+00,chatter,-1.254540e-01,3.349930e+00,1.348610e-09,3.299960e+00,3.300040e+00,1.962670e-05,4.945770e-05,IIIITTTTTTTTTT,IIIITTTTTTTTTT
mos_tt_res_typ_27c_3.3v_25MHz_ideal0.20,3.000730e-10,lo,3.450839e-10,1.150000e+00,3.450839e-10,1.150000e+00,0.000000e+00,0.000000e+00,chatter,-1.172430e-01,3.344440e+00,1.511950e-09,3.299970e+00,3.300040e+00,1.967280e-05,5.161960e-05,IIIITTTTTTTTTT,IIIITTTTTTTTTT
mos_tt_res_typ_125c_3.3v_25MHz_real,3.526600e-10,lo,4.055590e-10,1.150000e+00,4.055590e-10,1.150000e+00,0.000000e+00,0.000000e+00,chatter,-1.329410e-01,3.366590e+00,1.068630e-09,3.299950e+00,3.300040e+00,2.057590e-05,5.392220e-05,IIIITTTTTTTTTT,IIIITTTTTTTTTT
mos_tt_res_typ_125c_3.3v_25MHz_ideal-0.20,3.392060e-10,lo,3.900869e-10,1.150000e+00,3.900869e-10,1.150000e+00,0.000000e+00,0.000000e+00,chatter,-1.477470e-01,3.373880e+00,9.368770e-10,3.299940e+00,3.300050e+00,2.044730e-05,5.176460e-05,IIIITTTTTTTTTT,IIIITTTTTTTTTT
