corner_tag,twin_r_s,in_window_lock_rail,tau_assert_s,tau_assert_xwin,tau_deassert_s,tau_deassert_xwin,hysteresis_s,hysteresis_pct_of_window,chatter,lock_min_deep_v,lock_max_deep_v,trec_s,vwin_min_zeroerr_v,vwin_max_zeroerr_v,idd_inlock_a,idd_outlock_a,ladder_states_discharged_start,ladder_states_charged_start
mos_tt_res_typ_125c_3.3v_25MHz_ideal0.00,3.526800e-10,lo,4.055820e-10,1.150000e+00,4.055820e-10,1.150000e+00,0.000000e+00,0.000000e+00,chatter,-1.329410e-01,3.366580e+00,1.068750e-09,3.299950e+00,3.300040e+00,2.057640e-05,5.392340e-05,IIIITTTTTTTTTT,IIIITTTTTTTTTT
mos_tt_res_typ_125c_3.3v_25MHz_ideal0.20,3.657160e-10,lo,4.205734e-10,1.150000e+00,4.205734e-10,1.150000e+00,0.000000e+00,0.000000e+00,chatter,-1.206760e-01,3.360150e+00,1.199770e-09,3.299960e+00,3.300040e+00,2.066410e-05,5.606880e-05,IIIITTTTTTTTTT,IIIITTTTTTTTTT
mos_ss_res_wcs_-40c_3.3v_25MHz_real,2.844250e-10,lo,3.270887e-10,1.150000e+00,3.270887e-10,1.150000e+00,0.000000e+00,0.000000e+00,chatter,-1.132150e-01,3.338320e+00,1.926720e-09,3.299960e+00,3.300040e+00,1.817480e-05,4.597030e-05,IIIITTTTTTTTTT,IIIITTTTTTTTTT
mos_ss_res_wcs_-40c_3.3v_25MHz_ideal-0.20,2.729180e-10,lo,3.138557e-10,1.150000e+00,3.138557e-10,1.150000e+00,0.000000e+00,0.000000e+00,chatter,-1.269070e-01,3.343870e+00,1.689240e-09,3.299950e+00,3.300050e+00,1.812180e-05,4.376580e-05,IIIITTTTTTTTTT,IIIITTTTTTTTTT
mos_ss_res_wcs_-40c_3.3v_25MHz_ideal0.00,2.844370e-10,lo,3.271025e-10,1.150000e+00,3.271025e-10,1.150000e+00,0.000000e+00,0.000000e+00,chatter,-1.132250e-01,3.338360e+00,1.926660e-09,3.299960e+00,3.300040e+00,1.817490e-05,4.597120e-05,IIIITTTTTTTTTT,IIIITTTTTTTTTT
mos_ss_res_wcs_-40c_3.3v_25MHz_ideal0.20,2.958520e-10,lo,3.846076e-10,1.300000e+00,3.846076e-10,1.300000e+00,0.000000e+00,0.000000e+00,chatter,-1.019060e-01,3.334080e+00,2.164120e-09,3.299970e+00,3.300040e+00,1.821840e-05,4.818220e-05,IIIIITTTTTTTTT,IIIIITTTTTTTTT
mos_ss_res_wcs_27c_3.3v_25MHz_real,3.253080e-10,lo,3.741042e-10,1.150000e+00,3.741042e-10,1.150000e+00,0.000000e+00,0.000000e+00,chatter,-1.162160e-01,3.349010e+00,1.654790e-09,3.299960e+00,3.300040e+00,1.859120e-05,4.723170e-05,IIIITTTTTTTTTT,IIIITTTTTTTTTT
mos_ss_res_wcs_27c_3.3v_25MHz_ideal-0.20,3.122160e-10,lo,3.590484e-10,1.150000e+00,3.590484e-10,1.150000e+00,0.000000e+00,0.000000e+00,chatter,-1.398530e-01,3.355990e+00,1.451150e-09,3.299950e+00,3.300050e+00,1.850160e-05,4.506040e-05,IIIITTTTTTTTTT,IIIITTTTTTTTTT
mos_ss_res_wcs_27c_3.3v_25MHz_ideal0.00,3.253150e-10,lo,3.741122e-10,1.150000e+00,3.741122e-10,1.150000e+00,0.000000e+00,0.000000e+00,chatter,-1.162090e-01,3.348990e+00,1.654780e-09,3.299960e+00,3.300040e+00,1.859180e-05,4.723220e-05,IIIITTTTTTTTTT,IIIITTTTTTTTTT
mos_ss_res_wcs_27c_3.3v_25MHz_ideal0.20,3.381980e-10,lo,4.396574e-10,1.300000e+00,4.396574e-10,1.300000e+00,0.000000e+00,0.000000e+00,chatter,-1.091470e-01,3.343570e+00,1.857830e-09,3.299970e+00,3.300040e+00,1.870030e-05,4.936870e-05,IIIIITTTTTTTTT,IIIIITTTTTTTTT
mos_ss_res_wcs_125c_3.3v_25MHz_real,3.931110e-10,lo,4.520776e-10,1.150000e+00,4.520776e-10,1.150000e+00,0.000000e+00,0.000000e+00,chatter,-1.288120e-01,3.366110e+00,1.313100e-09,3.299960e+00,3.300040e+00,1.944630e-05,5.125490e-05,IIIITTTTTTTTTT,IIIITTTTTTTTTT
mos_ss_res_wcs_125c_3.3v_25MHz_ideal-0.20,3.773980e-10,lo,4.340077e-10,1.150000e+00,4.340077e-10,1.150000e+00,0.000000e+00,0.000000e+00,chatter,-1.415350e-01,3.374180e+00,1.149360e-09,3.299940e+00,3.300050e+00,1.937770e-05,4.911560e-05,IIIITTTTTTTTTT,IIIITTTTTTTTTT
mos_ss_res_wcs_125c_3.3v_25MHz_ideal0.00,3.931300e-10,lo,4.520995e-10,1.150000e+00,4.520995e-10,1.150000e+00,0.000000e+00,0.000000e+00,chatter,-1.288180e-01,3.366120e+00,1.313010e-09,3.299960e+00,3.300040e+00,1.944550e-05,5.125590e-05,IIIITTTTTTTTTT,IIIITTTTTTTTTT
mos_ss_res_wcs_125c_3.3v_25MHz_ideal0.20,4.085450e-10,lo,5.311085e-10,1.300000e+00,5.311085e-10,1.300000e+00,0.000000e+00,0.000000e+00,chatter,-1.161590e-01,3.359450e+00,1.476070e-09,3.299970e+00,3.300040e+00,1.946470e-05,5.339670e-05,IIIIITTTTTTTTT,IIIIITTTTTTTTT
mos_ff_res_bcs_-40c_3.3v_25MHz_real,2.273160e-10,lo,2.614134e-10,1.150000e+00,2.614134e-10,1.150000e+00,0.000000e+00,0.000000e+00,chatter,-1.270500e-01,3.345130e+00,1.203490e-09,3.299960e+00,3.300040e+00,2.052580e-05,5.086440e-05,IIIITTTTTTTTTT,IIIITTTTTTTTTT
mos_ff_res_bcs_-40c_3.3v_25MHz_ideal-0.20,2.187470e-10,lo,2.515590e-10,1.150000e+00,2.515590e-10,1.150000e+00,0.000000e+00,0.000000e+00,chatter,-1.415870e-01,3.351710e+00,1.059830e-09,3.299940e+00,3.300050e+00,2.041190e-05,4.863660e-05,IIIITTTTTTTTTT,IIIITTTTTTTTTT
mos_ff_res_bcs_-40c_3.3v_25MHz_ideal0.00,2.273280e-10,lo,2.614272e-10,1.150000e+00,2.614272e-10,1.150000e+00,0.000000e+00,0.000000e+00,chatter,-1.270630e-01,3.345170e+00,1.203560e-09,3.299960e+00,3.300040e+00,2.052570e-05,5.086460e-05,IIIITTTTTTTTTT,IIIITTTTTTTTTT
mos_ff_res_bcs_-40c_3.3v_25MHz_ideal0.20,2.353250e-10,lo,2.706237e-10,1.150000e+00,2.706237e-10,1.150000e+00,0.000000e+00,0.000000e+00,chatter,-1.146300e-01,3.340080e+00,1.347200e-09,3.299970e+00,3.300040e+00,2.062530e-05,5.309940e-05,IIIITTTTTTTTTT,IIIITTTTTTTTTT
mos_ff_res_bcs_27c_3.3v_25MHz_real,2.622150e-10,lo,3.015473e-10,1.150000e+00,3.015473e-10,1.150000e+00,0.000000e+00,0.000000e+00,chatter,-1.350340e-01,3.357660e+00,1.033580e-09,3.299950e+00,3.300040e+00,2.077600e-05,5.284890e-05,IIIITTTTTTTTTT,IIIITTTTTTTTTT
mos_ff_res_bcs_27c_3.3v_25MHz_ideal-0.20,2.528600e-10,lo,2.907890e-10,1.150000e+00,2.907890e-10,1.150000e+00,0.000000e+00,0.000000e+00,chatter,-1.463780e-01,3.365050e+00,9.102860e-10,3.299940e+00,3.300060e+00,2.066080e-05,5.071530e-05,IIIITTTTTTTTTT,IIIITTTTTTTTTT
mos_ff_res_bcs_27c_3.3v_25MHz_ideal0.00,2.622270e-10,lo,3.015610e-10,1.150000e+00,3.015610e-10,1.150000e+00,0.000000e+00,0.000000e+00,chatter,-1.350500e-01,3.357690e+00,1.033620e-09,3.299950e+00,3.300040e+00,2.077600e-05,5.284990e-05,IIIITTTTTTTTTT,IIIITTTTTTTTTT
mos_ff_res_bcs_27c_3.3v_25MHz_ideal0.20,2.717210e-10,lo,3.124791e-10,1.150000e+00,3.124791e-10,1.150000e+00,0.000000e+00,0.000000e+00,chatter,-1.219020e-01,3.351470e+00,1.157010e-09,3.299960e+00,3.300040e+00,2.086950e-05,5.501830e-05,IIIITTTTTTTTTT,IIIITTTTTTTTTT
mos_ff_res_bcs_125c_3.3v_25MHz_real,3.212010e-10,lo,3.693811e-10,1.150000e+00,3.693811e-10,1.150000e+00,0.000000e+00,0.000000e+00,chatter,-1.366570e-01,3.365610e+00,8.172040e-10,3.299950e+00,3.300040e+00,2.160780e-05,5.810950e-05,IIIITTTTTTTTTT,IIIITTTTTTTTTT
mos_ff_res_bcs_125c_3.3v_25MHz_ideal-0.20,3.098340e-10,lo,3.563091e-10,1.150000e+00,3.563091e-10,1.150000e+00,0.000000e+00,0.000000e+00,chatter,-1.521030e-01,3.373260e+00,7.173340e-10,3.299940e+00,3.300060e+00,2.144640e-05,5.593370e-05,IIIITTTTTTTTTT,IIIITTTTTTTTTT
mos_ff_res_bcs_125c_3.3v_25MHz_ideal0.00,3.212110e-10,lo,3.693926e-10,1.150000e+00,3.693926e-10,1.150000e+00,0.000000e+00,0.000000e+00,chatter,-1.366670e-01,3.365640e+00,8.170880e-10,3.299950e+00,3.300040e+00,2.160910e-05,5.811070e-05,IIIITTTTTTTTTT,IIIITTTTTTTTTT
mos_ff_res_bcs_125c_3.3v_25MHz_ideal0.20,3.327200e-10,lo,3.826280e-10,1.150000e+00,3.826280e-10,1.150000e+00,0.000000e+00,0.000000e+00,chatter,-1.177870e-01,3.361520e+00,9.163020e-10,3.299960e+00,3.300030e+00,2.175260e-05,6.028190e-05,IIIITTTTTTTTTT,IIIITTTTTTTTTT
mos_sf_res_typ_-40c_3.3v_25MHz_real,2.501600e-10,lo,2.876840e-10,1.150000e+00,2.876840e-10,1.150000e+00,0.000000e+00,0.000000e+00,chatter,-1.144960e-01,3.336200e+00,1.576750e-09,3.299960e+00,3.300040e+00,1.981460e-05,4.862190e-05,IIIITTTTTTTTTT,IIIITTTTTTTTTT
mos_sf_res_typ_-40c_3.3v_25MHz_ideal-0.20,2.410200e-10,lo,2.771730e-10,1.150000e+00,2.771730e-10,1.150000e+00,0.000000e+00,0.000000e+00,chatter,-1.287360e-01,3.341550e+00,1.386360e-09,3.299950e+00,3.300050e+00,1.969090e-05,4.638690e-05,IIIITTTTTTTTTT,IIIITTTTTTTTTT
mos_sf_res_typ_-40c_3.3v_25MHz_ideal0.00,2.501690e-10,lo,2.876944e-10,1.150000e+00,2.876944e-10,1.150000e+00,0.000000e+00,0.000000e+00,chatter,-1.145090e-01,3.336220e+00,1.576780e-09,3.299960e+00,3.300040e+00,1.981480e-05,4.862270e-05,IIIITTTTTTTTTT,IIIITTTTTTTTTT
mos_sf_res_typ_-40c_3.3v_25MHz_ideal0.20,2.586710e-10,lo,2.974716e-10,1.150000e+00,2.974716e-10,1.150000e+00,0.000000e+00,0.000000e+00,chatter,-1.020340e-01,3.332100e+00,1.766800e-09,3.299960e+00,3.300030e+00,1.991060e-05,5.085190e-05,IIIITTTTTTTTTT,IIIITTTTTTTTTT
mos_sf_res_typ_27c_3.3v_25MHz_real,2.878140e-10,lo,3.309861e-10,1.150000e+00,3.309861e-10,1.150000e+00,0.000000e+00,0.000000e+00,chatter,-1.181480e-01,3.346810e+00,1.353970e-09,3.299960e+00,3.300040e+00,2.011050e-05,4.979640e-05,IIIITTTTTTTTTT,IIIITTTTTTTTTT
mos_sf_res_typ_27c_3.3v_25MHz_ideal-0.20,2.774010e-10,lo,3.190111e-10,1.150000e+00,3.190111e-10,1.150000e+00,0.000000e+00,0.000000e+00,chatter,-1.312550e-01,3.353740e+00,1.190010e-09,3.299950e+00,3.300050e+00,1.997190e-05,4.764070e-05,IIIITTTTTTTTTT,IIIITTTTTTTTTT
mos_sf_res_typ_27c_3.3v_25MHz_ideal0.00,2.878250e-10,lo,3.309987e-10,1.150000e+00,3.309987e-10,1.150000e+00,0.000000e+00,0.000000e+00,chatter,-1.181390e-01,3.346820e+00,1.354020e-09,3.299960e+00,3.300040e+00,2.011060e-05,4.979700e-05,IIIITTTTTTTTTT,IIIITTTTTTTTTT
mos_sf_res_typ_27c_3.3v_25MHz_ideal0.20,2.976860e-10,lo,3.423389e-10,1.150000e+00,3.423389e-10,1.150000e+00,0.000000e+00,0.000000e+00,chatter,-1.099500e-01,3.341480e+00,1.517720e-09,3.299970e+00,3.300040e+00,2.017040e-05,5.192940e-05,IIIITTTTTTTTTT,IIIITTTTTTTTTT
mos_sf_res_typ_125c_3.3v_25MHz_real,3.506440e-10,lo,4.032406e-10,1.150000e+00,4.032406e-10,1.150000e+00,0.000000e+00,0.000000e+00,chatter,-1.261720e-01,3.364640e+00,1.069500e-09,3.299960e+00,3.300040e+00,2.096520e-05,5.399940e-05,IIIITTTTTTTTTT,IIIITTTTTTTTTT
mos_sf_res_typ_125c_3.3v_25MHz_ideal-0.20,3.380650e-10,lo,3.887748e-10,1.150000e+00,3.887748e-10,1.150000e+00,0.000000e+00,0.000000e+00,chatter,-1.422780e-01,3.372540e+00,9.374420e-10,3.299950e+00,3.300050e+00,2.079120e-05,5.188640e-05,IIIITTTTTTTTTT,IIIITTTTTTTTTT
mos_sf_res_typ_125c_3.3v_25MHz_ideal0.00,3.506580e-10,lo,4.032567e-10,1.150000e+00,4.032567e-10,1.150000e+00,0.000000e+00,0.000000e+00,chatter,-1.261740e-01,3.364650e+00,1.069620e-09,3.299960e+00,3.300040e+00,2.096560e-05,5.400030e-05,IIIITTTTTTTTTT,IIIITTTTTTTTTT
mos_sf_res_typ_125c_3.3v_25MHz_ideal0.20,3.627090e-10,lo,4.171154e-10,1.150000e+00,4.171154e-10,1.150000e+00,0.000000e+00,0.000000e+00,chatter,-1.140490e-01,3.357980e+00,1.201280e-09,3.299960e+00,3.300030e+00,2.105040e-05,5.610440e-05,IIIITTTTTTTTTT,IIIITTTTTTTTTT
mos_fs_res_typ_-40c_3.3v_25MHz_real,2.545630e-10,lo,2.927475e-10,1.150000e+00,2.927475e-10,1.150000e+00,0.000000e+00,0.000000e+00,chatter,-1.274970e-01,3.341920e+00,1.564690e-09,3.299960e+00,3.300040e+00,1.889030e-05,4.783870e-05,IIIITTTTTTTTTT,IIIITTTTTTTTTT
mos_fs_res_typ_-40c_3.3v_25MHz_ideal-0.20,2.441080e-10,lo,2.807242e-10,1.150000e+00,2.807242e-10,1.150000e+00,0.000000e+00,0.000000e+00,chatter,-1.446420e-01,3.347990e+00,1.373930e-09,3.299950e+00,3.300050e+00,1.881070e-05,4.559480e-05,IIIITTTTTTTTTT,IIIITTTTTTTTTT
mos_fs_res_typ_-40c_3.3v_25MHz_ideal0.00,2.545730e-10,lo,2.927590e-10,1.150000e+00,2.927590e-10,1.150000e+00,0.000000e+00,0.000000e+00,chatter,-1.275060e-01,3.341920e+00,1.564760e-09,3.299960e+00,3.300040e+00,1.889040e-05,4.783930e-05,IIIITTTTTTTTTT,IIIITTTTTTTTTT
mos_fs_res_typ_-40c_3.3v_25MHz_ideal0.20,2.649660e-10,lo,3.444558e-10,1.300000e+00,3.444558e-10,1.300000e+00,0.000000e+00,0.000000e+00,chatter,-1.144340e-01,3.337190e+00,1.755240e-09,3.299970e+00,3.300040e+00,1.887360e-05,5.009370e-05,IIIIITTTTTTTTT,IIIIITTTTTTTTT
mos_fs_res_typ_27c_3.3v_25MHz_real,2.929550e-10,lo,3.368982e-10,1.150000e+00,3.368982e-10,1.150000e+00,0.000000e+00,0.000000e+00,chatter,-1.341170e-01,3.353530e+00,1.343230e-09,3.299960e+00,3.300040e+00,1.917850e-05,4.933110e-05,IIIITTTTTTTTTT,IIIITTTTTTTTTT
mos_fs_res_typ_27c_3.3v_25MHz_ideal-0.20,2.807960e-10,lo,3.229154e-10,1.150000e+00,3.229154e-10,1.150000e+00,0.000000e+00,0.000000e+00,chatter,-1.472600e-01,3.360730e+00,1.180060e-09,3.299940e+00,3.300050e+00,1.912410e-05,4.712300e-05,IIIITTTTTTTTTT,IIIITTTTTTTTTT
mos_fs_res_typ_27c_3.3v_25MHz_ideal0.00,2.929700e-10,lo,3.369155e-10,1.150000e+00,3.369155e-10,1.150000e+00,0.000000e+00,0.000000e+00,chatter,-1.341400e-01,3.353520e+00,1.343250e-09,3.299960e+00,3.300040e+00,1.917860e-05,4.933180e-05,IIIITTTTTTTTTT,IIIITTTTTTTTTT
mos_fs_res_typ_27c_3.3v_25MHz_ideal0.20,3.047640e-10,lo,3.504786e-10,1.150000e+00,3.504786e-10,1.150000e+00,0.000000e+00,0.000000e+00,chatter,-1.232560e-01,3.347940e+00,1.506610e-09,3.299970e+00,3.300040e+00,1.929610e-05,5.153180e-05,IIIITTTTTTTTTT,IIIITTTTTTTTTT
mos_fs_res_typ_125c_3.3v_25MHz_real,3.564890e-10,lo,4.099623e-10,1.150000e+00,4.099623e-10,1.150000e+00,0.000000e+00,0.000000e+00,chatter,-1.385230e-01,3.368240e+00,1.066640e-09,3.299950e+00,3.300040e+00,2.012740e-05,5.398930e-05,IIIITTTTTTTTTT,IIIITTTTTTTTTT
mos_fs_res_typ_125c_3.3v_25MHz_ideal-0.20,3.421940e-10,lo,3.935231e-10,1.150000e+00,3.935231e-10,1.150000e+00,0.000000e+00,0.000000e+00,chatter,-1.576200e-01,3.374650e+00,9.355480e-10,3.299940e+00,3.300050e+00,2.007240e-05,5.178480e-05,IIIITTTTTTTTTT,IIIITTTTTTTTTT
mos_fs_res_typ_125c_3.3v_25MHz_ideal0.00,3.565060e-10,lo,4.099819e-10,1.150000e+00,4.099819e-10,1.150000e+00,0.000000e+00,0.000000e+00,chatter,-1.385210e-01,3.368230e+00,1.066770e-09,3.299950e+00,3.300040e+00,2.012780e-05,5.399040e-05,IIIITTTTTTTTTT,IIIITTTTTTTTTT
mos_fs_res_typ_125c_3.3v_25MHz_ideal0.20,3.706720e-10,lo,4.818736e-10,1.300000e+00,4.818736e-10,1.300000e+00,0.000000e+00,0.000000e+00,chatter,-1.264190e-01,3.362220e+00,1.197220e-09,3.299960e+00,3.300040e+00,2.025200e-05,5.617600e-05,IIIIITTTTTTTTT,IIIIITTTTTTTTT
mos_tt_res_wcs_-40c_3.3v_25MHz_real,2.513670e-10,lo,2.890720e-10,1.150000e+00,2.890720e-10,1.150000e+00,0.000000e+00,0.000000e+00,chatter,-1.222870e-01,3.331320e+00,1.956100e-09,3.299960e+00,3.300040e+00,1.932800e-05,4.781900e-05,IIIITTTTTTTTTT,IIIITTTTTTTTTT
mos_tt_res_wcs_-40c_3.3v_25MHz_ideal-0.20,2.415500e-10,lo,2.777825e-10,1.150000e+00,2.777825e-10,1.150000e+00,0.000000e+00,0.000000e+00,chatter,-1.377020e-01,3.335990e+00,1.718520e-09,3.299950e+00,3.300050e+00,1.923510e-05,4.548900e-05,IIIITTTTTTTTTT,IIIITTTTTTTTTT
mos_tt_res_wcs_-40c_3.3v_25MHz_ideal0.00,2.513760e-10,lo,2.890824e-10,1.150000e+00,2.890824e-10,1.150000e+00,0.000000e+00,0.000000e+00,chatter,-1.223010e-01,3.331330e+00,1.956030e-09,3.299960e+00,3.300040e+00,1.932740e-05,4.781970e-05,IIIITTTTTTTTTT,IIIITTTTTTTTTT
mos_tt_res_wcs_-40c_3.3v_25MHz_ideal0.20,2.606390e-10,lo,2.997348e-10,1.150000e+00,2.997348e-10,1.150000e+00,0.000000e+00,0.000000e+00,chatter,-1.081770e-01,3.327730e+00,2.193560e-09,3.299970e+00,3.300040e+00,1.940910e-05,5.016600e-05,IIIITTTTTTTTTT,IIIITTTTTTTTTT
mos_tt_res_wcs_27c_3.3v_25MHz_real,2.894530e-10,lo,3.328709e-10,1.150000e+00,3.328709e-10,1.150000e+00,0.000000e+00,0.000000e+00,chatter,-1.264350e-01,3.340710e+00,1.678990e-09,3.299960e+00,3.300040e+00,1.962690e-05,4.841930e-05,IIIITTTTTTTTTT,IIIITTTTTTTTTT
mos_tt_res_wcs_27c_3.3v_25MHz_ideal-0.20,2.781980e-10,lo,3.199277e-10,1.150000e+00,3.199277e-10,1.150000e+00,0.000000e+00,0.000000e+00,chatter,-1.404560e-01,3.346610e+00,1.475540e-09,3.299940e+00,3.300050e+00,1.953840e-05,4.617900e-05,IIIITTTTTTTTTT,IIIITTTTTTTTTT
mos_tt_res_wcs_27c_3.3v_25MHz_ideal0.00,2.894630e-10,lo,3.328824e-10,1.150000e+00,3.328824e-10,1.150000e+00,0.000000e+00,0.000000e+00,chatter,-1.264360e-01,3.340730e+00,1.679060e-09,3.299960e+00,3.300040e+00,1.962670e-05,4.841990e-05,IIIITTTTTTTTTT,IIIITTTTTTTTTT
mos_tt_res_wcs_27c_3.3v_25MHz_ideal0.20,3.000730e-10,lo,3.450839e-10,1.150000e+00,3.450839e-10,1.150000e+00,0.000000e+00,0.000000e+00,chatter,-1.181900e-01,3.336290e+00,1.882700e-09,3.299970e+00,3.300040e+00,1.967280e-05,5.064600e-05,IIIITTTTTTTTTT,IIIITTTTTTTTTT
mos_tt_res_wcs_125c_3.3v_25MHz_real,3.526600e-10,lo,4.055590e-10,1.150000e+00,4.055590e-10,1.150000e+00,0.000000e+00,0.000000e+00,chatter,-1.344290e-01,3.356680e+00,1.333520e-09,3.299950e+00,3.300040e+00,2.057590e-05,5.181780e-05,IIIITTTTTTTTTT,IIIITTTTTTTTTT
mos_tt_res_wcs_125c_3.3v_25MHz_ideal-0.20,3.392060e-10,lo,3.900869e-10,1.150000e+00,3.900869e-10,1.150000e+00,0.000000e+00,0.000000e+00,chatter,-1.494040e-01,3.364130e+00,1.170410e-09,3.299940e+00,3.300050e+00,2.044730e-05,4.964760e-05,IIIITTTTTTTTTT,IIIITTTTTTTTTT
mos_tt_res_wcs_125c_3.3v_25MHz_ideal0.00,3.526800e-10,lo,4.055820e-10,1.150000e+00,4.055820e-10,1.150000e+00,0.000000e+00,0.000000e+00,chatter,-1.344280e-01,3.356690e+00,1.333500e-09,3.299950e+00,3.300040e+00,2.057640e-05,5.181890e-05,IIIITTTTTTTTTT,IIIITTTTTTTTTT
mos_tt_res_wcs_125c_3.3v_25MHz_ideal0.20,3.657160e-10,lo,4.205734e-10,1.150000e+00,4.205734e-10,1.150000e+00,0.000000e+00,0.000000e+00,chatter,-1.220300e-01,3.351050e+00,1.496140e-09,3.299960e+00,3.300040e+00,2.066410e-05,5.397970e-05,IIIITTTTTTTTTT,IIIITTTTTTTTTT
mos_tt_res_bcs_-40c_3.3v_25MHz_real,2.513670e-10,lo,2.890720e-10,1.150000e+00,2.890720e-10,1.150000e+00,0.000000e+00,0.000000e+00,chatter,-1.201210e-01,3.350660e+00,1.184860e-09,3.299960e+00,3.300040e+00,1.932800e-05,4.943380e-05,IIIITTTTTTTTTT,IIIITTTTTTTTTT
mos_tt_res_bcs_-40c_3.3v_25MHz_ideal-0.20,2.415500e-10,lo,2.777825e-10,1.150000e+00,2.777825e-10,1.150000e+00,0.000000e+00,0.000000e+00,chatter,-1.352260e-01,3.358090e+00,1.041500e-09,3.299950e+00,3.300050e+00,1.923510e-05,4.727560e-05,IIIITTTTTTTTTT,IIIITTTTTTTTTT
mos_tt_res_bcs_-40c_3.3v_25MHz_ideal0.00,2.513760e-10,lo,2.890824e-10,1.150000e+00,2.890824e-10,1.150000e+00,0.000000e+00,0.000000e+00,chatter,-1.201350e-01,3.350670e+00,1.184880e-09,3.299960e+00,3.300040e+00,1.932740e-05,4.943460e-05,IIIITTTTTTTTTT,IIIITTTTTTTTTT
mos_tt_res_bcs_-40c_3.3v_25MHz_ideal0.20,2.606390e-10,lo,3.388307e-10,1.300000e+00,3.388307e-10,1.300000e+00,0.000000e+00,0.000000e+00,chatter,-1.063450e-01,3.344930e+00,1.328120e-09,3.299970e+00,3.300040e+00,1.940910e-05,5.159460e-05,IIIIITTTTTTTTT,IIIIITTTTTTTTT
