variant,mos_corner,temp_c,vdd_v,fin_hz,tper_s,tdiv_s,tfb_s,dvo_max,dvo_min,fb_max,fb_min,idd_a
repaired,mos_tt,27,3.3,1.561999e+09,6.40205120e-10,8.62724e-08,8.69088e-08,3.39331e+00,-9.46779e-02,3.40527e+00,-5.54384e-02,-2.37195e-03
repaired,mos_ff,27,3.3,1.561999e+09,6.40205120e-10,8.58938e-08,8.68419e-08,3.38297e+00,-9.25172e-02,3.39500e+00,-7.04835e-02,-2.47790e-03
repaired,mos_sf,27,3.3,1.561999e+09,6.40205120e-10,8.62009e-08,8.68958e-08,3.44347e+00,-1.03972e-01,3.38092e+00,-6.07709e-02,-2.37333e-03
repaired,mos_fs,27,3.3,1.561999e+09,6.40205120e-10,1.07287e-07,1.08026e-07,3.44521e+00,-1.14065e-01,3.39311e+00,-5.75731e-02,-2.15420e-03
repaired,mos_tt,-40,3.3,1.561999e+09,6.40205120e-10,8.57461e-08,8.62049e-08,3.39846e+00,-8.51007e-02,3.41388e+00,-5.71688e-02,-2.37923e-03
repaired,mos_tt,125,3.3,1.561999e+09,6.40205120e-10,NA,NA,6.66851e-02,-1.04044e-01,3.31470e-03,-3.20252e-03,-1.33072e-03
repaired,mos_tt,27,2.97,1.561999e+09,6.40205120e-10,1.28795e-07,1.29847e-07,3.04121e+00,-8.29753e-02,3.05949e+00,-6.39497e-02,-1.77226e-03
repaired,mos_tt,27,3.63,1.561999e+09,6.40205120e-10,8.59483e-08,8.68547e-08,3.71789e+00,-1.03367e-01,3.73666e+00,-7.10996e-02,-2.66731e-03
repaired,mos_ss,27,3.3,1.561999e+09,6.40205120e-10,NA,NA,5.19321e-02,-8.83924e-02,3.06035e-03,-2.73441e-03,-1.28722e-03
