arm,res_corner,temp_c,mom_frac,r1_ohm,ctot_f,c2_f,c1_f,fz_hz,fp_hz
postlayout,res_bcs,-40,0.20,2.632670e+05,2.500906e-12,2.343940e-13,2.719814e-12,2.222719e+05,2.371566e+06
postlayout,res_bcs,27,-0.20,2.657020e+05,2.500906e-12,2.343807e-13,1.813220e-12,3.303504e+05,3.524928e+06
postlayout,res_bcs,27,0.00,2.657020e+05,2.500906e-12,2.343807e-13,2.266525e-12,2.642803e+05,2.819942e+06
postlayout,res_bcs,27,0.20,2.657020e+05,2.500906e-12,2.343807e-13,2.719830e-12,2.202336e+05,2.349952e+06
postlayout,res_bcs,125,-0.20,2.709130e+05,2.500906e-12,2.343529e-13,1.813242e-12,3.239921e+05,3.457494e+06
postlayout,res_bcs,125,0.00,2.709130e+05,2.500906e-12,2.343529e-13,2.266553e-12,2.591937e+05,2.765995e+06
postlayout,res_bcs,125,0.20,2.709130e+05,2.500906e-12,2.343529e-13,2.719863e-12,2.159947e+05,2.304996e+06
postlayout,res_wcs,-40,-0.20,3.192880e+05,2.500906e-12,2.341424e-13,1.813411e-12,2.748788e+05,2.936017e+06
postlayout,res_wcs,-40,0.00,3.192880e+05,2.500906e-12,2.341424e-13,2.266764e-12,2.199031e+05,2.348814e+06
postlayout,res_wcs,-40,0.20,3.192880e+05,2.500906e-12,2.341424e-13,2.720117e-12,1.832526e+05,1.957345e+06
postlayout,res_wcs,27,-0.20,3.222680e+05,2.500906e-12,2.341329e-13,1.813419e-12,2.723359e+05,2.908974e+06
postlayout,res_wcs,27,0.00,3.222680e+05,2.500906e-12,2.341329e-13,2.266773e-12,2.178687e+05,2.327179e+06
postlayout,res_wcs,27,0.20,3.222680e+05,2.500906e-12,2.341329e-13,2.720128e-12,1.815573e+05,1.939316e+06
postlayout,res_wcs,125,-0.20,3.286390e+05,2.500906e-12,2.341131e-13,1.813434e-12,2.670540e+05,2.852797e+06
postlayout,res_wcs,125,0.00,3.286390e+05,2.500906e-12,2.341131e-13,2.266793e-12,2.136432e+05,2.282238e+06
postlayout,res_wcs,125,0.20,3.286390e+05,2.500906e-12,2.341131e-13,2.720152e-12,1.780360e+05,1.901865e+06
