variant,pvt_bundle,mos_corner,res_corner,temp_c,band_code,vctrl_v,period_s,freq_hz
cscale25,fast,mos_ff,res_bcs,-40,00,0.9,2.088670e-09,478773573.6138308
cscale25,fast,mos_ff,res_bcs,-40,00,1.5,1.699719e-09,588332542.0260643
cscale25,fast,mos_ff,res_bcs,-40,00,2.1,1.411361e-09,708535945.0912983
cscale25,fast,mos_ff,res_bcs,-40,00,2.7,1.219811e-09,819799132.8164773
cscale25,fast,mos_ff,res_bcs,-40,11,0.3,2.256414e-09,443181082.90411246
cscale25,fast,mos_ff,res_bcs,-40,11,0.9,1.964078e-09,509144748.833804
cscale25,fast,mos_ff,res_bcs,-40,11,1.5,1.270750e-09,786936848.3179225
cscale25,fast,mos_ff,res_bcs,-40,11,2.1,9.471050e-10,1055849140.2748376
cscale25,fast,mos_ff,res_bcs,-40,11,2.7,8.115433e-10,1232220141.5500565
cscale25,slow,mos_ss,res_wcs,125,00,0.3,2.844879e-09,351508798.792497
cscale25,slow,mos_ss,res_wcs,125,00,0.9,2.624796e-09,380981988.69550246
cscale25,slow,mos_ss,res_wcs,125,00,1.5,2.178215e-09,459091503.8230845
cscale25,slow,mos_ss,res_wcs,125,00,2.1,1.843209e-09,542532073.1398338
cscale25,slow,mos_ss,res_wcs,125,00,2.7,1.623498e-09,615953946.3553389
cscale25,slow,mos_ss,res_wcs,125,11,0.3,2.844873e-09,351509540.1446743
cscale25,slow,mos_ss,res_wcs,125,11,0.9,2.482977e-09,402742353.2316248
cscale25,slow,mos_ss,res_wcs,125,11,1.5,1.729617e-09,578162679.9459071
cscale25,slow,mos_ss,res_wcs,125,11,2.1,1.335362e-09,748860608.5840393
cscale25,slow,mos_ss,res_wcs,125,11,2.7,1.168124e-09,856073499.0463341
cscale25,typ,mos_tt,res_typ,27,00,0.3,2.527297e-09,395679653.0047715
cscale25,typ,mos_tt,res_typ,27,00,0.9,2.345899e-09,426275811.5332331
cscale25,typ,mos_tt,res_typ,27,00,1.5,1.917708e-09,521455821.21991456
cscale25,typ,mos_tt,res_typ,27,00,2.1,1.599988e-09,625004687.5351565
cscale25,typ,mos_tt,res_typ,27,00,2.7,1.389311e-09,719781244.0842979
