case,committed_fixed_up_avg_v,committed_fixed_dn_avg_v,this_host_sch_up_avg_v,this_host_sch_dn_avg_v,delta_up_avg_v,delta_dn_avg_v
reflead,0.376443,0.046307,3.74470e-01,4.43278e-02,-0.001973,-0.001979
fblead,0.046456,0.376388,4.44694e-02,3.74408e-01,-0.001987,-0.001980
