tag,mos_corner,temp_c,vdd_v,p_word,n_committed,n_control,n_delta_ppm,idd_committed_a,idd_control_a,idd_delta_pct
baseline,mos_ff,27,3.3,000000,63.999600,63.999600,0.0,-2.377130e-04,-2.377130e-04,0.0000
baseline,mos_fs,27,3.3,000000,64.000300,64.000300,0.0,-2.270900e-04,-2.270900e-04,0.0000
baseline,mos_sf,27,3.3,000000,64.000000,64.000000,0.0,-2.284860e-04,-2.284860e-04,0.0000
baseline,mos_ss,27,3.3,000000,63.999900,63.999900,0.0,-2.188780e-04,-2.188780e-04,0.0000
baseline,mos_tt,-40,3.3,000000,64.000200,64.000200,0.0,-2.257570e-04,-2.257570e-04,0.0000
baseline,mos_tt,125,3.3,000000,64.000200,64.000200,0.0,-2.334570e-04,-2.334570e-04,0.0000
baseline,mos_tt,27,2.97,000000,63.999700,63.999700,0.0,-1.992810e-04,-1.992810e-04,0.0000
baseline,mos_tt,27,3.3,000000,64.000000,64.000000,0.0,-2.276000e-04,-2.276000e-04,0.0000
baseline,mos_tt,27,3.63,000000,64.000000,64.000000,0.0,-2.568380e-04,-2.568380e-04,0.0000
code,mos_tt,27,3.3,000001,64.999900,64.999900,0.0,-2.253090e-04,-2.253090e-04,0.0000
code,mos_tt,27,3.3,000010,65.999800,65.999800,0.0,-2.254550e-04,-2.254550e-04,0.0000
code,mos_tt,27,3.3,000100,68.000100,68.000100,0.0,-2.256580e-04,-2.256580e-04,0.0000
code,mos_tt,27,3.3,001000,72.000200,72.000200,0.0,-2.244990e-04,-2.244990e-04,0.0000
code,mos_tt,27,3.3,010000,80.000400,80.000400,0.0,-2.241980e-04,-2.241980e-04,0.0000
code,mos_tt,27,3.3,011111,95.000400,95.000400,0.0,-2.194260e-04,-2.194260e-04,0.0000
code,mos_tt,27,3.3,100000,95.999500,95.999500,0.0,-2.241400e-04,-2.241400e-04,0.0000
code,mos_tt,27,3.3,101010,106.000000,106.000000,0.0,-2.212700e-04,-2.212700e-04,0.0000
code,mos_tt,27,3.3,111111,127.000000,127.000000,0.0,-2.186130e-04,-2.186130e-04,0.0000
edge,mos_ff,-40,3.3,111111,127.000000,127.000000,0.0,-2.264810e-04,-2.264810e-04,0.0000
edge,mos_ss,125,3.3,111111,127.000000,127.000000,0.0,-2.156980e-04,-2.156980e-04,0.0000
