kind,instance,corner,temp_c,committed_value,this_host_value,delta,delta_pct
R,XRPU(rhigh),res_typ,-40,2.637689e+06,2.637689e+06,0.000000e+00,0.0000
R,XRPU(rhigh),res_typ,27,2.266979e+06,2.266979e+06,0.000000e+00,0.0000
R,XRPU(rhigh),res_typ,125,1.801724e+06,1.801724e+06,0.000000e+00,0.0000
R,XRPU(rhigh),res_bcs,-40,1.978362e+06,1.978362e+06,0.000000e+00,0.0000
R,XRPU(rhigh),res_bcs,27,1.700315e+06,1.700315e+06,0.000000e+00,0.0000
R,XRPU(rhigh),res_bcs,125,1.351358e+06,1.351358e+06,0.000000e+00,0.0000
R,XRPU(rhigh),res_wcs,-40,3.297015e+06,3.297015e+06,0.000000e+00,0.0000
R,XRPU(rhigh),res_wcs,27,2.833641e+06,2.833641e+06,0.000000e+00,0.0000
R,XRPU(rhigh),res_wcs,125,2.252090e+06,2.252090e+06,0.000000e+00,0.0000
C,XCW(cap_cmomi),none,-40,1.691196e-12,1.691196e-12,0.000000e+00,0.0000
C,XCW(cap_cmomi),none,27,1.691196e-12,1.691196e-12,0.000000e+00,0.0000
C,XCW(cap_cmomi),none,125,1.691196e-12,1.691196e-12,0.000000e+00,0.0000
C,XDW.XC1(cap_cmomi),none,-40,3.382393e-12,3.382393e-12,0.000000e+00,0.0000
C,XDW.XC1(cap_cmomi),none,27,3.382393e-12,3.382393e-12,0.000000e+00,0.0000
C,XDW.XC1(cap_cmomi),none,125,3.382393e-12,3.382393e-12,0.000000e+00,0.0000
