pvt_bundle,band_code,vctrl_v,freq_hz_committed,freq_hz_control_rerun,ratio_rerun_over_committed,delta_pct
fast,00,0.3,5.48218e+08,5.48218e+08,1.000000000,+0.000000
fast,00,0.9,5.92335e+08,5.92335e+08,1.000000000,+0.000000
fast,00,1.5,7.30265e+08,7.30265e+08,1.000000000,+0.000000
fast,00,2.1,8.82226e+08,8.82226e+08,1.000000000,+0.000000
fast,00,2.7,1.0253e+09,1.0253e+09,1.000000000,+0.000000
fast,01,0.3,5.48218e+08,5.48218e+08,1.000000000,+0.000000
fast,01,0.9,6.21675e+08,6.21675e+08,1.000000000,+0.000000
fast,01,1.5,9.19416e+08,9.19416e+08,1.000000000,+0.000000
fast,01,2.1,1.2242e+09,1.2242e+09,1.000000000,+0.000000
fast,01,2.7,1.44532e+09,1.44532e+09,1.000000000,+0.000000
fast,10,0.3,5.48218e+08,5.48218e+08,1.000000000,+0.000000
fast,10,0.9,6.10577e+08,6.10577e+08,1.000000000,+0.000000
fast,10,1.5,8.40337e+08,8.40337e+08,1.000000000,+0.000000
fast,10,2.1,1.08456e+09,1.08456e+09,1.000000000,+0.000000
fast,10,2.7,1.28442e+09,1.28442e+09,1.000000000,+0.000000
fast,11,0.3,5.48218e+08,5.48218e+08,1.000000000,+0.000000
fast,11,0.9,6.29833e+08,6.29833e+08,1.000000000,+0.000000
fast,11,1.5,9.83953e+08,9.83953e+08,1.000000000,+0.000000
fast,11,2.1,1.33405e+09,1.33405e+09,1.000000000,+0.000000
fast,11,2.7,1.56197e+09,1.56197e+09,1.000000000,+0.000000
slow,00,0.3,4.4526e+08,4.4526e+08,1.000000000,+0.000000
slow,00,0.9,4.83386e+08,4.83386e+08,1.000000000,+0.000000
slow,00,1.5,5.84414e+08,5.84414e+08,1.000000000,+0.000000
slow,00,2.1,6.9395e+08,6.9395e+08,1.000000000,+0.000000
slow,00,2.7,7.91299e+08,7.91299e+08,1.000000000,+0.000000
slow,01,0.3,4.4526e+08,4.4526e+08,1.000000000,+0.000000
slow,01,0.9,5.05694e+08,5.05694e+08,1.000000000,+0.000000
slow,01,1.5,7.05049e+08,7.05049e+08,1.000000000,+0.000000
slow,01,2.1,9.07478e+08,9.07478e+08,1.000000000,+0.000000
slow,01,2.7,1.04697e+09,1.04697e+09,1.000000000,+0.000000
slow,10,0.3,4.4526e+08,4.4526e+08,1.000000000,+0.000000
slow,10,0.9,4.97533e+08,4.97533e+08,1.000000000,+0.000000
slow,10,1.5,6.57567e+08,6.57567e+08,1.000000000,+0.000000
slow,10,2.1,8.24271e+08,8.24271e+08,1.000000000,+0.000000
slow,10,2.7,9.53066e+08,9.53066e+08,1.000000000,+0.000000
slow,11,0.3,4.4526e+08,4.4526e+08,1.000000000,+0.000000
slow,11,0.9,5.1159e+08,5.1159e+08,1.000000000,+0.000000
slow,11,1.5,7.41229e+08,7.41229e+08,1.000000000,+0.000000
slow,11,2.1,9.70121e+08,9.70121e+08,1.000000000,+0.000000
slow,11,2.7,1.11378e+09,1.11378e+09,1.000000000,+0.000000
typ,00,0.3,4.93963e+08,4.93963e+08,1.000000000,+0.000000
typ,00,0.9,5.33082e+08,5.33082e+08,1.000000000,+0.000000
typ,00,1.5,6.54982e+08,6.54982e+08,1.000000000,+0.000000
typ,00,2.1,7.87398e+08,7.87398e+08,1.000000000,+0.000000
typ,00,2.7,9.10979e+08,9.10979e+08,1.000000000,+0.000000
typ,01,0.3,4.93963e+08,4.93963e+08,1.000000000,+0.000000
typ,01,0.9,5.57998e+08,5.57998e+08,1.000000000,+0.000000
typ,01,1.5,8.10905e+08,8.10905e+08,1.000000000,+0.000000
typ,01,2.1,1.07493e+09,1.07493e+09,1.000000000,+0.000000
typ,01,2.7,1.26203e+09,1.26203e+09,1.000000000,+0.000000
typ,10,0.3,4.93963e+08,4.93963e+08,1.000000000,+0.000000
typ,10,0.9,5.48632e+08,5.48632e+08,1.000000000,+0.000000
typ,10,1.5,7.47822e+08,7.47822e+08,1.000000000,+0.000000
typ,10,2.1,9.59295e+08,9.59295e+08,1.000000000,+0.000000
typ,10,2.7,1.13e+09,1.13e+09,1.000000000,+0.000000
typ,11,0.3,4.93963e+08,4.93963e+08,1.000000000,+0.000000
typ,11,0.9,5.64064e+08,5.64064e+08,1.000000000,+0.000000
typ,11,1.5,8.62037e+08,8.62037e+08,1.000000000,+0.000000
typ,11,2.1,1.16194e+09,1.16194e+09,1.000000000,+0.000000
typ,11,2.7,1.35911e+09,1.35911e+09,1.000000000,+0.000000
