res_corner,temp_c,mom_frac,r1_committed,r1_control,r1_delta_pct,c1_committed,c1_control,c1_delta_pct,c2_committed,c2_control,c2_delta_pct,fz_committed,fz_control,fz_delta_pct,fp_committed,fp_control,fp_delta_pct
res_typ,27,0.00,3.4423e+05,3.2269e+05,-6.2594,1.6912e-12,1.6697e-12,-1.2730,1.0015e-13,1.2169e-13,+21.5036,2.733835e+05,2.953989e+05,+8.0530,4.889776e+06,4.348486e+06,-11.0698
res_typ,27,0.20,3.4423e+05,3.2269e+05,-6.2594,2.0294e-12,2.0036e-12,-1.2730,1.2018e-13,1.4603e-13,+21.5036,2.278196e+05,2.461658e+05,+8.0529,4.074813e+06,3.623739e+06,-11.0698
res_typ,125,-0.20,3.5128e+05,3.2896e+05,-6.3520,1.3530e-12,1.3358e-12,-1.2714,8.0122e-14,9.7330e-14,+21.4764,3.348768e+05,3.621960e+05,+8.1580,5.989653e+06,5.332980e+06,-10.9635
res_typ,125,0.00,3.5128e+05,3.2896e+05,-6.3520,1.6912e-12,1.6697e-12,-1.2714,1.0015e-13,1.2166e-13,+21.4764,2.679014e+05,2.897568e+05,+8.1580,4.791722e+06,4.266384e+06,-10.9634
res_typ,125,0.20,3.5128e+05,3.2896e+05,-6.3520,2.0294e-12,2.0036e-12,-1.2714,1.2018e-13,1.4599e-13,+21.4764,2.232512e+05,2.414640e+05,+8.1580,3.993102e+06,3.555320e+06,-10.9635
res_wcs,-40,-0.20,3.7502e+05,3.5013e+05,-6.6379,1.3530e-12,1.3358e-12,-1.2664,8.0122e-14,9.7261e-14,+21.3911,3.136751e+05,3.402861e+05,+8.4836,5.610437e+06,5.013902e+06,-10.6326
res_wcs,-40,0.00,3.7502e+05,3.5013e+05,-6.6379,1.6912e-12,1.6698e-12,-1.2664,1.0015e-13,1.2158e-13,+21.3911,2.509401e+05,2.722289e+05,+8.4836,4.488350e+06,4.011121e+06,-10.6326
res_wcs,-40,0.20,3.7502e+05,3.5013e+05,-6.6379,2.0294e-12,2.0037e-12,-1.2664,1.2018e-13,1.4589e-13,+21.3911,2.091167e+05,2.268574e+05,+8.4836,3.740291e+06,3.342601e+06,-10.6326
res_wcs,27,-0.20,3.7865e+05,3.5336e+05,-6.6785,1.3530e-12,1.3358e-12,-1.2657,8.0122e-14,9.7253e-14,+21.3803,3.106726e+05,3.371734e+05,+8.5301,5.556734e+06,4.968478e+06,-10.5864
res_wcs,27,0.00,3.7865e+05,3.5336e+05,-6.6785,1.6912e-12,1.6698e-12,-1.2657,1.0015e-13,1.2157e-13,+21.3803,2.485381e+05,2.697387e+05,+8.5301,4.445387e+06,3.974782e+06,-10.5864
res_wcs,27,0.20,3.7865e+05,3.5336e+05,-6.6785,2.0294e-12,2.0037e-12,-1.2657,1.2018e-13,1.4588e-13,+21.3803,2.071151e+05,2.247823e+05,+8.5301,3.704489e+06,3.312318e+06,-10.5864
res_wcs,125,-0.20,3.8640e+05,3.6026e+05,-6.7626,1.3530e-12,1.3358e-12,-1.2644,8.0122e-14,9.7235e-14,+21.3580,3.044418e+05,3.307047e+05,+8.6266,5.445289e+06,4.874054e+06,-10.4904
res_wcs,125,0.00,3.8640e+05,3.6026e+05,-6.7626,1.6912e-12,1.6698e-12,-1.2644,1.0015e-13,1.2154e-13,+21.3580,2.435534e+05,2.645638e+05,+8.6266,4.356231e+06,3.899243e+06,-10.4904
res_wcs,125,0.20,3.8640e+05,3.6026e+05,-6.7626,2.0294e-12,2.0038e-12,-1.2644,1.2018e-13,1.4585e-13,+21.3580,2.029612e+05,2.204698e+05,+8.6266,3.630192e+06,3.249369e+06,-10.4904
