arm,tstep,twin_r_s
aslayout,20p,2.64022e-10
postlayout,20p,4.38427e-10
aslayout,5p,2.62073e-10
postlayout,5p,4.37487e-10
aslayout,1.25p,2.61955e-10
postlayout,1.25p,4.37428e-10
