corner_tag,committed_twin_r_s,this_host_twin_r_s,delta_twin_r_s,delta_pct,byte_identical
mos_tt_res_typ_-40c_3.3v_24p4MHz_real,5.85546e-09,5.85546e-09,0.000000e+00,0.0000,yes
mos_tt_res_typ_-40c_3.3v_24p4MHz_ideal-0.20,4.72653e-09,4.72653e-09,0.000000e+00,0.0000,yes
mos_tt_res_typ_-40c_3.3v_24p4MHz_ideal0.00,5.85573e-09,5.85573e-09,0.000000e+00,0.0000,yes
mos_tt_res_typ_-40c_3.3v_24p4MHz_ideal0.20,6.98492e-09,6.98492e-09,0.000000e+00,0.0000,yes
mos_tt_res_typ_27c_3.3v_24p4MHz_real,6.66809e-09,6.66809e-09,0.000000e+00,0.0000,yes
mos_tt_res_typ_27c_3.3v_24p4MHz_ideal-0.20,5.38353e-09,5.38353e-09,0.000000e+00,0.0000,yes
mos_tt_res_typ_27c_3.3v_24p4MHz_ideal0.00,6.66892e-09,6.66892e-09,0.000000e+00,0.0000,yes
mos_tt_res_typ_27c_3.3v_24p4MHz_ideal0.20,7.95430e-09,7.95430e-09,0.000000e+00,0.0000,yes
mos_tt_res_typ_125c_3.3v_24p4MHz_real,7.95914e-09,7.95914e-09,0.000000e+00,0.0000,yes
mos_tt_res_typ_125c_3.3v_24p4MHz_ideal-0.20,6.42724e-09,6.42724e-09,0.000000e+00,0.0000,yes
mos_tt_res_typ_125c_3.3v_24p4MHz_ideal0.00,7.96002e-09,7.96002e-09,0.000000e+00,0.0000,yes
mos_tt_res_typ_125c_3.3v_24p4MHz_ideal0.20,9.49280e-09,9.49280e-09,0.000000e+00,0.0000,yes
mos_ss_res_wcs_-40c_3.3v_24p4MHz_real,7.06489e-09,7.06489e-09,0.000000e+00,0.0000,yes
mos_ss_res_wcs_-40c_3.3v_24p4MHz_ideal-0.20,5.69871e-09,5.69871e-09,0.000000e+00,0.0000,yes
mos_ss_res_wcs_-40c_3.3v_24p4MHz_ideal0.00,7.06490e-09,7.06490e-09,0.000000e+00,0.0000,yes
mos_ss_res_wcs_-40c_3.3v_24p4MHz_ideal0.20,8.43108e-09,8.43108e-09,0.000000e+00,0.0000,yes
mos_ss_res_wcs_27c_3.3v_24p4MHz_real,7.98044e-09,7.98044e-09,0.000000e+00,0.0000,yes
mos_ss_res_wcs_27c_3.3v_24p4MHz_ideal-0.20,6.43979e-09,6.43979e-09,0.000000e+00,0.0000,yes
mos_ss_res_wcs_27c_3.3v_24p4MHz_ideal0.00,7.98273e-09,7.98273e-09,0.000000e+00,0.0000,yes
