pvt_bundle,mos_corner,res_corner,temp_c,band_code,vctrl_v,freq_hz_schematic,freq_hz_postlayout,ratio_post_over_sch,delta_pct
fast,mos_ff,res_bcs,-40,00,0.3,5.48218e+08,2.91215e+08,0.531203,-46.880
fast,mos_ff,res_bcs,-40,00,0.9,5.92335e+08,3.1419e+08,0.530427,-46.957
fast,mos_ff,res_bcs,-40,00,1.5,7.30265e+08,3.84227e+08,0.526147,-47.385
fast,mos_ff,res_bcs,-40,00,2.1,8.82226e+08,4.60061e+08,0.521478,-47.852
fast,mos_ff,res_bcs,-40,00,2.7,1.0253e+09,5.30722e+08,0.517625,-48.237
fast,mos_ff,res_bcs,-40,01,0.3,5.48218e+08,2.91215e+08,0.531204,-46.880
fast,mos_ff,res_bcs,-40,01,0.9,6.21675e+08,3.29323e+08,0.529735,-47.027
fast,mos_ff,res_bcs,-40,01,1.5,9.19416e+08,4.77921e+08,0.519809,-48.019
fast,mos_ff,res_bcs,-40,01,2.1,1.2242e+09,6.2669e+08,0.511920,-48.808
fast,mos_ff,res_bcs,-40,01,2.7,1.44532e+09,7.33611e+08,0.507577,-49.242
fast,mos_ff,res_bcs,-40,10,0.3,5.48218e+08,2.91215e+08,0.531204,-46.880
fast,mos_ff,res_bcs,-40,10,0.9,6.10577e+08,3.23474e+08,0.529784,-47.022
fast,mos_ff,res_bcs,-40,10,1.5,8.40337e+08,4.39124e+08,0.522557,-47.744
fast,mos_ff,res_bcs,-40,10,2.1,1.08456e+09,5.5967e+08,0.516033,-48.397
fast,mos_ff,res_bcs,-40,10,2.7,1.28442e+09,6.57024e+08,0.511532,-48.847
fast,mos_ff,res_bcs,-40,11,0.3,5.48218e+08,2.91215e+08,0.531204,-46.880
fast,mos_ff,res_bcs,-40,11,0.9,6.29833e+08,3.335e+08,0.529505,-47.050
fast,mos_ff,res_bcs,-40,11,1.5,9.83953e+08,5.09538e+08,0.517848,-48.215
fast,mos_ff,res_bcs,-40,11,2.1,1.33405e+09,6.7932e+08,0.509215,-49.079
fast,mos_ff,res_bcs,-40,11,2.7,1.56197e+09,7.89497e+08,0.505449,-49.455
slow,mos_ss,res_wcs,125,00,0.3,4.4526e+08,2.23677e+08,0.502350,-49.765
slow,mos_ss,res_wcs,125,00,0.9,4.83386e+08,2.41932e+08,0.500495,-49.950
slow,mos_ss,res_wcs,125,00,1.5,5.84414e+08,2.90054e+08,0.496317,-50.368
slow,mos_ss,res_wcs,125,00,2.1,6.9395e+08,3.41192e+08,0.491666,-50.833
slow,mos_ss,res_wcs,125,00,2.7,7.91299e+08,3.8597e+08,0.487768,-51.223
slow,mos_ss,res_wcs,125,01,0.3,4.4526e+08,2.23677e+08,0.502350,-49.765
slow,mos_ss,res_wcs,125,01,0.9,5.05694e+08,2.52613e+08,0.499538,-50.046
slow,mos_ss,res_wcs,125,01,1.5,7.05049e+08,3.45968e+08,0.490700,-50.930
slow,mos_ss,res_wcs,125,01,2.1,9.07478e+08,4.38425e+08,0.483125,-51.688
