arm,tag,mos_corner,temp_c,vdd_v,p_word,ck1_max,ck1_min,ck2_max,ck2_min,ck3_max,ck3_min,ck4_max,ck4_min,ck5_max,ck5_min,dvo_max,dvo_min,fb_max,fb_min,tdiv_a_s,tdiv_b_s,tck_a_s,tck_b_s,idd_a
schematic,edge,mos_ff,-40,3.3,111111,3.35457e+00,-3.94588e-02,3.35390e+00,-3.84637e-02,3.35499e+00,-3.81770e-02,3.35172e+00,-3.71670e-02,3.35376e+00,-3.63131e-02,3.38651e+00,-8.97176e-02,3.39257e+00,-6.22073e-02,1.28276e-06,2.55276e-06,2.00300e-08,3.00300e-08,-2.26481e-04
schematic,edge,mos_ss,125,3.3,111111,3.35674e+00,-2.94182e-02,3.35601e+00,-3.48007e-02,3.35628e+00,-3.58114e-02,3.35684e+00,-3.55349e-02,3.35659e+00,-3.54192e-02,3.37937e+00,-8.57261e-02,3.39626e+00,-6.98115e-02,1.28497e-06,2.55497e-06,2.00300e-08,3.00300e-08,-2.15698e-04
postlayout,baseline,mos_ff,-40,3.3,000000,3.31237e+00,-6.86674e-03,3.31127e+00,-6.44139e-03,3.31023e+00,-6.07328e-03,3.31076e+00,-5.81058e-03,3.30840e+00,-5.45743e-03,3.31866e+00,-1.71353e-02,3.31198e+00,-6.57195e-03,6.50115e-07,1.29012e-06,2.00300e-08,3.00300e-08,-8.61586e-04
postlayout,baseline,mos_ss,125,3.3,000000,3.31262e+00,-5.75043e-03,3.31139e+00,-5.40206e-03,3.31047e+00,-5.48723e-03,3.31066e+00,-4.69012e-03,3.30899e+00,-3.99338e-03,3.31655e+00,-1.60113e-02,3.31022e+00,-5.56638e-03,6.68602e-07,1.30860e-06,2.00300e-08,3.00300e-08,-8.44309e-04
postlayout,baseline,mos_tt,27,3.3,000000,3.31343e+00,-6.69059e-03,3.31237e+00,-6.11222e-03,3.31063e+00,-6.01969e-03,3.30940e+00,-5.28214e-03,3.30777e+00,-4.72538e-03,3.31770e+00,-1.63825e-02,3.31006e+00,-5.59446e-03,6.63056e-07,1.30306e-06,2.00300e-08,3.00300e-08,-8.46803e-04
postlayout,code,mos_tt,27,3.3,000001,3.31362e+00,-6.67714e-03,3.31248e+00,-6.11222e-03,3.31063e+00,-4.96752e-03,3.30940e+00,-4.97183e-03,3.30981e+00,-4.83975e-03,3.31768e+00,-1.63825e-02,3.31005e+00,-5.59168e-03,6.73064e-07,1.32306e-06,2.00300e-08,3.00300e-08,-8.40052e-04
postlayout,code,mos_tt,27,3.3,000010,3.31361e+00,-6.68330e-03,3.31236e+00,-6.11223e-03,3.31063e+00,-5.13090e-03,3.30940e+00,-5.44467e-03,3.30777e+00,-5.10105e-03,3.31768e+00,-1.63825e-02,3.31005e+00,-5.59294e-03,6.83061e-07,1.34306e-06,2.00300e-08,3.00300e-08,-8.39892e-04
postlayout,code,mos_tt,27,3.3,000100,3.31361e+00,-6.67273e-03,3.31251e+00,-6.11222e-03,3.31063e+00,-4.95552e-03,3.30940e+00,-5.06564e-03,3.30981e+00,-4.72538e-03,3.31768e+00,-1.63825e-02,3.31005e+00,-5.59079e-03,7.03067e-07,1.38307e-06,2.00300e-08,3.00300e-08,-8.37480e-04
postlayout,code,mos_tt,27,3.3,001000,3.31358e+00,-6.69994e-03,3.31251e+00,-6.11223e-03,3.31063e+00,-6.01974e-03,3.30940e+00,-4.97197e-03,3.30981e+00,-4.73422e-03,3.31768e+00,-1.63809e-02,3.31005e+00,-5.59644e-03,7.43067e-07,1.46307e-06,2.00300e-08,3.00300e-08,-8.33767e-04
postlayout,code,mos_tt,27,3.3,010000,3.31349e+00,-6.70236e-03,3.31251e+00,-6.11222e-03,3.31063e+00,-6.01968e-03,3.30940e+00,-5.28213e-03,3.30981e+00,-4.72539e-03,3.31768e+00,-1.63571e-02,3.31003e+00,-5.59696e-03,8.23066e-07,1.62307e-06,2.00300e-08,3.00300e-08,-8.32347e-04
postlayout,code,mos_tt,27,3.3,011111,3.31343e+00,-6.67588e-03,3.31251e+00,-6.11223e-03,3.31063e+00,-4.95552e-03,3.30940e+00,-4.97195e-03,3.30777e+00,-4.72540e-03,3.31768e+00,-1.63793e-02,3.31004e+00,-5.59142e-03,9.73067e-07,1.92307e-06,2.00300e-08,3.00300e-08,-8.14351e-04
postlayout,code,mos_tt,27,3.3,100000,3.31363e+00,-6.58576e-03,3.31251e+00,-6.11222e-03,3.31063e+00,-6.01969e-03,3.30940e+00,-5.28211e-03,3.30981e+00,-4.72538e-03,3.31770e+00,-1.63902e-02,3.31012e+00,-5.56595e-03,9.83064e-07,1.94306e-06,2.00300e-08,3.00300e-08,-8.33397e-04
postlayout,code,mos_tt,27,3.3,101010,3.31348e+00,-6.58544e-03,3.31251e+00,-6.11223e-03,3.31063e+00,-5.13093e-03,3.30940e+00,-4.97193e-03,3.30777e+00,-4.72539e-03,3.31768e+00,-1.63902e-02,3.31012e+00,-5.56078e-03,1.08306e-06,2.14306e-06,2.00300e-08,3.00300e-08,-8.23535e-04
postlayout,code,mos_tt,27,3.3,111111,3.31349e+00,-6.58578e-03,3.31250e+00,-6.11224e-03,3.31063e+00,-4.95551e-03,3.30940e+00,-4.95660e-03,3.30981e+00,-4.72540e-03,3.31768e+00,-1.63902e-02,3.31011e+00,-5.56594e-03,1.29306e-06,2.56306e-06,2.00300e-08,3.00300e-08,-8.11436e-04
postlayout,edge,mos_ff,-40,3.3,111111,3.31231e+00,-6.86669e-03,3.31127e+00,-6.44141e-03,3.31023e+00,-5.81850e-03,3.31076e+00,-5.39068e-03,3.30877e+00,-4.95565e-03,3.31866e+00,-1.71554e-02,3.31198e+00,-6.57214e-03,1.65011e-06,2.92011e-06,2.00300e-08,3.00300e-08,-8.19756e-04
postlayout,edge,mos_ss,125,3.3,111111,3.31262e+00,-6.05326e-03,3.31139e+00,-5.76480e-03,3.31047e+00,-5.48723e-03,3.31066e+00,-4.60381e-03,3.30899e+00,-4.38025e-03,3.31655e+00,-2.01604e-02,3.30963e+00,-5.62471e-03,1.29860e-06,2.56860e-06,2.00300e-08,3.00300e-08,-8.09456e-04
