arm,deck,mos_corner,res_corner,temp_c,vsup_v,twin_r_s,twin_f_s
aslayout,bare,mos_ff,res_bcs,-40,3.3,1.78744e-10,1.89708e-10
aslayout,bare,mos_ff,res_bcs,125,3.3,2.53488e-10,2.63156e-10
aslayout,bare,mos_ff,res_bcs,27,3.3,2.07611e-10,2.14847e-10
aslayout,bare,mos_fs,res_typ,-40,3.3,1.96644e-10,2.10806e-10
aslayout,bare,mos_fs,res_typ,125,3.3,2.75129e-10,2.91082e-10
aslayout,bare,mos_fs,res_typ,27,3.3,2.26501e-10,2.40247e-10
aslayout,bare,mos_sf,res_typ,-40,3.3,1.98293e-10,2.06169e-10
aslayout,bare,mos_sf,res_typ,125,3.3,2.77213e-10,2.85052e-10
aslayout,bare,mos_sf,res_typ,27,3.3,2.28484e-10,2.33851e-10
aslayout,bare,mos_ss,res_wcs,-40,3.3,2.20415e-10,2.32147e-10
aslayout,bare,mos_ss,res_wcs,125,3.3,3.05257e-10,3.19676e-10
aslayout,bare,mos_ss,res_wcs,27,3.3,2.51537e-10,2.65847e-10
aslayout,bare,mos_tt,res_bcs,-40,3.3,1.96890e-10,2.08124e-10
aslayout,bare,mos_tt,res_bcs,125,3.3,2.75551e-10,2.87596e-10
aslayout,bare,mos_tt,res_bcs,27,3.3,2.26874e-10,2.35887e-10
aslayout,bare,mos_tt,res_typ,-40,2.97,2.12944e-10,2.25784e-10
aslayout,bare,mos_tt,res_typ,-40,3.3,1.96890e-10,2.08124e-10
aslayout,bare,mos_tt,res_typ,-40,3.63,1.85773e-10,1.93068e-10
aslayout,bare,mos_tt,res_typ,125,2.97,3.01884e-10,3.14893e-10
aslayout,bare,mos_tt,res_typ,125,3.3,2.75551e-10,2.87596e-10
aslayout,bare,mos_tt,res_typ,125,3.63,2.56308e-10,2.66504e-10
aslayout,bare,mos_tt,res_typ,27,2.97,2.46642e-10,2.58484e-10
aslayout,bare,mos_tt,res_typ,27,3.3,2.26874e-10,2.35887e-10
aslayout,bare,mos_tt,res_typ,27,3.63,2.12237e-10,2.19871e-10
aslayout,bare,mos_tt,res_wcs,-40,3.3,1.96890e-10,2.08124e-10
aslayout,bare,mos_tt,res_wcs,125,3.3,2.75551e-10,2.87596e-10
aslayout,bare,mos_tt,res_wcs,27,3.3,2.26874e-10,2.35887e-10
aslayout,wholecell,mos_ff,res_bcs,-40,3.3,2.09687e-10,2.16877e-10
aslayout,wholecell,mos_ff,res_bcs,125,3.3,2.95845e-10,3.03241e-10
aslayout,wholecell,mos_ff,res_bcs,27,3.3,2.41381e-10,2.48521e-10
aslayout,wholecell,mos_ff,res_typ,27,3.3,2.41381e-10,2.48521e-10
aslayout,wholecell,mos_fs,res_typ,-40,3.3,2.31086e-10,2.40864e-10
aslayout,wholecell,mos_fs,res_typ,125,3.3,3.23503e-10,3.33608e-10
aslayout,wholecell,mos_fs,res_typ,27,3.3,2.65434e-10,2.74917e-10
aslayout,wholecell,mos_sf,res_typ,-40,3.3,2.30240e-10,2.36998e-10
aslayout,wholecell,mos_sf,res_typ,125,3.3,3.22028e-10,3.29183e-10
aslayout,wholecell,mos_sf,res_typ,27,3.3,2.64412e-10,2.70684e-10
aslayout,wholecell,mos_ss,res_typ,27,3.3,2.93790e-10,3.04169e-10
aslayout,wholecell,mos_ss,res_wcs,-40,3.3,2.56971e-10,2.66755e-10
aslayout,wholecell,mos_ss,res_wcs,125,3.3,3.55408e-10,3.67096e-10
aslayout,wholecell,mos_ss,res_wcs,27,3.3,2.93790e-10,3.04169e-10
aslayout,wholecell,mos_tt,res_bcs,-40,3.3,2.29825e-10,2.38104e-10
aslayout,wholecell,mos_tt,res_bcs,125,3.3,3.21910e-10,3.30572e-10
aslayout,wholecell,mos_tt,res_bcs,27,3.3,2.64020e-10,2.71856e-10
aslayout,wholecell,mos_tt,res_typ,-40,2.97,2.48982e-10,2.57115e-10
aslayout,wholecell,mos_tt,res_typ,-40,3.3,2.29825e-10,2.38104e-10
aslayout,wholecell,mos_tt,res_typ,-40,3.63,2.15888e-10,2.23528e-10
aslayout,wholecell,mos_tt,res_typ,125,2.97,3.52255e-10,3.61711e-10
aslayout,wholecell,mos_tt,res_typ,125,3.3,3.21910e-10,3.30572e-10
aslayout,wholecell,mos_tt,res_typ,125,3.63,2.98795e-10,3.07082e-10
aslayout,wholecell,mos_tt,res_typ,27,2.97,2.87356e-10,2.95996e-10
aslayout,wholecell,mos_tt,res_typ,27,3.3,2.64020e-10,2.71856e-10
aslayout,wholecell,mos_tt,res_typ,27,3.63,2.47154e-10,2.54022e-10
aslayout,wholecell,mos_tt,res_wcs,-40,3.3,2.29825e-10,2.38104e-10
aslayout,wholecell,mos_tt,res_wcs,125,3.3,3.21910e-10,3.30572e-10
aslayout,wholecell,mos_tt,res_wcs,27,3.3,2.64020e-10,2.71856e-10
postlayout,wholecell,mos_ff,res_bcs,-40,3.3,3.02375e-10,3.07982e-10
postlayout,wholecell,mos_ff,res_bcs,125,3.3,4.28230e-10,4.33982e-10
postlayout,wholecell,mos_ff,res_bcs,27,3.3,3.49238e-10,3.54503e-10
postlayout,wholecell,mos_ff,res_typ,27,3.3,3.49238e-10,3.54503e-10
postlayout,wholecell,mos_fs,res_typ,-40,3.3,3.38600e-10,3.47489e-10
postlayout,wholecell,mos_fs,res_typ,125,3.3,4.74636e-10,4.85111e-10
postlayout,wholecell,mos_fs,res_typ,27,3.3,3.89730e-10,3.98899e-10
postlayout,wholecell,mos_sf,res_typ,-40,3.3,3.36513e-10,3.41509e-10
postlayout,wholecell,mos_sf,res_typ,125,3.3,4.71248e-10,4.76657e-10
postlayout,wholecell,mos_sf,res_typ,27,3.3,3.86709e-10,3.91675e-10
postlayout,wholecell,mos_ss,res_typ,27,3.3,4.36239e-10,4.47099e-10
postlayout,wholecell,mos_ss,res_wcs,-40,3.3,3.81761e-10,3.91397e-10
postlayout,wholecell,mos_ss,res_wcs,125,3.3,5.27277e-10,5.39959e-10
postlayout,wholecell,mos_ss,res_wcs,27,3.3,4.36239e-10,4.47099e-10
postlayout,wholecell,mos_tt,res_bcs,-40,3.3,3.36248e-10,3.43199e-10
postlayout,wholecell,mos_tt,res_bcs,125,3.3,4.71785e-10,4.79599e-10
postlayout,wholecell,mos_tt,res_bcs,27,3.3,3.86932e-10,3.94007e-10
postlayout,wholecell,mos_tt,res_typ,-40,2.97,3.65961e-10,3.73677e-10
postlayout,wholecell,mos_tt,res_typ,-40,3.3,3.36248e-10,3.43199e-10
postlayout,wholecell,mos_tt,res_typ,-40,3.63,3.14769e-10,3.21115e-10
postlayout,wholecell,mos_tt,res_typ,125,2.97,5.18160e-10,5.27612e-10
postlayout,wholecell,mos_tt,res_typ,125,3.3,4.71785e-10,4.79599e-10
postlayout,wholecell,mos_tt,res_typ,125,3.63,4.36651e-10,4.43438e-10
postlayout,wholecell,mos_tt,res_typ,27,2.97,4.23056e-10,4.31410e-10
postlayout,wholecell,mos_tt,res_typ,27,3.3,3.86932e-10,3.94007e-10
postlayout,wholecell,mos_tt,res_typ,27,3.63,3.59911e-10,3.66277e-10
postlayout,wholecell,mos_tt,res_wcs,-40,3.3,3.36248e-10,3.43199e-10
postlayout,wholecell,mos_tt,res_wcs,125,3.3,4.71785e-10,4.79599e-10
postlayout,wholecell,mos_tt,res_wcs,27,3.3,3.86932e-10,3.94007e-10
