corner_tag,twin_r_s,in_window_lock_rail,tau_assert_s,tau_assert_xwin,tau_deassert_s,tau_deassert_xwin,hysteresis_s,hysteresis_pct_of_window,chatter,lock_min_deep_v,lock_max_deep_v,trec_s,vwin_min_zeroerr_v,vwin_max_zeroerr_v,idd_inlock_a,idd_outlock_a,ladder_states_discharged_start,ladder_states_charged_start,rc_s,c_win_basis_f,tref_s,rc_over_tref_on_cwin_basis,n_cycles,settle_frac_on_cwin_basis
aslayout_mos_tt_res_typ_27c_3.3v_3p5MHz,2.640200e-10,unresolved,NA,NA,NA,NA,NA,NA,chatter,-3.596060e-02,3.320740e+00,1.130000e-07,1.455670e-16,3.244520e+00,1.373100e-06,4.542540e-05,TTTTTTTTT,OOTTTTTTT,1.3649423884525e-07,6.020975e-14,2.857142857142857e-07,0.478,2,0.9848
aslayout_mos_tt_res_typ_27c_3.63v_3p5MHz,2.471540e-10,unresolved,NA,NA,NA,NA,NA,NA,chatter,-4.049430e-02,3.640390e+00,1.134550e-07,1.601240e-16,3.567650e+00,1.559110e-06,6.213570e-05,TTTTTTTTT,OOTTTTTTT,1.3649423884525e-07,6.020975e-14,2.857142857142857e-07,0.478,2,0.9848
aslayout_mos_tt_res_wcs_-40c_3.3v_24p4MHz,2.298250e-10,lo,2.298250e-10,1.000000e+00,2.298250e-10,1.000000e+00,0.000000e+00,0.000000e+00,steady,3.248930e+00,3.318100e+00,1.652300e-07,3.210100e+00,3.241740e+00,1.945390e-05,2.559680e-05,IIOOOOOOO,IIOOOOOOO,1.9851244889625e-07,6.020975e-14,4.0983606557377046e-08,4.844,20,0.9839
aslayout_mos_tt_res_wcs_-40c_3.3v_3p5MHz,2.298250e-10,lo,2.298250e-10,1.000000e+00,2.298250e-10,1.000000e+00,0.000000e+00,0.000000e+00,chatter,2.379490e-02,3.328470e+00,1.651580e-07,2.334840e+00,3.252610e+00,2.842720e-06,7.152780e-05,IITTTTTTT,IITTTTTTT,1.9851244889625e-07,6.020975e-14,2.857142857142857e-07,0.695,3,0.9867
aslayout_mos_tt_res_wcs_125c_3.3v_3p5MHz,3.219100e-10,unresolved,NA,NA,NA,NA,NA,NA,chatter,-2.935990e-02,3.315450e+00,1.118140e-07,1.465290e-16,3.243700e+00,1.445190e-06,4.182040e-05,TTTTTTTTT,OOTTTTTTT,1.355977758775e-07,6.020975e-14,2.857142857142857e-07,0.475,2,0.9852
aslayout_mos_tt_res_wcs_27c_3.3v_3p5MHz,2.640200e-10,lo,2.640200e-10,1.000000e+00,2.640200e-10,1.000000e+00,0.000000e+00,0.000000e+00,chatter,1.013710e-02,3.378170e+00,1.410730e-07,2.521840e+00,3.277140e+00,2.748950e-06,5.743230e-05,IITTTTTTT,IITTTTTTT,1.7061281619975e-07,6.020975e-14,2.857142857142857e-07,0.597,3,0.9934
postlayout_mos_ff_res_typ_27c_3.3v_3p5MHz,3.492380e-10,unresolved,NA,NA,NA,NA,NA,NA,chatter,1.306410e-01,3.309130e+00,2.113650e-07,0.000000e+00,2.828140e+00,4.242340e-05,4.122810e-05,TTTTTTTTT,OOOTTTTTT,1.3649423884525e-07,6.020975e-14,2.857142857142857e-07,0.478,2,0.9848
postlayout_mos_ss_res_typ_27c_3.3v_3p5MHz,4.362390e-10,unresolved,NA,NA,NA,NA,NA,NA,chatter,8.344080e-02,3.311320e+00,2.067730e-07,0.000000e+00,2.854900e+00,2.683780e-05,2.702110e-05,TTTTTTTTT,OOOTTTTTT,1.3649423884525e-07,6.020975e-14,2.857142857142857e-07,0.478,2,0.9848
postlayout_mos_tt_res_bcs_-40c_3.3v_3p5MHz,3.362480e-10,unresolved,NA,NA,NA,NA,NA,NA,chatter,3.791630e-02,3.313480e+00,1.826890e-07,0.000000e+00,2.968750e+00,3.315130e-05,3.274540e-05,TTTTTTTTT,OOOTTTTTT,1.191166814295e-07,6.020975e-14,2.857142857142857e-07,0.417,2,0.9917
postlayout_mos_tt_res_bcs_125c_3.3v_24p4MHz,4.717850e-10,lo,4.717850e-10,1.000000e+00,4.717850e-10,1.000000e+00,0.000000e+00,0.000000e+00,steady,3.259590e+00,3.301010e+00,1.241860e-07,2.482170e+00,2.798390e+00,8.738800e-05,5.750260e-05,IIOOOOOOO,IIOOOOOOO,8.136492734049999e-08,6.020975e-14,4.0983606557377046e-08,1.985,8,0.9822
postlayout_mos_tt_res_bcs_125c_3.3v_3p5MHz,4.717850e-10,unresolved,NA,NA,NA,NA,NA,NA,chatter,6.643710e-03,3.306820e+00,1.241550e-07,0.000000e+00,3.191990e+00,2.152340e-05,2.023780e-05,TTTTTTTTT,OOOTTTTTT,8.136492734049999e-08,6.020975e-14,2.857142857142857e-07,0.285,2,0.9991
postlayout_mos_tt_res_bcs_27c_3.3v_3p5MHz,3.869320e-10,unresolved,NA,NA,NA,NA,NA,NA,chatter,2.122220e-02,3.305120e+00,1.567220e-07,0.000000e+00,3.077380e+00,2.720250e-05,2.617940e-05,TTTTTTTTT,OOOTTTTTT,1.0237554107125e-07,6.020975e-14,2.857142857142857e-07,0.358,2,0.9962
postlayout_mos_tt_res_typ_-40c_3.3v_3p5MHz,3.362480e-10,lo,3.362480e-10,1.000000e+00,4.034976e-10,1.200000e+00,6.724960e-11,2.000000e+01,chatter,1.479620e-01,3.312570e+00,2.435840e-07,1.842250e+00,3.056970e+00,2.066760e-05,1.854400e-05,IITTTTTTT,IIITTTTTT,1.5881459526775e-07,6.020975e-14,2.857142857142857e-07,0.556,3,0.9955
postlayout_mos_tt_res_typ_125c_3.3v_3p5MHz,4.717850e-10,unresolved,NA,NA,NA,NA,NA,NA,chatter,5.766110e-02,3.324750e+00,1.655550e-07,0.000000e+00,3.033310e+00,2.668970e-05,2.547930e-05,TTTTTTTTT,OOOTTTTTT,1.0848135160899999e-07,6.020975e-14,2.857142857142857e-07,0.380,2,0.9948
postlayout_mos_tt_res_typ_27c_2.97v_3p5MHz,4.230560e-10,unresolved,NA,NA,NA,NA,NA,NA,chatter,7.656350e-02,3.001720e+00,2.084340e-07,0.000000e+00,2.563000e+00,2.500390e-05,2.312100e-05,TTTTTTTTT,OOOTTTTTT,1.3649423884525e-07,6.020975e-14,2.857142857142857e-07,0.478,2,0.9848
postlayout_mos_tt_res_typ_27c_3.3v_24p4MHz,3.869320e-10,lo,3.869320e-10,1.000000e+00,3.869320e-10,1.000000e+00,0.000000e+00,0.000000e+00,steady,3.273970e+00,3.301020e+00,2.090030e-07,2.683890e+00,2.845940e+00,8.795720e-05,5.700100e-05,IIOOOOOOO,IIOOOOOOO,1.3649423884525e-07,6.020975e-14,4.0983606557377046e-08,3.330,14,0.9851
postlayout_mos_tt_res_typ_27c_3.3v_3p5MHz,3.869320e-10,unresolved,NA,NA,NA,NA,NA,NA,chatter,1.060350e-01,3.313230e+00,2.089460e-07,0.000000e+00,2.842160e+00,3.417120e-05,3.332160e-05,TTTTTTTTT,OOOTTTTTT,1.3649423884525e-07,6.020975e-14,2.857142857142857e-07,0.478,2,0.9848
postlayout_mos_tt_res_typ_27c_3.63v_3p5MHz,3.599110e-10,unresolved,NA,NA,NA,NA,NA,NA,chatter,1.386080e-01,3.632300e+00,2.093270e-07,0.000000e+00,3.120990e+00,4.475820e-05,4.545480e-05,TTTTTTTTT,OOOTTTTTT,1.3649423884525e-07,6.020975e-14,2.857142857142857e-07,0.478,2,0.9848
postlayout_mos_tt_res_wcs_-40c_3.3v_24p4MHz,3.362480e-10,lo,3.362480e-10,1.000000e+00,3.362480e-10,1.000000e+00,0.000000e+00,0.000000e+00,steady,3.280790e+00,3.301010e+00,3.044300e-07,2.720150e+00,2.830530e+00,9.306150e-05,6.130970e-05,IIOOOOOOO,IIOOOOOOO,1.9851244889625e-07,6.020975e-14,4.0983606557377046e-08,4.844,20,0.9839
postlayout_mos_tt_res_wcs_-40c_3.3v_3p5MHz,3.362480e-10,unresolved,NA,NA,NA,NA,NA,NA,chatter,3.989350e-01,3.310280e+00,3.044340e-07,1.577490e+00,2.875360e+00,3.096470e-05,3.316360e-05,TTTTTTTTT,OOTTTTTTT,1.9851244889625e-07,6.020975e-14,2.857142857142857e-07,0.695,3,0.9867
postlayout_mos_tt_res_wcs_125c_3.3v_3p5MHz,4.717850e-10,unresolved,NA,NA,NA,NA,NA,NA,chatter,1.542130e-01,3.335960e+00,2.069640e-07,0.000000e+00,2.842890e+00,3.184300e-05,3.069190e-05,TTTTTTTTT,OOOTTTTTT,1.355977758775e-07,6.020975e-14,2.857142857142857e-07,0.475,2,0.9852
postlayout_mos_tt_res_wcs_27c_3.3v_3p5MHz,3.869320e-10,lo,3.869320e-10,1.000000e+00,4.643184e-10,1.200000e+00,7.738640e-11,2.000000e+01,chatter,2.596150e-01,3.326290e+00,2.611860e-07,1.755880e+00,3.002920e+00,2.305640e-05,2.210180e-05,IITTTTTTT,IIITTTTTT,1.7061281619975e-07,6.020975e-14,2.857142857142857e-07,0.597,3,0.9934
