arm,mos_corner,temp_c,vdd_v,iref_a,state,vout_v,icp_a
postlayout,mos_ff,27,3.3,80u,dn,1.65,-8.04337457e-05
postlayout,mos_ff,27,3.3,80u,up,1.65,8.05229042e-05
postlayout,mos_fs,-40,3.3,10u,both,1.65,-6.31776849e-09
postlayout,mos_fs,-40,3.3,10u,dn,1.65,-1.00260804e-05
postlayout,mos_fs,-40,3.3,10u,up,1.65,1.00197627e-05
postlayout,mos_fs,-40,3.3,2.5u,both,1.65,-7.84905103e-09
postlayout,mos_fs,-40,3.3,2.5u,dn,1.65,-2.51002935e-06
postlayout,mos_fs,-40,3.3,2.5u,up,1.65,2.50218031e-06
postlayout,mos_fs,-40,3.3,20u,both,1.65,1.18226501e-08
postlayout,mos_fs,-40,3.3,20u,dn,1.65,-2.00469651e-05
postlayout,mos_fs,-40,3.3,20u,up,1.65,2.00587878e-05
postlayout,mos_fs,-40,3.3,40u,both,1.65,7.42968045e-08
postlayout,mos_fs,-40,3.3,40u,dn,1.65,-4.00979433e-05
postlayout,mos_fs,-40,3.3,40u,up,1.65,4.01722381e-05
postlayout,mos_fs,-40,3.3,5u,both,1.65,-9.19311177e-09
postlayout,mos_fs,-40,3.3,5u,dn,1.65,-5.01575144e-06
postlayout,mos_fs,-40,3.3,5u,up,1.65,5.00655833e-06
postlayout,mos_fs,-40,3.3,80u,both,1.65,2.39619951e-07
postlayout,mos_fs,-40,3.3,80u,dn,1.65,-8.02616791e-05
postlayout,mos_fs,-40,3.3,80u,up,1.65,8.05012799e-05
postlayout,mos_fs,125,3.3,10u,both,1.65,-7.47405093e-09
postlayout,mos_fs,125,3.3,10u,dn,1.65,-1.00224677e-05
postlayout,mos_fs,125,3.3,10u,up,1.65,1.00150341e-05
postlayout,mos_fs,125,3.3,2.5u,both,1.65,-7.16262884e-09
postlayout,mos_fs,125,3.3,2.5u,dn,1.65,-2.50895666e-06
postlayout,mos_fs,125,3.3,2.5u,up,1.65,2.50184516e-06
postlayout,mos_fs,125,3.3,20u,both,1.65,-5.3881547e-09
postlayout,mos_fs,125,3.3,20u,dn,1.65,-2.00509136e-05
postlayout,mos_fs,125,3.3,20u,up,1.65,2.00455475e-05
postlayout,mos_fs,125,3.3,40u,both,1.65,-6.00262051e-08
postlayout,mos_fs,125,3.3,40u,dn,1.65,-4.02107936e-05
postlayout,mos_fs,125,3.3,40u,up,1.65,4.01507907e-05
postlayout,mos_fs,125,3.3,5u,both,1.65,-8.07954377e-09
postlayout,mos_fs,125,3.3,5u,dn,1.65,-5.01309365e-06
postlayout,mos_fs,125,3.3,5u,up,1.65,5.00506091e-06
postlayout,mos_fs,125,3.3,80u,both,1.65,-4.6247666e-07
postlayout,mos_fs,125,3.3,80u,dn,1.65,-8.1010424e-05
postlayout,mos_fs,125,3.3,80u,up,1.65,8.05463894e-05
postlayout,mos_fs,27,3.3,10u,both,1.65,-6.34463952e-09
postlayout,mos_fs,27,3.3,10u,dn,1.65,-1.00237291e-05
postlayout,mos_fs,27,3.3,10u,up,1.65,1.00173844e-05
postlayout,mos_fs,27,3.3,2.5u,both,1.65,-7.51242263e-09
postlayout,mos_fs,27,3.3,2.5u,dn,1.65,-2.50944272e-06
postlayout,mos_fs,27,3.3,2.5u,up,1.65,2.50193033e-06
postlayout,mos_fs,27,3.3,20u,both,1.65,7.87183665e-09
postlayout,mos_fs,27,3.3,20u,dn,1.65,-2.00441539e-05
postlayout,mos_fs,27,3.3,20u,up,1.65,2.00520154e-05
postlayout,mos_fs,27,3.3,40u,both,1.65,5.09423631e-08
postlayout,mos_fs,27,3.3,40u,dn,1.65,-4.01027005e-05
postlayout,mos_fs,27,3.3,40u,up,1.65,4.01536403e-05
postlayout,mos_fs,27,3.3,5u,both,1.65,-8.54940142e-09
postlayout,mos_fs,27,3.3,5u,dn,1.65,-5.0142962e-06
postlayout,mos_fs,27,3.3,5u,up,1.65,5.00574683e-06
postlayout,mos_fs,27,3.3,80u,both,1.65,7.42260348e-08
postlayout,mos_fs,27,3.3,80u,dn,1.65,-8.04037119e-05
postlayout,mos_fs,27,3.3,80u,up,1.65,8.04777309e-05
postlayout,mos_sf,-40,3.3,10u,both,1.65,-3.97913023e-09
postlayout,mos_sf,-40,3.3,10u,dn,1.65,-1.0024034e-05
postlayout,mos_sf,-40,3.3,10u,up,1.65,1.00200491e-05
postlayout,mos_sf,-40,3.3,2.5u,both,1.65,-7.04815561e-09
postlayout,mos_sf,-40,3.3,2.5u,dn,1.65,-2.50926248e-06
postlayout,mos_sf,-40,3.3,2.5u,up,1.65,2.50221433e-06
postlayout,mos_sf,-40,3.3,20u,both,1.65,1.61986174e-08
postlayout,mos_sf,-40,3.3,20u,dn,1.65,-2.00434848e-05
postlayout,mos_sf,-40,3.3,20u,up,1.65,2.00596835e-05
postlayout,mos_sf,-40,3.3,40u,both,1.65,8.3930923e-08
postlayout,mos_sf,-40,3.3,40u,dn,1.65,-4.00912158e-05
postlayout,mos_sf,-40,3.3,40u,up,1.65,4.0175145e-05
postlayout,mos_sf,-40,3.3,5u,both,1.65,-7.86015249e-09
postlayout,mos_sf,-40,3.3,5u,dn,1.65,-5.01451292e-06
postlayout,mos_sf,-40,3.3,5u,up,1.65,5.00665277e-06
postlayout,mos_sf,-40,3.3,80u,both,1.65,2.74156352e-07
postlayout,mos_sf,-40,3.3,80u,dn,1.65,-8.02407948e-05
postlayout,mos_sf,-40,3.3,80u,up,1.65,8.05149368e-05
postlayout,mos_sf,125,3.3,10u,both,1.65,-4.96451358e-09
postlayout,mos_sf,125,3.3,10u,dn,1.65,-1.00202253e-05
postlayout,mos_sf,125,3.3,10u,up,1.65,1.00153792e-05
postlayout,mos_sf,125,3.3,2.5u,both,1.65,-6.37205834e-09
postlayout,mos_sf,125,3.3,2.5u,dn,1.65,-2.5081063e-06
postlayout,mos_sf,125,3.3,2.5u,up,1.65,2.50190769e-06
postlayout,mos_sf,125,3.3,20u,both,1.65,3.36250143e-09
postlayout,mos_sf,125,3.3,20u,dn,1.65,-2.00439426e-05
postlayout,mos_sf,125,3.3,20u,up,1.65,2.00473757e-05
postlayout,mos_sf,125,3.3,40u,both,1.65,-7.5913426e-09
postlayout,mos_sf,125,3.3,40u,dn,1.65,-4.01736468e-05
postlayout,mos_sf,125,3.3,40u,up,1.65,4.01660527e-05
postlayout,mos_sf,125,3.3,5u,both,1.65,-6.83787578e-09
postlayout,mos_sf,125,3.3,5u,dn,1.65,-5.01186705e-06
postlayout,mos_sf,125,3.3,5u,up,1.65,5.00518046e-06
postlayout,mos_sf,125,3.3,80u,both,1.65,-3.0562635e-07
postlayout,mos_sf,125,3.3,80u,dn,1.65,-8.09068319e-05
postlayout,mos_sf,125,3.3,80u,up,1.65,8.05994998e-05
postlayout,mos_sf,27,3.3,10u,both,1.65,-4.2132749e-09
postlayout,mos_sf,27,3.3,10u,dn,1.65,-1.00218523e-05
postlayout,mos_sf,27,3.3,10u,up,1.65,1.00176392e-05
postlayout,mos_sf,27,3.3,2.5u,both,1.65,-6.75378169e-09
postlayout,mos_sf,27,3.3,2.5u,dn,1.65,-2.5087179e-06
postlayout,mos_sf,27,3.3,2.5u,up,1.65,2.50196443e-06
postlayout,mos_sf,27,3.3,20u,both,1.65,1.2197574e-08
postlayout,mos_sf,27,3.3,20u,dn,1.65,-2.00406382e-05
postlayout,mos_sf,27,3.3,20u,up,1.65,2.00528353e-05
postlayout,mos_sf,27,3.3,40u,both,1.65,6.39194832e-08
postlayout,mos_sf,27,3.3,40u,dn,1.65,-4.0093008e-05
postlayout,mos_sf,27,3.3,40u,up,1.65,4.01569254e-05
postlayout,mos_sf,27,3.3,5u,both,1.65,-7.34353452e-09
postlayout,mos_sf,27,3.3,5u,dn,1.65,-5.01317592e-06
postlayout,mos_sf,27,3.3,5u,up,1.65,5.00583266e-06
postlayout,mos_sf,27,3.3,80u,both,1.65,1.52448581e-07
postlayout,mos_sf,27,3.3,80u,dn,1.65,-8.03537612e-05
postlayout,mos_sf,27,3.3,80u,up,1.65,8.05059533e-05
postlayout,mos_ss,-40,3.3,10u,both,1.65,-3.46382886e-09
postlayout,mos_ss,-40,3.3,10u,dn,1.65,-1.00230864e-05
postlayout,mos_ss,-40,3.3,10u,up,1.65,1.00196169e-05
postlayout,mos_ss,-40,3.3,2.5u,both,1.65,-6.743091e-09
postlayout,mos_ss,-40,3.3,2.5u,dn,1.65,-2.50890604e-06
postlayout,mos_ss,-40,3.3,2.5u,up,1.65,2.50216295e-06
postlayout,mos_ss,-40,3.3,20u,both,1.65,1.64483234e-08
postlayout,mos_ss,-40,3.3,20u,dn,1.65,-2.00418837e-05
postlayout,mos_ss,-40,3.3,20u,up,1.65,2.00583312e-05
postlayout,mos_ss,-40,3.3,40u,both,1.65,8.25983237e-08
postlayout,mos_ss,-40,3.3,40u,dn,1.65,-4.0088177e-05
postlayout,mos_ss,-40,3.3,40u,up,1.65,4.01707729e-05
postlayout,mos_ss,-40,3.3,5u,both,1.65,-7.42705497e-09
postlayout,mos_ss,-40,3.3,5u,dn,1.65,-5.01393732e-06
postlayout,mos_ss,-40,3.3,5u,up,1.65,5.00651027e-06
postlayout,mos_ss,-40,3.3,80u,both,1.65,2.63382979e-07
postlayout,mos_ss,-40,3.3,80u,dn,1.65,-8.02318755e-05
postlayout,mos_ss,-40,3.3,80u,up,1.65,8.04952366e-05
postlayout,mos_ss,125,3.3,10u,both,1.65,-4.52795551e-09
postlayout,mos_ss,125,3.3,10u,dn,1.65,-1.00193858e-05
postlayout,mos_ss,125,3.3,10u,up,1.65,1.0014888e-05
postlayout,mos_ss,125,3.3,2.5u,both,1.65,-6.13393515e-09
postlayout,mos_ss,125,3.3,2.5u,dn,1.65,-2.5079164e-06
postlayout,mos_ss,125,3.3,2.5u,up,1.65,2.50181761e-06
postlayout,mos_ss,125,3.3,20u,both,1.65,3.59400981e-09
postlayout,mos_ss,125,3.3,20u,dn,1.65,-2.00412995e-05
postlayout,mos_ss,125,3.3,20u,up,1.65,2.00449086e-05
postlayout,mos_ss,125,3.3,40u,both,1.65,-1.35759725e-08
postlayout,mos_ss,125,3.3,40u,dn,1.65,-4.01586471e-05
postlayout,mos_ss,125,3.3,40u,up,1.65,4.01450387e-05
postlayout,mos_ss,125,3.3,5u,both,1.65,-6.51005941e-09
postlayout,mos_ss,125,3.3,5u,dn,1.65,-5.01148507e-06
postlayout,mos_ss,125,3.3,5u,up,1.65,5.00500812e-06
postlayout,mos_ss,125,3.3,80u,both,1.65,-3.35233989e-07
postlayout,mos_ss,125,3.3,80u,dn,1.65,-8.0859695e-05
postlayout,mos_ss,125,3.3,80u,up,1.65,8.05219167e-05
postlayout,mos_ss,27,3.3,10u,both,1.65,-3.72966817e-09
postlayout,mos_ss,27,3.3,10u,dn,1.65,-1.00209916e-05
postlayout,mos_ss,27,3.3,10u,up,1.65,1.0017257e-05
postlayout,mos_ss,27,3.3,2.5u,both,1.65,-6.47044175e-09
postlayout,mos_ss,27,3.3,2.5u,dn,1.65,-2.50838373e-06
postlayout,mos_ss,27,3.3,2.5u,up,1.65,2.5019133e-06
postlayout,mos_ss,27,3.3,20u,both,1.65,1.25505399e-08
postlayout,mos_ss,27,3.3,20u,dn,1.65,-2.00390585e-05
postlayout,mos_ss,27,3.3,20u,up,1.65,2.00516083e-05
postlayout,mos_ss,27,3.3,40u,both,1.65,6.32226499e-08
postlayout,mos_ss,27,3.3,40u,dn,1.65,-4.00889331e-05
postlayout,mos_ss,27,3.3,40u,up,1.65,4.01521529e-05
postlayout,mos_ss,27,3.3,5u,both,1.65,-6.95514077e-09
postlayout,mos_ss,27,3.3,5u,dn,1.65,-5.01265904e-06
postlayout,mos_ss,27,3.3,5u,up,1.65,5.00570391e-06
postlayout,mos_ss,27,3.3,80u,both,1.65,1.33604328e-07
postlayout,mos_ss,27,3.3,80u,dn,1.65,-8.03327272e-05
postlayout,mos_ss,27,3.3,80u,up,1.65,8.04660444e-05
postlayout,mos_tt,-40,3.3,10u,both,1.65,-5.10342585e-09
postlayout,mos_tt,-40,3.3,10u,dn,1.65,-1.00250152e-05
postlayout,mos_tt,-40,3.3,10u,up,1.65,1.00199118e-05
postlayout,mos_tt,-40,3.3,2.5u,both,1.65,-7.43072924e-09
postlayout,mos_tt,-40,3.3,2.5u,dn,1.65,-2.50962868e-06
postlayout,mos_tt,-40,3.3,2.5u,up,1.65,2.50219796e-06
postlayout,mos_tt,-40,3.3,20u,both,1.65,1.41026135e-08
postlayout,mos_tt,-40,3.3,20u,dn,1.65,-2.00451515e-05
postlayout,mos_tt,-40,3.3,20u,up,1.65,2.00592541e-05
postlayout,mos_tt,-40,3.3,40u,both,1.65,7.93231884e-08
postlayout,mos_tt,-40,3.3,40u,dn,1.65,-4.00944195e-05
postlayout,mos_tt,-40,3.3,40u,up,1.65,4.01737408e-05
postlayout,mos_tt,-40,3.3,5u,both,1.65,-8.49899598e-09
postlayout,mos_tt,-40,3.3,5u,dn,1.65,-5.01510638e-06
postlayout,mos_tt,-40,3.3,5u,up,1.65,5.00660739e-06
postlayout,mos_tt,-40,3.3,80u,both,1.65,2.57278383e-07
postlayout,mos_tt,-40,3.3,80u,dn,1.65,-8.02505928e-05
postlayout,mos_tt,-40,3.3,80u,up,1.65,8.05078548e-05
postlayout,mos_tt,125,3.3,10u,both,1.65,-6.15095658e-09
postlayout,mos_tt,125,3.3,10u,dn,1.65,-1.00212841e-05
postlayout,mos_tt,125,3.3,10u,up,1.65,1.0015197e-05
postlayout,mos_tt,125,3.3,2.5u,both,1.65,-6.74710532e-09
postlayout,mos_tt,125,3.3,2.5u,dn,1.65,-2.50853445e-06
postlayout,mos_tt,125,3.3,2.5u,up,1.65,2.50187516e-06
postlayout,mos_tt,125,3.3,20u,both,1.65,-7.82291523e-10
postlayout,mos_tt,125,3.3,20u,dn,1.65,-2.0047087e-05
postlayout,mos_tt,125,3.3,20u,up,1.65,2.00463413e-05
postlayout,mos_tt,125,3.3,40u,both,1.65,-3.30609275e-08
postlayout,mos_tt,125,3.3,40u,dn,1.65,-4.01907829e-05
postlayout,mos_tt,125,3.3,40u,up,1.65,4.01577017e-05
postlayout,mos_tt,125,3.3,5u,both,1.65,-7.42738615e-09
postlayout,mos_tt,125,3.3,5u,dn,1.65,-5.01246763e-06
postlayout,mos_tt,125,3.3,5u,up,1.65,5.00511837e-06
postlayout,mos_tt,125,3.3,80u,both,1.65,-3.83533128e-07
postlayout,mos_tt,125,3.3,80u,dn,1.65,-8.09572237e-05
postlayout,mos_tt,125,3.3,80u,up,1.65,8.05718383e-05
postlayout,mos_tt,27,3.0,10u,both,1.5,-2.80626572e-09
postlayout,mos_tt,27,3.0,10u,dn,1.5,-1.00202607e-05
postlayout,mos_tt,27,3.0,10u,up,1.5,1.00174478e-05
postlayout,mos_tt,27,3.0,2.5u,both,1.5,-6.01303678e-09
postlayout,mos_tt,27,3.0,2.5u,dn,1.5,-2.50792629e-06
postlayout,mos_tt,27,3.0,2.5u,up,1.5,2.50191337e-06
postlayout,mos_tt,27,3.0,20u,both,1.5,1.37972326e-08
postlayout,mos_tt,27,3.0,20u,dn,1.5,-2.00385193e-05
postlayout,mos_tt,27,3.0,20u,up,1.5,2.00523157e-05
postlayout,mos_tt,27,3.0,40u,both,1.5,6.35373192e-08
postlayout,mos_tt,27,3.0,40u,dn,1.5,-4.00914352e-05
postlayout,mos_tt,27,3.0,40u,up,1.5,4.01549683e-05
postlayout,mos_tt,27,3.0,5u,both,1.5,-6.31194905e-09
postlayout,mos_tt,27,3.0,5u,dn,1.5,-5.01205771e-06
postlayout,mos_tt,27,3.0,5u,up,1.5,5.00574586e-06
postlayout,mos_tt,27,3.0,80u,both,1.5,1.24501492e-07
postlayout,mos_tt,27,3.0,80u,dn,1.5,-8.03628871e-05
postlayout,mos_tt,27,3.0,80u,up,1.5,8.04867482e-05
postlayout,mos_tt,27,3.3,10u,both,1.65,-5.23251259e-09
postlayout,mos_tt,27,3.3,10u,dn,1.65,-1.00227478e-05
postlayout,mos_tt,27,3.3,10u,up,1.65,1.00175153e-05
postlayout,mos_tt,27,3.3,2.5u,both,1.65,-7.1148981e-09
postlayout,mos_tt,27,3.3,2.5u,dn,1.65,-2.50906257e-06
postlayout,mos_tt,27,3.3,2.5u,up,1.65,2.50194777e-06
postlayout,mos_tt,27,3.3,20u,both,1.65,1.01300718e-08
postlayout,mos_tt,27,3.3,20u,dn,1.65,-2.00423047e-05
postlayout,mos_tt,27,3.3,20u,up,1.65,2.00524348e-05
postlayout,mos_tt,27,3.3,40u,both,1.65,5.77421295e-08
postlayout,mos_tt,27,3.3,40u,dn,1.65,-4.00975026e-05
postlayout,mos_tt,27,3.3,40u,up,1.65,4.01552424e-05
postlayout,mos_tt,27,3.3,5u,both,1.65,-7.91989889e-09
postlayout,mos_tt,27,3.3,5u,dn,1.65,-5.01371064e-06
postlayout,mos_tt,27,3.3,5u,up,1.65,5.00579083e-06
postlayout,mos_tt,27,3.3,80u,both,1.65,1.13838502e-07
postlayout,mos_tt,27,3.3,80u,dn,1.65,-8.03772977e-05
postlayout,mos_tt,27,3.3,80u,up,1.65,8.04909055e-05
postlayout,mos_tt,27,3.6,10u,both,1.8,-7.56568422e-09
postlayout,mos_tt,27,3.6,10u,dn,1.8,-1.00251447e-05
postlayout,mos_tt,27,3.6,10u,up,1.8,1.00175791e-05
postlayout,mos_tt,27,3.6,2.5u,both,1.8,-8.19391699e-09
postlayout,mos_tt,27,3.6,2.5u,dn,1.8,-2.51017491e-06
postlayout,mos_tt,27,3.6,2.5u,up,1.8,2.50198108e-06
postlayout,mos_tt,27,3.6,20u,both,1.8,6.64845175e-09
postlayout,mos_tt,27,3.6,20u,dn,1.8,-2.00459023e-05
postlayout,mos_tt,27,3.6,20u,up,1.8,2.00525429e-05
postlayout,mos_tt,27,3.6,40u,both,1.8,5.23972414e-08
postlayout,mos_tt,27,3.6,40u,dn,1.8,-4.01030719e-05
postlayout,mos_tt,27,3.6,40u,up,1.8,4.01554677e-05
postlayout,mos_tt,27,3.6,5u,both,1.8,-9.48481138e-09
postlayout,mos_tt,27,3.6,5u,dn,1.8,-5.01531872e-06
postlayout,mos_tt,27,3.6,5u,up,1.8,5.00583399e-06
postlayout,mos_tt,27,3.6,80u,both,1.8,1.04087705e-07
postlayout,mos_tt,27,3.6,80u,dn,1.8,-8.03881453e-05
postlayout,mos_tt,27,3.6,80u,up,1.8,8.04922164e-05
schematic,mos_ff,-40,3.3,10u,both,1.65,-2.08362666e-08
schematic,mos_ff,-40,3.3,10u,dn,1.65,-1.00212934e-05
schematic,mos_ff,-40,3.3,10u,up,1.65,1.00004572e-05
schematic,mos_ff,-40,3.3,2.5u,both,1.65,-9.62341976e-09
schematic,mos_ff,-40,3.3,2.5u,dn,1.65,-2.50984907e-06
schematic,mos_ff,-40,3.3,2.5u,up,1.65,2.50022567e-06
schematic,mos_ff,-40,3.3,20u,both,1.65,-2.98952948e-08
schematic,mos_ff,-40,3.3,20u,dn,1.65,-2.00306555e-05
schematic,mos_ff,-40,3.3,20u,up,1.65,2.00007602e-05
schematic,mos_ff,-40,3.3,40u,both,1.65,-4.42964848e-08
schematic,mos_ff,-40,3.3,40u,dn,1.65,-4.00459876e-05
schematic,mos_ff,-40,3.3,40u,up,1.65,4.00016896e-05
schematic,mos_ff,-40,3.3,5u,both,1.65,-1.42270333e-08
schematic,mos_ff,-40,3.3,5u,dn,1.65,-5.01453295e-06
schematic,mos_ff,-40,3.3,5u,up,1.65,5.00030593e-06
schematic,mos_ff,-40,3.3,80u,both,1.65,-8.81992973e-08
schematic,mos_ff,-40,3.3,80u,dn,1.65,-8.01053825e-05
schematic,mos_ff,-40,3.3,80u,up,1.65,8.00171711e-05
schematic,mos_ff,125,3.3,10u,both,1.65,-1.81961233e-08
schematic,mos_ff,125,3.3,10u,dn,1.65,-1.0019063e-05
schematic,mos_ff,125,3.3,10u,up,1.65,1.00011074e-05
schematic,mos_ff,125,3.3,2.5u,both,1.65,-8.42249358e-09
schematic,mos_ff,125,3.3,2.5u,dn,1.65,-2.50861755e-06
schematic,mos_ff,125,3.3,2.5u,up,1.65,2.5005554e-06
schematic,mos_ff,125,3.3,20u,both,1.65,-3.71576513e-08
schematic,mos_ff,125,3.3,20u,dn,1.65,-2.00414739e-05
schematic,mos_ff,125,3.3,20u,up,1.65,2.00044757e-05
schematic,mos_ff,125,3.3,40u,both,1.65,-1.47845794e-07
schematic,mos_ff,125,3.3,40u,dn,1.65,-4.01916334e-05
schematic,mos_ff,125,3.3,40u,up,1.65,4.00438752e-05
schematic,mos_ff,125,3.3,5u,both,1.65,-1.16842255e-08
schematic,mos_ff,125,3.3,5u,dn,1.65,-5.01204298e-06
schematic,mos_ff,125,3.3,5u,up,1.65,5.00067141e-06
schematic,mos_ff,125,3.3,80u,both,1.65,-6.98527629e-07
schematic,mos_ff,125,3.3,80u,dn,1.65,-8.09437481e-05
schematic,mos_ff,125,3.3,80u,up,1.65,8.02439747e-05
schematic,mos_ff,27,3.3,10u,both,1.65,-1.89193828e-08
schematic,mos_ff,27,3.3,10u,dn,1.65,-1.00194423e-05
schematic,mos_ff,27,3.3,10u,up,1.65,1.00005236e-05
schematic,mos_ff,27,3.3,2.5u,both,1.65,-9.03310042e-09
schematic,mos_ff,27,3.3,2.5u,dn,1.65,-2.50930981e-06
schematic,mos_ff,27,3.3,2.5u,up,1.65,2.50027769e-06
schematic,mos_ff,27,3.3,20u,both,1.65,-2.87642962e-08
schematic,mos_ff,27,3.3,20u,dn,1.65,-2.00297327e-05
schematic,mos_ff,27,3.3,20u,up,1.65,2.00009688e-05
schematic,mos_ff,27,3.3,40u,both,1.65,-5.46673076e-08
schematic,mos_ff,27,3.3,40u,dn,1.65,-4.00587744e-05
schematic,mos_ff,27,3.3,40u,up,1.65,4.00041054e-05
schematic,mos_ff,27,3.3,5u,both,1.65,-1.2859384e-08
schematic,mos_ff,27,3.3,5u,dn,1.65,-5.01321359e-06
schematic,mos_ff,27,3.3,5u,up,1.65,5.0003551e-06
schematic,mos_ff,27,3.3,80u,both,1.65,-2.10188143e-07
schematic,mos_ff,27,3.3,80u,dn,1.65,-8.02843747e-05
schematic,mos_ff,27,3.3,80u,up,1.65,8.00741513e-05
schematic,mos_fs,-40,3.3,10u,both,1.65,-1.98466149e-08
schematic,mos_fs,-40,3.3,10u,dn,1.65,-1.00202408e-05
schematic,mos_fs,-40,3.3,10u,up,1.65,1.00003941e-05
schematic,mos_fs,-40,3.3,2.5u,both,1.65,-9.23755666e-09
schematic,mos_fs,-40,3.3,2.5u,dn,1.65,-2.50944065e-06
schematic,mos_fs,-40,3.3,2.5u,up,1.65,2.50020309e-06
schematic,mos_fs,-40,3.3,20u,both,1.65,-2.83120505e-08
schematic,mos_fs,-40,3.3,20u,dn,1.65,-2.00289396e-05
schematic,mos_fs,-40,3.3,20u,up,1.65,2.00006276e-05
schematic,mos_fs,-40,3.3,40u,both,1.65,-4.16095727e-08
schematic,mos_fs,-40,3.3,40u,dn,1.65,-4.00428286e-05
schematic,mos_fs,-40,3.3,40u,up,1.65,4.0001217e-05
schematic,mos_fs,-40,3.3,5u,both,1.65,-1.36115739e-08
schematic,mos_fs,-40,3.3,5u,dn,1.65,-5.01388165e-06
schematic,mos_fs,-40,3.3,5u,up,1.65,5.00027008e-06
schematic,mos_fs,-40,3.3,80u,both,1.65,-8.69364749e-08
schematic,mos_fs,-40,3.3,80u,dn,1.65,-8.00948969e-05
schematic,mos_fs,-40,3.3,80u,up,1.65,8.00079427e-05
schematic,mos_fs,125,3.3,10u,both,1.65,-1.72666617e-08
schematic,mos_fs,125,3.3,10u,dn,1.65,-1.0018009e-05
schematic,mos_fs,125,3.3,10u,up,1.65,1.0000783e-05
schematic,mos_fs,125,3.3,2.5u,both,1.65,-8.10334184e-09
