arm,mos_corner,temp_c,vdd_v,iref_a,state,vout_v,icp_a
postlayout,mos_ff,-40,3.3,10u,both,1.65,-6.99655839e-09
postlayout,mos_ff,-40,3.3,10u,dn,1.65,-1.00271865e-05
postlayout,mos_ff,-40,3.3,10u,up,1.65,1.00201899e-05
postlayout,mos_ff,-40,3.3,2.5u,both,1.65,-8.21106227e-09
postlayout,mos_ff,-40,3.3,2.5u,dn,1.65,-2.51044208e-06
postlayout,mos_ff,-40,3.3,2.5u,up,1.65,2.50223103e-06
postlayout,mos_ff,-40,3.3,20u,both,1.65,1.12630621e-08
postlayout,mos_ff,-40,3.3,20u,dn,1.65,-2.00488615e-05
postlayout,mos_ff,-40,3.3,20u,up,1.65,2.00601245e-05
postlayout,mos_ff,-40,3.3,40u,both,1.65,7.4898449e-08
postlayout,mos_ff,-40,3.3,40u,dn,1.65,-4.01017029e-05
postlayout,mos_ff,-40,3.3,40u,up,1.65,4.01765998e-05
postlayout,mos_ff,-40,3.3,5u,both,1.65,-9.71888073e-09
postlayout,mos_ff,-40,3.3,5u,dn,1.65,-5.01641811e-06
postlayout,mos_ff,-40,3.3,5u,up,1.65,5.00669925e-06
postlayout,mos_ff,-40,3.3,80u,both,1.65,2.48956432e-07
postlayout,mos_ff,-40,3.3,80u,dn,1.65,-8.0274171e-05
postlayout,mos_ff,-40,3.3,80u,up,1.65,8.05231147e-05
postlayout,mos_ff,125,3.3,10u,both,1.65,-8.19783409e-09
postlayout,mos_ff,125,3.3,10u,dn,1.65,-1.00235612e-05
postlayout,mos_ff,125,3.3,10u,up,1.65,1.00156014e-05
postlayout,mos_ff,125,3.3,2.5u,both,1.65,-7.46848659e-09
postlayout,mos_ff,125,3.3,2.5u,dn,1.65,-2.50905487e-06
postlayout,mos_ff,125,3.3,2.5u,up,1.65,2.50194576e-06
postlayout,mos_ff,125,3.3,20u,both,1.65,-6.69218132e-09
postlayout,mos_ff,125,3.3,20u,dn,1.65,-2.00553489e-05
postlayout,mos_ff,125,3.3,20u,up,1.65,2.00488024e-05
postlayout,mos_ff,125,3.3,40u,both,1.65,-5.79362868e-08
postlayout,mos_ff,125,3.3,40u,dn,1.65,-4.02336758e-05
postlayout,mos_ff,125,3.3,40u,up,1.65,4.01758244e-05
postlayout,mos_ff,125,3.3,5u,both,1.65,-8.52416832e-09
postlayout,mos_ff,125,3.3,5u,dn,1.65,-5.01346599e-06
postlayout,mos_ff,125,3.3,5u,up,1.65,5.00525283e-06
postlayout,mos_ff,125,3.3,80u,both,1.65,-4.39157702e-07
postlayout,mos_ff,125,3.3,80u,dn,1.65,-8.10684867e-05
postlayout,mos_ff,125,3.3,80u,up,1.65,8.06280385e-05
postlayout,mos_ff,27,3.3,10u,both,1.65,-6.98702957e-09
postlayout,mos_ff,27,3.3,10u,dn,1.65,-1.00247538e-05
postlayout,mos_ff,27,3.3,10u,up,1.65,1.00177674e-05
postlayout,mos_ff,27,3.3,2.5u,both,1.65,-7.85376525e-09
postlayout,mos_ff,27,3.3,2.5u,dn,1.65,-2.50983442e-06
postlayout,mos_ff,27,3.3,2.5u,up,1.65,2.50198163e-06
postlayout,mos_ff,27,3.3,20u,both,1.65,7.13975094e-09
postlayout,mos_ff,27,3.3,20u,dn,1.65,-2.0046126e-05
postlayout,mos_ff,27,3.3,20u,up,1.65,2.00532557e-05
postlayout,mos_ff,27,3.3,40u,both,1.65,5.02731574e-08
postlayout,mos_ff,27,3.3,40u,dn,1.65,-4.01085879e-05
postlayout,mos_ff,27,3.3,40u,up,1.65,4.01588593e-05
postlayout,mos_ff,27,3.3,5u,both,1.65,-9.02756518e-09
postlayout,mos_ff,27,3.3,5u,dn,1.65,-5.01490252e-06
postlayout,mos_ff,27,3.3,5u,up,1.65,5.00587584e-06
postlayout,mos_ff,27,3.3,80u,both,1.65,8.93456489e-08
