res_corner,temp_c,mom_frac,r1_ohm,c1_f,c2_f,fz_hz,fp_hz
res_typ,-40,-0.20,3.409400e+05,1.352957e-12,8.012232e-14,3.450311e+05,6.171275e+06
res_typ,-40,0.00,3.409400e+05,1.691196e-12,1.001529e-13,2.760249e+05,4.937020e+06
res_typ,-40,0.20,3.409400e+05,2.029435e-12,1.201835e-13,2.300207e+05,4.114183e+06
res_typ,27,-0.20,3.442341e+05,1.352957e-12,8.012232e-14,3.417294e+05,6.112220e+06
res_typ,27,0.00,3.442341e+05,1.691196e-12,1.001529e-13,2.733835e+05,4.889776e+06
res_typ,27,0.20,3.442341e+05,2.029435e-12,1.201835e-13,2.278196e+05,4.074813e+06
res_typ,125,-0.20,3.512782e+05,1.352957e-12,8.012232e-14,3.348768e+05,5.989653e+06
res_typ,125,0.00,3.512782e+05,1.691196e-12,1.001529e-13,2.679014e+05,4.791722e+06
res_typ,125,0.20,3.512782e+05,2.029435e-12,1.201835e-13,2.232512e+05,3.993102e+06
res_bcs,-40,-0.20,3.068584e+05,1.352957e-12,8.012232e-14,3.833524e+05,6.856695e+06
res_bcs,-40,0.00,3.068584e+05,1.691196e-12,1.001529e-13,3.066819e+05,5.485356e+06
res_bcs,-40,0.20,3.068584e+05,2.029435e-12,1.201835e-13,2.555683e+05,4.571130e+06
res_bcs,27,-0.20,3.098224e+05,1.352957e-12,8.012232e-14,3.796850e+05,6.791099e+06
res_bcs,27,0.00,3.098224e+05,1.691196e-12,1.001529e-13,3.037480e+05,5.432879e+06
res_bcs,27,0.20,3.098224e+05,2.029435e-12,1.201835e-13,2.531233e+05,4.527399e+06
res_bcs,125,-0.20,3.161610e+05,1.352957e-12,8.012232e-14,3.720728e+05,6.654946e+06
res_bcs,125,0.00,3.161610e+05,1.691196e-12,1.001529e-13,2.976582e+05,5.323957e+06
res_bcs,125,0.20,3.161610e+05,2.029435e-12,1.201835e-13,2.480485e+05,4.436631e+06
res_wcs,-40,-0.20,3.750215e+05,1.352957e-12,8.012232e-14,3.136751e+05,5.610437e+06
res_wcs,-40,0.00,3.750215e+05,1.691196e-12,1.001529e-13,2.509401e+05,4.488350e+06
res_wcs,-40,0.20,3.750215e+05,2.029435e-12,1.201835e-13,2.091167e+05,3.740291e+06
res_wcs,27,-0.20,3.786459e+05,1.352957e-12,8.012232e-14,3.106726e+05,5.556734e+06
res_wcs,27,0.00,3.786459e+05,1.691196e-12,1.001529e-13,2.485381e+05,4.445387e+06
res_wcs,27,0.20,3.786459e+05,2.029435e-12,1.201835e-13,2.071151e+05,3.704489e+06
res_wcs,125,-0.20,3.863954e+05,1.352957e-12,8.012232e-14,3.044418e+05,5.445289e+06
res_wcs,125,0.00,3.863954e+05,1.691196e-12,1.001529e-13,2.435534e+05,4.356231e+06
res_wcs,125,0.20,3.863954e+05,2.029435e-12,1.201835e-13,2.029612e+05,3.630192e+06
