res_corner,temp_c,mom_frac,r1_ohm,c1_f,c2_f,fz_hz,fp_hz
res_typ,-40,-0.20,7.720671e+03,1.352957e-12,8.012232e-14,1.523636e+07,2.725196e+08
res_typ,-40,0.00,7.720671e+03,1.691196e-12,1.001529e-13,1.218909e+07,2.180157e+08
res_typ,-40,0.20,7.720671e+03,2.029435e-12,1.201835e-13,1.015757e+07,1.816798e+08
res_typ,27,-0.20,7.794170e+03,1.352957e-12,8.012232e-14,1.509268e+07,2.699498e+08
res_typ,27,0.00,7.794170e+03,1.691196e-12,1.001529e-13,1.207414e+07,2.159598e+08
res_typ,27,0.20,7.794170e+03,2.029435e-12,1.201835e-13,1.006179e+07,1.799665e+08
res_typ,125,-0.20,7.951975e+03,1.352957e-12,8.012232e-14,1.479317e+07,2.645927e+08
res_typ,125,0.00,7.951975e+03,1.691196e-12,1.001529e-13,1.183453e+07,2.116742e+08
res_typ,125,0.20,7.951975e+03,2.029435e-12,1.201835e-13,9.862112e+06,1.763951e+08
res_bcs,-40,-0.20,6.950466e+03,1.352957e-12,8.012232e-14,1.692475e+07,3.027185e+08
res_bcs,-40,0.00,6.950466e+03,1.691196e-12,1.001529e-13,1.353980e+07,2.421748e+08
res_bcs,-40,0.20,6.950466e+03,2.029435e-12,1.201835e-13,1.128317e+07,2.018123e+08
res_bcs,27,-0.20,7.016503e+03,1.352957e-12,8.012232e-14,1.676546e+07,2.998694e+08
res_bcs,27,0.00,7.016503e+03,1.691196e-12,1.001529e-13,1.341237e+07,2.398955e+08
res_bcs,27,0.20,7.016503e+03,2.029435e-12,1.201835e-13,1.117697e+07,1.999129e+08
res_bcs,125,-0.20,7.158364e+03,1.352957e-12,8.012232e-14,1.643321e+07,2.939267e+08
res_bcs,125,0.00,7.158364e+03,1.691196e-12,1.001529e-13,1.314657e+07,2.351414e+08
res_bcs,125,0.20,7.158364e+03,2.029435e-12,1.201835e-13,1.095547e+07,1.959512e+08
res_wcs,-40,-0.20,8.490877e+03,1.352957e-12,8.012232e-14,1.385427e+07,2.477994e+08
res_wcs,-40,0.00,8.490877e+03,1.691196e-12,1.001529e-13,1.108342e+07,1.982395e+08
res_wcs,-40,0.20,8.490877e+03,2.029435e-12,1.201835e-13,9.236180e+06,1.651996e+08
res_wcs,27,-0.20,8.571837e+03,1.352957e-12,8.012232e-14,1.372342e+07,2.454590e+08
res_wcs,27,0.00,8.571837e+03,1.691196e-12,1.001529e-13,1.097873e+07,1.963672e+08
res_wcs,27,0.20,8.571837e+03,2.029435e-12,1.201835e-13,9.148945e+06,1.636393e+08
res_wcs,125,-0.20,8.745585e+03,1.352957e-12,8.012232e-14,1.345078e+07,2.405825e+08
res_wcs,125,0.00,8.745585e+03,1.691196e-12,1.001529e-13,1.076062e+07,1.924660e+08
res_wcs,125,0.20,8.745585e+03,2.029435e-12,1.201835e-13,8.967184e+06,1.603883e+08
