t_s,delta_f_frac,phase_err_frac
5.004999999999986e-08,0.02436631259772498,0.006041499010971623
1.0005e-07,0.02268997386171706,-0.01614506235330859
1.5005e-07,0.01985477557774726,-0.03561330043308762
2.0004999999999849e-07,0.013346542283015139,-0.04878405863486257
2.500499999999966e-07,0.007873490594085493,-0.05659604165412411
3.000499999999947e-07,0.0026051242428034543,-0.05919439685879231
3.5004999999999284e-07,-0.0029589303304066884,-0.05622668527657332
4.0004999999999093e-07,-0.006091109735606052,-0.05009824654816515
4.500499999999891e-07,-0.008033191780772619,-0.04199999999978187
5.000499999999873e-07,-0.008914429102589003,-0.033005389075806385
5.500499999999855e-07,-0.00892501583598405,-0.023999999999709577
6.000499999999835e-07,-0.007936507936548815,-0.01599999999966874
6.500499999999817e-07,-0.006369609750475921,-0.009589558236835818
7.000499999999796e-07,-0.005558488740715198,-0.003999999999593725
7.500499999999779e-07,-0.0037898390912784264,-0.00019574338789527532
8.000499999999758e-07,-0.0021909326624704527,0.002000000000482959
8.500499999999741e-07,-0.0015099423104956745,0.0035122256845218753
9.000499999999721e-07,-0.00043274720012433825,0.003945160235860981
9.500499999999704e-07,0.00016905764713119714,0.003776131164386853
1.0000499999999685e-06,0.0011199989239752293,0.0026573852346491855
1.0500499999999663e-06,0.0006572258256930858,0.00200059107104263
1.1000499999999648e-06,0.0004082786568108946,0.0015924790376646394
1.1500499999999628e-06,0.0011159146969778463,0.0004778082182365609
1.2000499999999609e-06,0.0004780366272818297,7.835054762102278e-13
1.2500499999999591e-06,4.196686369553208e-06,-4.196667973968224e-06
1.3000499999999572e-06,0.0002113932195885107,-0.00021554520991379342
1.3500499999999552e-06,0.0001619412589529529,-0.00037746024814169505
1.4000499999999532e-06,-6.701271747443825e-05,-0.00031044303966199985
1.4500499999999515e-06,1.7469868173636495e-05,-0.0003279126026447247
1.5000499999999495e-06,-4.9549060766026376e-05,-0.0002783610866476425
1.550049999999948e-06,-0.0001316951532520354,-0.00014664858749784506
1.6000499999999458e-06,-9.554804408531636e-05,-5.109141311145885e-05
1.650049999999944e-06,-5.10888040304184e-05,1.1180834903756764e-12
1.7000499999999421e-06,-3.818422555923462e-14,1.15619997300212e-12
1.7500499999999402e-06,-3.818422555923462e-14,1.1943164556285635e-12
1.8000499999999382e-06,-3.818422555923462e-14,1.232432938255007e-12
1.8500499999999364e-06,-5.366694973967969e-06,5.366725007881939e-06
1.9000499999999347e-06,5.3667525010183454e-06,1.308665903507894e-12
1.950049999999978e-06,8.681789040565491e-13,4.404571325722362e-13
2.00005e-06,4.4051557779312134e-13,0.0
2.0500500000001516e-06,3.0323863029479982e-12,-3.0323779511703952e-12
2.1000500000001515e-06,0.0,-3.0323779511703952e-12
2.1500500000001515e-06,0.0,-3.0323779511703952e-12
2.200050000000303e-06,3.023818135261536e-12,-6.0562855728682474e-12
2.250050000000303e-06,8.381903171539307e-15,-6.0647559023407904e-12
2.300050000000303e-06,-8.568167686462402e-15,-6.0562855728682474e-12
2.3500500000004545e-06,3.0323863029479982e-12,-9.088663524038643e-12
2.4000500000004544e-06,0.0,-9.088663524038643e-12
2.4500500000004544e-06,0.0,-9.088663524038643e-12
