t_s,delta_f_frac,phase_err_frac
5.004999999999986e-08,0.011164219471956416,0.018787261427411172
1.0005e-07,0.00318189233305119,0.015615461420483966
1.5005e-07,-0.0023788660815693436,0.018000000000000294
2.0004999999999849e-07,-0.00706604621926602,0.025116330539771567
2.500499999999966e-07,-0.009602185612257756,0.034811612044601
3.000499999999947e-07,-0.011024632562497444,0.04595914202915666
3.5004999999999284e-07,-0.010180334096556715,0.05624418126129194
4.0004999999999093e-07,-0.009661562288469821,0.06600000000018177
4.500499999999891e-07,-0.00793650793654453,0.07400000000021838
5.000499999999873e-07,-0.0059642147117651995,0.08000000000025377
5.500499999999854e-07,-0.003984063745058328,0.08400000000029219
6.000499999999835e-07,-0.002386774267065339,0.0863924845880056
6.500499999999816e-07,-0.001604935453885235,0.08800000000036873
7.000499999999796e-07,-3.818422555923462e-14,0.08800000000040684
7.500499999999779e-07,0.00020063958382792772,0.08779940066474615
8.000499999999759e-07,0.0015660007343394683,0.08623584845431644
8.500499999999741e-07,0.0004751136155989021,0.08576096046446749
9.000499999999721e-07,0.0016459917675284669,0.08411767353369876
9.500499999999704e-07,0.0003599162845576182,0.08375788674226627
1.0000499999999685e-06,0.0014410697278534994,0.08231889070803629
1.0500499999999663e-06,0.0003189924310872331,0.08200000000067109
1.1000499999999646e-06,0.00019582134315893055,0.08180421699600302
1.1500499999999628e-06,0.00016363882521651686,0.08164060494407042
1.2000499999999609e-06,0.0001314154043028131,0.08150920680750671
1.250049999999959e-06,7.412961710505188e-05,0.08143508268519435
1.3000499999999572e-06,-0.00018974208366330712,0.08162486077774837
1.3500499999999552e-06,-0.00010675044281184674,0.0817316226174338
1.4000499999999535e-06,-0.00018100048691108823,0.08191265587145193
1.4500499999999515e-06,-4.695535443872213e-05,0.08195961343079942
1.5000499999999495e-06,-4.038493919707835e-05,0.08200000000100566
1.5500499999999478e-06,-4.246830940246582e-14,0.08200000000104801
1.6000499999999458e-06,-9.000068247355521e-05,0.08209000878437347
1.650049999999944e-06,-2.5940583378262817e-05,0.08211595004068308
1.7000499999999421e-06,-8.97815441897139e-05,0.08220573964632213
1.7500499999999402e-06,0.00012502609178181737,0.0820807291841097
1.8000499999999382e-06,-8.89131032936275e-06,0.08208962057349516
1.8500499999999367e-06,6.595251908060163e-05,0.08202367240386248
1.9000499999999347e-06,-2.2736468882858752e-05,0.0820464093897041
1.950049999999978e-06,4.6411543201468886e-05,0.08200000000043392
2.00005e-06,-7.90044468101114e-06,0.0820079005075325
2.0500500000001516e-06,7.900572981499135e-06,0.08199999999696955
2.1000500000001515e-06,0.0,0.08199999999696955
2.1500500000001515e-06,0.0,0.08199999999696955
2.200050000000303e-06,3.0323863029479982e-12,0.08199999999393717
2.250050000000303e-06,-8.568167686462402e-15,0.08199999999394564
2.300050000000303e-06,8.381903171539307e-15,0.08199999999393717
2.3500500000003033e-06,0.0,0.08199999999393717
2.4000500000004544e-06,3.0240043997764586e-12,0.08199999999091327
2.4500500000004544e-06,0.0,0.08199999999091327
