t_s,delta_f_frac,phase_err_frac,within_thresh
5.004999999999986e-08,0.008354879337091371,0.02154256354398939,True
1.0005e-07,0.0015095181619772687,0.020035320592621763,True
1.5005e-07,-0.004148351037776843,0.024200952132319337,True
2.0004999999999849e-07,-0.0096398205343185,0.03393460331720321,True
2.500499999999966e-07,-0.013870305336199887,0.048000000000068196,False
3.0004999999999475e-07,-0.01925678363756463,0.0676348884359896,False
3.5004999999999284e-07,-0.02371930667664092,0.09193046944957715,False
4.0004999999999093e-07,-0.027735349984945357,0.12045701310671172,False
4.500499999999891e-07,-0.03261202958093509,0.15416844076360658,False
5.000499999999873e-07,-0.037347715775206874,0.19296512403879307,False
5.500499999999854e-07,-0.041398959703758544,0.23615197442126468,False
6.000499999999835e-07,-0.04624754597188718,0.28464206823602733,False
6.500499999999816e-07,-0.050830421908561324,0.3381945872819556,False
7.000499999999796e-07,-0.056221840686997024,0.3977656211443174,False
7.500499999999779e-07,-0.060357361247030644,0.4620000000004413,False
8.000499999999759e-07,-0.06542056074770279,0.5320000000004804,False
8.500499999999741e-07,-0.06542056074770056,-0.4679999999994825,False
9.000499999999721e-07,-0.07061758637632504,-0.39201665305731237,False
9.500499999999704e-07,-0.07537080705293622,-0.3105020225136867,False
1.0000499999999683e-06,-0.0799017006081732,-0.2236616265897073,False
1.0500499999999666e-06,-0.08564040678869132,-0.12999999999933215,False
1.1000499999999646e-06,-0.09088067441435829,-0.030034382883221716,False
1.1500499999999628e-06,-0.09425568831203152,0.07402996187249328,False
1.2000499999999609e-06,-0.10141084032525402,0.18688558586193943,False
1.250049999999959e-06,-0.10742092266566493,0.307234499917225,False
1.3000499999999572e-06,-0.11286434758870378,0.4344578251008338,False
1.3500499999999552e-06,-0.11286434758870807,-0.565542174899127,False
1.4000499999999535e-06,-0.11911972534000166,-0.43031412090964427,False
1.4500499999999517e-06,-0.12432623127778546,-0.28833632538975185,False
1.5000499999999497e-06,-0.12943100679437258,-0.13966228828929406,False
1.5500499999999478e-06,-0.1359618390498655,0.017694001275907856,False
1.6000499999999458e-06,-0.13964136716424375,0.1800000000010808,False
1.650049999999944e-06,-0.14675767918092478,0.35200000000111914,False
1.7000499999999421e-06,-0.15288863885139395,0.5324823378180477,False
1.7500499999999404e-06,-0.15288863885138967,-0.46751766218191737,False
1.8000499999999382e-06,-0.15932750537167656,-0.27799379124558676,False
1.8500499999999364e-06,-0.1652711330338357,-0.07999999999873122,False
1.9000499999999345e-06,-0.17109631964103134,0.12641278799482758,False
1.950049999999978e-06,-0.1786171246495122,0.3438718195988656,False
2.00005e-06,-0.1842193106503631,0.569691470708048,False
2.0500500000001516e-06,-0.18421931064777122,-0.4303085292949833,False
2.1000500000001515e-06,-0.19011988517833892,-0.19555787707011216,False
2.1500500000001515e-06,-0.19642139795641564,0.0488754583334127,False
2.200050000000303e-06,-0.203460199533323,0.3043055064182802,False
2.250050000000303e-06,-0.20992863853951796,0.5700139585655076,False
2.300050000000303e-06,-0.20992863853951796,-0.42998604143449126,False
2.3500500000004545e-06,-0.21619355449283226,-0.15416086069815002,False
2.4000500000004544e-06,-0.2221420225538479,0.13142086372303505,False
2.4500500000004544e-06,-0.22879538772582197,0.4280936067077207,False
