corner_tag,tau_xwin,tau_s,state_discharged_start,state_charged_start,lka_min_v,lka_max_v,lka_avg_v,lkb_min_v,lkb_max_v,lkb_avg_v,vwin_a_min_v,vwin_a_max_v,vwin_a_avg_v
mos_tt_res_typ_cap_typ_27c_3.3v_24p4MHz,1.00,2.840560e-10,IN,IN,-1.431980e-04,1.782110e-04,-3.395850e-07,-1.427870e-04,1.785930e-04,1.535650e-09,3.299590e+00,3.300610e+00,3.299990e+00
mos_tt_res_typ_cap_typ_27c_3.3v_24p4MHz,1.20,3.408672e-10,IN,IN,-9.927670e-02,6.501700e-02,7.761040e-06,-9.927670e-02,6.501700e-02,7.761160e-06,2.121190e+00,3.300030e+00,3.251620e+00
mos_tt_res_typ_cap_typ_27c_3.3v_24p4MHz,1.40,3.976784e-10,IN,IN,-1.516070e-01,1.375860e-01,2.026590e-04,-1.516070e-01,1.375860e-01,2.026590e-04,1.394130e+00,3.300020e+00,3.215110e+00
mos_tt_res_typ_cap_typ_27c_3.3v_24p4MHz,1.60,4.544896e-10,TOG,TOG,-1.427170e-01,3.339940e+00,1.054170e-01,-1.427170e-01,3.339940e+00,1.054170e-01,8.774630e-01,3.302220e+00,3.187620e+00
mos_tt_res_typ_cap_typ_27c_3.3v_24p4MHz,1.80,5.113008e-10,TOG,TOG,-1.258290e-01,3.342030e+00,1.386730e-01,-1.258290e-01,3.342030e+00,1.386730e-01,5.168370e-01,3.300020e+00,3.167580e+00
mos_tt_res_typ_cap_typ_27c_3.3v_24p4MHz,2.00,5.681120e-10,TOG,TOG,-1.466950e-01,3.340520e+00,1.518010e-01,-1.466950e-01,3.340520e+00,1.518010e-01,3.796710e-01,3.300020e+00,3.157140e+00
mos_tt_res_typ_cap_typ_27c_3.3v_24p4MHz,2.50,7.101400e-10,TOG,TOG,-1.407070e-01,3.356340e+00,1.789240e-01,-1.407070e-01,3.356340e+00,1.789240e-01,2.330980e-01,3.301210e+00,3.133450e+00
mos_tt_res_typ_cap_typ_27c_3.3v_24p4MHz,10.00,2.840560e-09,TOG,TOG,-1.454750e-01,3.355180e+00,3.544650e-01,-1.454750e-01,3.355180e+00,3.544650e-01,1.177900e-01,3.299990e+00,2.964570e+00
mos_tt_res_typ_cap_typ_125c_3.3v_24p4MHz,0.50,1.731520e-10,IN,IN,-1.522700e-05,2.395350e-05,-4.309250e-07,-1.436570e-05,2.450520e-05,1.522870e-07,3.299940e+00,3.300050e+00,3.299990e+00
mos_tt_res_typ_cap_typ_125c_3.3v_24p4MHz,1.00,3.463040e-10,IN,IN,-1.928200e-04,2.621220e-04,-4.275880e-07,-1.920090e-04,2.626520e-04,1.556990e-07,3.299690e+00,3.301010e+00,3.299990e+00
