corner_tag,twin_r_s,in_window_lock_rail,tau_assert_s,tau_assert_xwin,tau_deassert_s,tau_deassert_xwin,hysteresis_s,hysteresis_pct_of_window,chatter,lock_min_deep_v,lock_max_deep_v,trec_s,vwin_min_zeroerr_v,vwin_max_zeroerr_v,idd_inlock_a,idd_outlock_a,ladder_states_discharged_start,ladder_states_charged_start,rc_s,tref_s,rc_over_tref,n_cycles,settle_frac
mos_tt_res_typ_cap_typ_-40c_3.3v_3p5MHz,5.290720e-09,lo,2.116288e-08,4.000000e+00,4.232576e-08,8.000000e+00,2.116288e-08,4.000000e+02,steady,3.297900e+00,3.300900e+00,4.150200e-06,3.225150e+00,3.232030e+00,2.843060e-06,4.207010e-05,IIIIIIIIIIIOOOOOOOOOOOO,IIIIIIIIIIIIIIIOOOOOOOO,5.735406e-06,2.857143e-07,20.073922,81,0.9823
mos_tt_res_typ_cap_typ_27c_3.3v_3p5MHz,6.027120e-09,lo,3.013560e-08,5.000000e+00,6.027120e-08,1.000000e+01,3.013560e-08,5.000000e+02,steady,3.298000e+00,3.300940e+00,3.567460e-06,3.225420e+00,3.233340e+00,2.836690e-06,4.385350e-05,IIIIIIIIIIIIOOOOOOOOOOO,IIIIIIIIIIIIIIIIOOOOOOO,4.930475e-06,2.857143e-07,17.256661,70,0.9827
mos_tt_res_typ_cap_typ_125c_3.3v_3p5MHz,7.197300e-09,lo,5.757840e-08,8.000000e+00,1.007622e-07,1.400000e+01,4.318380e-08,6.000000e+02,steady,3.298150e+00,3.300750e+00,2.836110e-06,3.219410e+00,3.230010e+00,3.089980e-06,4.989600e-05,IIIIIIIIIIIIIIIOOOOOOOO,IIIIIIIIIIIIIIIIIIOOOOO,3.920048e-06,2.857143e-07,13.720168,55,0.9818
mos_tt_res_bcs_cap_typ_-40c_3.3v_3p5MHz,5.290720e-09,lo,2.645360e-08,5.000000e+00,5.290720e-08,1.000000e+01,2.645360e-08,5.000000e+02,steady,3.297920e+00,3.300840e+00,3.112860e-06,3.223910e+00,3.232930e+00,2.886510e-06,4.346200e-05,IIIIIIIIIIIIOOOOOOOOOOO,IIIIIIIIIIIIIIIIOOOOOOO,4.301841e-06,2.857143e-07,15.056443,61,0.9826
mos_tt_res_bcs_cap_typ_27c_3.3v_3p5MHz,6.027120e-09,lo,4.218984e-08,7.000000e+00,8.437968e-08,1.400000e+01,4.218984e-08,7.000000e+02,steady,3.297960e+00,3.300820e+00,2.675770e-06,3.219610e+00,3.230620e+00,2.879530e-06,4.802110e-05,IIIIIIIIIIIIIIOOOOOOOOO,IIIIIIIIIIIIIIIIIIOOOOO,3.698102e-06,2.857143e-07,12.943356,52,0.9820
mos_tt_res_bcs_cap_typ_125c_3.3v_3p5MHz,7.197300e-09,lo,7.197300e-08,1.000000e+01,1.295514e-07,1.800000e+01,5.757840e-08,8.000000e+02,steady,3.298260e+00,3.300740e+00,2.127220e-06,3.221260e+00,3.234760e+00,3.079190e-06,6.054000e-05,IIIIIIIIIIIIIIIIOOOOOOO,IIIIIIIIIIIIIIIIIIIITOO,2.940230e-06,2.857143e-07,10.290806,42,0.9831
mos_tt_res_wcs_cap_typ_-40c_3.3v_3p5MHz,5.290720e-09,lo,1.851752e-08,3.500000e+00,3.174432e-08,6.000000e+00,1.322680e-08,2.500000e+02,steady,3.297890e+00,3.300930e+00,5.187550e-06,3.225880e+00,3.231280e+00,2.886480e-06,4.259660e-05,IIIIIIIIIIOOOOOOOOOOOOO,IIIIIIIIIIIIIOOOOOOOOOO,7.168969e-06,2.857143e-07,25.091391,101,0.9821
mos_tt_res_wcs_cap_typ_27c_3.3v_3p5MHz,6.027120e-09,lo,2.410848e-08,4.000000e+00,4.821696e-08,8.000000e+00,2.410848e-08,4.000000e+02,steady,3.298000e+00,3.300980e+00,4.459150e-06,3.225430e+00,3.231740e+00,2.879460e-06,4.377640e-05,IIIIIIIIIIIOOOOOOOOOOOO,IIIIIIIIIIIIIIIOOOOOOOO,6.162847e-06,2.857143e-07,21.569966,87,0.9823
mos_tt_res_wcs_cap_typ_125c_3.3v_3p5MHz,7.197300e-09,lo,4.318380e-08,6.000000e+00,8.636760e-08,1.200000e+01,4.318380e-08,6.000000e+02,steady,3.298020e+00,3.301460e+00,3.545000e-06,3.222760e+00,3.231010e+00,3.088960e-06,4.554400e-05,IIIIIIIIIIIIIOOOOOOOOOO,IIIIIIIIIIIIIIIIIOOOOOO,4.899862e-06,2.857143e-07,17.149517,69,0.9821
mos_tt_res_typ_cap_typ_27c_3.3v_24p4MHz,6.027120e-09,lo,9.040680e-09,1.500000e+00,1.356102e-08,2.250000e+00,4.520340e-09,7.500000e+01,steady,3.297990e+00,3.301710e+00,3.567460e-06,3.228900e+00,3.230040e+00,1.973750e-05,5.652550e-05,IIIIOOOOOOOOOOOOOOOOOOO,IIIIIIIOOOOOOOOOOOOOOOO,4.930475e-06,4.098361e-08,120.303578,482,0.9818
