mos_corner,res_corner,cap_corner,temp_c,tstep,twin_r_s
mos_tt,res_typ,cap_typ,27,20p,2.84056e-10
mos_ss,res_wcs,cap_wcs,125,20p,3.92457e-10
mos_ff,res_bcs,cap_bcs,-40,20p,2.19330e-10
mos_sf,res_typ,cap_typ,27,20p,2.82763e-10
mos_tt,res_typ,cap_typ,27,5p,2.82440e-10
mos_ss,res_wcs,cap_wcs,125,5p,3.91309e-10
mos_ff,res_bcs,cap_bcs,-40,5p,2.17488e-10
mos_sf,res_typ,cap_typ,27,5p,2.81095e-10
mos_tt,res_typ,cap_typ,27,1.25p,2.82351e-10
mos_ss,res_wcs,cap_wcs,125,1.25p,3.91241e-10
mos_ff,res_bcs,cap_bcs,-40,1.25p,2.17364e-10
mos_sf,res_typ,cap_typ,27,1.25p,2.80994e-10
