corner_tag,mos_corner,res_corner,cap_corner,temp_c,vsup_v,fref_hz,r_xrpu_ohm,c_xcw_f,rc_s,n_cycles,settle_frac,twin_r_s,tau_xwin,tau_s,vwin_discharged_start_avg_v,vwin_charged_start_avg_v,lock_discharged_start_avg_v,lock_charged_start_avg_v
mos_tt_res_wcs_cap_typ_-40c,mos_tt,res_wcs,cap_typ,-40,3.3,24.4e6,2.355120e+06,3.043993e-12,7.16896879416e-06,700,0.9817,5.29072e-09,0.90,4.761648e-09,3.22941e+00,3.30000e+00,8.68976e-07,6.31850e-10
mos_tt_res_wcs_cap_typ_-40c,mos_tt,res_wcs,cap_typ,-40,3.3,24.4e6,2.355120e+06,3.043993e-12,7.16896879416e-06,700,0.9817,5.29072e-09,1.00,5.290720e-09,3.09635e+00,3.16620e+00,8.15880e-07,-5.85974e-08
mos_tt_res_wcs_cap_typ_-40c,mos_tt,res_wcs,cap_typ,-40,3.3,24.4e6,2.355120e+06,3.043993e-12,7.16896879416e-06,700,0.9817,5.29072e-09,1.05,5.555256e-09,2.76943e+00,2.83686e+00,6.22378e-07,-2.37005e-07
mos_tt_res_wcs_cap_typ_-40c,mos_tt,res_wcs,cap_typ,-40,3.3,24.4e6,2.355120e+06,3.043993e-12,7.16896879416e-06,700,0.9817,5.29072e-09,1.10,5.819792e-09,2.67820e+00,2.74446e+00,5.36585e-07,-3.00461e-07
mos_tt_res_wcs_cap_typ_-40c,mos_tt,res_wcs,cap_typ,-40,3.3,24.4e6,2.355120e+06,3.043993e-12,7.16896879416e-06,700,0.9817,5.29072e-09,1.15,6.084328e-09,2.63800e+00,2.70380e+00,4.48033e-07,-3.14249e-07
mos_tt_res_wcs_cap_typ_-40c,mos_tt,res_wcs,cap_typ,-40,3.3,24.4e6,2.355120e+06,3.043993e-12,7.16896879416e-06,700,0.9817,5.29072e-09,1.20,6.348864e-09,2.59802e+00,2.66327e+00,3.28840e-07,-2.79758e-07
mos_tt_res_wcs_cap_typ_-40c,mos_tt,res_wcs,cap_typ,-40,3.3,24.4e6,2.355120e+06,3.043993e-12,7.16896879416e-06,700,0.9817,5.29072e-09,1.25,6.613400e-09,2.55653e+00,2.62129e+00,1.88999e-07,-2.03585e-07
mos_tt_res_wcs_cap_typ_-40c,mos_tt,res_wcs,cap_typ,-40,3.3,24.4e6,2.355120e+06,3.043993e-12,7.16896879416e-06,700,0.9817,5.29072e-09,1.30,6.877936e-09,1.86492e+00,1.91146e+00,3.30000e+00,2.76304e-07
mos_tt_res_wcs_cap_typ_-40c,mos_tt,res_wcs,cap_typ,-40,3.3,24.4e6,2.355120e+06,3.043993e-12,7.16896879416e-06,700,0.9817,5.29072e-09,1.40,7.407008e-09,1.61246e+00,1.64048e+00,3.30000e+00,3.44861e-07
mos_tt_res_wcs_cap_typ_-40c,mos_tt,res_wcs,cap_typ,-40,3.3,24.4e6,2.355120e+06,3.043993e-12,7.16896879416e-06,700,0.9817,5.29072e-09,1.50,7.936080e-09,1.42301e+00,1.43771e+00,3.30000e+00,5.41900e-07
