stack,mos_corner,res_corner,cap_corner,temp_c,vsup_v,xc1_w,xc1_l,xc1_m,twin_r_s,twin_f_s,twin_r_over_floor
fast_stack,mos_ff,res_bcs,cap_bcs,-40,3.63,4u,4u,1,2.06073e-10,2.14372e-10,0.0824
nominal,mos_tt,res_typ,cap_typ,27,3.3,4u,4u,1,2.84056e-10,2.92531e-10,0.1136
slow_stack,mos_ss,res_wcs,cap_wcs,125,2.97,4u,4u,1,4.29055e-10,4.39412e-10,0.1716
fast_stack,mos_ff,res_bcs,cap_bcs,-40,3.63,6u,6u,1,2.42403e-10,2.51179e-10,0.0970
nominal,mos_tt,res_typ,cap_typ,27,3.3,6u,6u,1,3.43710e-10,3.46759e-10,0.1375
slow_stack,mos_ss,res_wcs,cap_wcs,125,2.97,6u,6u,1,5.30503e-10,5.27199e-10,0.2122
fast_stack,mos_ff,res_bcs,cap_bcs,-40,3.63,20u,20u,1,8.83999e-10,8.78289e-10,0.3536
nominal,mos_tt,res_typ,cap_typ,27,3.3,20u,20u,1,1.38789e-09,1.27477e-09,0.5552
slow_stack,mos_ss,res_wcs,cap_wcs,125,2.97,20u,20u,1,2.31465e-09,2.03482e-09,0.9259
fast_stack,mos_ff,res_bcs,cap_bcs,-40,3.63,30u,30u,1,1.76081e-09,1.73526e-09,0.7043
nominal,mos_tt,res_typ,cap_typ,27,3.3,30u,30u,1,2.81614e-09,2.54341e-09,1.1265
slow_stack,mos_ss,res_wcs,cap_wcs,125,2.97,30u,30u,1,4.75712e-09,4.07474e-09,1.9028
fast_stack,mos_ff,res_bcs,cap_bcs,-40,3.63,36u,36u,1,2.45483e-09,2.41350e-09,0.9819
nominal,mos_tt,res_typ,cap_typ,27,3.3,36u,36u,1,3.94664e-09,3.54346e-09,1.5787
slow_stack,mos_ss,res_wcs,cap_wcs,125,2.97,36u,36u,1,6.69053e-09,5.45045e-09,2.6762
fast_stack,mos_ff,res_bcs,cap_bcs,-40,3.63,40u,40u,1,2.98746e-09,2.93386e-09,1.1950
nominal,mos_tt,res_typ,cap_typ,27,3.3,40u,40u,1,4.81430e-09,4.29083e-09,1.9257
slow_stack,mos_ss,res_wcs,cap_wcs,125,2.97,40u,40u,1,8.17446e-09,6.11646e-09,3.2698
fast_stack,mos_ff,res_bcs,cap_bcs,-40,3.63,45u,45u,1,3.73196e-09,3.65879e-09,1.4928
nominal,mos_tt,res_typ,cap_typ,27,3.3,45u,45u,1,6.02712e-09,5.24095e-09,2.4108
slow_stack,mos_ss,res_wcs,cap_wcs,125,2.97,45u,45u,1,1.02487e-08,6.31141e-09,4.0995
fast_stack,mos_ff,res_bcs,cap_bcs,-40,3.63,50u,50u,1,4.56392e-09,4.45417e-09,1.8256
nominal,mos_tt,res_typ,cap_typ,27,3.3,50u,50u,1,7.38243e-09,6.05152e-09,2.9530
slow_stack,mos_ss,res_wcs,cap_wcs,125,2.97,50u,50u,1,1.25668e-08,5.65332e-09,5.0267
