mos_corner,res_corner,cap_corner,temp_c,tstep,twin_r_s
mos_tt,res_typ,cap_typ,27,20p,6.02712e-09
mos_ss,res_wcs,cap_wcs,125,20p,9.33390e-09
mos_ff,res_bcs,cap_bcs,-40,20p,4.09202e-09
mos_sf,res_typ,cap_typ,27,20p,5.57609e-09
mos_tt,res_typ,cap_typ,27,5p,6.02619e-09
mos_ss,res_wcs,cap_wcs,125,5p,9.33322e-09
mos_ff,res_bcs,cap_bcs,-40,5p,4.09074e-09
mos_sf,res_typ,cap_typ,27,5p,5.57511e-09
mos_tt,res_typ,cap_typ,27,1.25p,6.02613e-09
mos_ss,res_wcs,cap_wcs,125,1.25p,9.33318e-09
mos_ff,res_bcs,cap_bcs,-40,1.25p,4.09066e-09
mos_sf,res_typ,cap_typ,27,1.25p,5.57505e-09
