sweep,mos_corner,res_corner,cap_corner,temp_c,vsup_v,fref_hz,r_xrpu_ohm,c_xcw_f,rc_s,n_cycles,settle_frac,xmpd_w,xmpd_l,xmpd_l_over_w,twin_r_s,tau_xwin,tau_s,vwin_discharged_start_avg_v,vwin_charged_start_avg_v,lock_discharged_start_avg_v,lock_charged_start_avg_v
min_hysteresis,mos_tt,res_wcs,cap_typ,-40,3.3,24.4e6,2.355120e+06,3.043993e-12,7.16896879416e-06,700,0.9817,2u,0.5u,0.25,5.29072e-09,1.00,5.290720e-09,1.02221e-01,1.02221e-01,3.30000e+00,3.30000e+00
min_hysteresis,mos_tt,res_wcs,cap_typ,-40,3.3,24.4e6,2.355120e+06,3.043993e-12,7.16896879416e-06,700,0.9817,2u,0.5u,0.25,5.29072e-09,1.10,5.819792e-09,3.48376e-02,3.48376e-02,3.30000e+00,3.30000e+00
min_hysteresis,mos_tt,res_wcs,cap_typ,-40,3.3,24.4e6,2.355120e+06,3.043993e-12,7.16896879416e-06,700,0.9817,2u,0.5u,0.25,5.29072e-09,1.20,6.348864e-09,3.12805e-02,3.12805e-02,3.30000e+00,3.30000e+00
min_hysteresis,mos_tt,res_wcs,cap_typ,-40,3.3,24.4e6,2.355120e+06,3.043993e-12,7.16896879416e-06,700,0.9817,2u,0.5u,0.25,5.29072e-09,1.25,6.613400e-09,2.98080e-02,2.98080e-02,3.30000e+00,3.30000e+00
min_hysteresis,mos_tt,res_wcs,cap_typ,-40,3.3,24.4e6,2.355120e+06,3.043993e-12,7.16896879416e-06,700,0.9817,2u,0.5u,0.25,5.29072e-09,1.30,6.877936e-09,1.27937e-02,1.27937e-02,3.30000e+00,3.30000e+00
min_hysteresis,mos_tt,res_wcs,cap_typ,-40,3.3,24.4e6,2.355120e+06,3.043993e-12,7.16896879416e-06,700,0.9817,2u,0.5u,0.25,5.29072e-09,1.35,7.142472e-09,1.17961e-02,1.17961e-02,3.30000e+00,3.30000e+00
min_hysteresis,mos_tt,res_wcs,cap_typ,-40,3.3,24.4e6,2.355120e+06,3.043993e-12,7.16896879416e-06,700,0.9817,2u,0.5u,0.25,5.29072e-09,1.40,7.407008e-09,1.09019e-02,1.09019e-02,3.30000e+00,3.30000e+00
min_hysteresis,mos_tt,res_wcs,cap_typ,-40,3.3,24.4e6,2.355120e+06,3.043993e-12,7.16896879416e-06,700,0.9817,2u,0.5u,0.25,5.29072e-09,1.50,7.936080e-09,9.53668e-03,9.53668e-03,3.30000e+00,3.30000e+00
min_hysteresis,mos_tt,res_wcs,cap_typ,-40,3.3,24.4e6,2.355120e+06,3.043993e-12,7.16896879416e-06,700,0.9817,2u,0.5u,0.25,5.29072e-09,1.60,8.465152e-09,8.55037e-03,8.55037e-03,3.30000e+00,3.30000e+00
min_hysteresis,mos_tt,res_wcs,cap_typ,-40,3.3,24.4e6,2.355120e+06,3.043993e-12,7.16896879416e-06,700,0.9817,2u,0.5u,0.25,5.29072e-09,1.75,9.258760e-09,7.54793e-03,7.54793e-03,3.30000e+00,3.30000e+00
