corner_tag,tau_xwin,tau_s,state_discharged_start,state_charged_start,lka_min_v,lka_max_v,lka_avg_v,lkb_min_v,lkb_max_v,lkb_avg_v,vwin_a_min_v,vwin_a_max_v,vwin_a_avg_v
mos_tt_res_typ_cap_typ_-40c_3.3v_3p5MHz,0.50,2.645360e-09,IN,IN,1.042040e-06,1.202940e-06,1.097910e-06,-4.332210e-08,5.151330e-08,6.252980e-10,3.225150e+00,3.232030e+00,3.228640e+00
mos_tt_res_typ_cap_typ_-40c_3.3v_3p5MHz,1.00,5.290720e-09,IN,IN,-7.482750e-04,6.586830e-04,1.221430e-06,-7.482520e-04,6.546750e-04,1.233110e-07,3.200930e+00,3.209240e+00,3.205130e+00
mos_tt_res_typ_cap_typ_-40c_3.3v_3p5MHz,1.25,6.613400e-09,IN,IN,-1.160270e-03,5.069730e-05,1.117980e-06,-1.157620e-03,4.905270e-05,1.776140e-08,3.143100e+00,3.153720e+00,3.148490e+00
mos_tt_res_typ_cap_typ_-40c_3.3v_3p5MHz,1.50,7.936080e-09,IN,IN,-1.195410e-03,3.095640e-05,8.855780e-07,-1.191400e-03,2.941800e-05,-2.217930e-07,3.001830e+00,3.018140e+00,3.010170e+00
mos_tt_res_typ_cap_typ_-40c_3.3v_3p5MHz,1.75,9.258760e-09,IN,IN,-1.207740e-03,3.337460e-05,9.099170e-07,-1.202930e-03,3.175990e-05,-2.012400e-07,2.915310e+00,2.935540e+00,2.925660e+00
mos_tt_res_typ_cap_typ_-40c_3.3v_3p5MHz,2.00,1.058144e-08,IN,IN,-1.215220e-03,3.556140e-05,8.889850e-07,-1.209560e-03,3.387330e-05,-2.211990e-07,2.831070e+00,2.854960e+00,2.843300e+00
mos_tt_res_typ_cap_typ_-40c_3.3v_3p5MHz,2.25,1.190412e-08,IN,IN,-1.220100e-03,3.695180e-05,7.655510e-07,-1.213030e-03,3.527270e-05,-3.243460e-07,2.752840e+00,2.779790e+00,2.766660e+00
mos_tt_res_typ_cap_typ_-40c_3.3v_3p5MHz,2.50,1.322680e-08,IN,IN,-1.238900e-03,3.848680e-05,6.823770e-07,-1.222590e-03,3.715220e-05,-2.057000e-07,2.671030e+00,2.701330e+00,2.686580e+00
mos_tt_res_typ_cap_typ_-40c_3.3v_3p5MHz,3.00,1.587216e-08,IN,IN,-1.332640e-03,4.309550e-04,1.785180e-07,-1.311210e-03,2.277550e-04,-2.540690e-07,2.504000e+00,2.541120e+00,2.523070e+00
mos_tt_res_typ_cap_typ_-40c_3.3v_3p5MHz,3.50,1.851752e-08,IN,IN,-1.361650e-03,5.761250e-04,-6.585320e-08,-1.362020e-03,5.439140e-04,7.217520e-08,2.332930e+00,2.377180e+00,2.355660e+00
mos_tt_res_typ_cap_typ_-40c_3.3v_3p5MHz,4.00,2.116288e-08,IN,IN,-1.332210e-03,6.301080e-04,-1.300890e-07,-1.344790e-03,6.136060e-04,1.268760e-07,2.164380e+00,2.215530e+00,2.190670e+00
