corner_tag,twin_r_s,in_window_lock_rail,tau_assert_s,tau_assert_xwin,tau_deassert_s,tau_deassert_xwin,hysteresis_s,hysteresis_pct_of_window,chatter,lock_min_deep_v,lock_max_deep_v,trec_s,vwin_min_zeroerr_v,vwin_max_zeroerr_v,idd_inlock_a,idd_outlock_a,ladder_states_discharged_start,ladder_states_charged_start,rc_s,tref_s,rc_over_tref
mos_tt_res_typ_cap_typ_-40c_3.3v_24p4MHz,2.467270e-10,lo,3.454178e-10,1.400000e+00,3.454178e-10,1.400000e+00,0.000000e+00,0.000000e+00,chatter,-1.147100e-01,3.342280e+00,1.402870e-09,3.299940e+00,3.300040e+00,1.915480e-05,5.618390e-05,IIIITTTTT,IIIITTTTT,1.262870e-09,4.098361e-08,0.030814
mos_tt_res_typ_cap_typ_27c_3.3v_24p4MHz,2.840560e-10,lo,3.976784e-10,1.400000e+00,3.976784e-10,1.400000e+00,0.000000e+00,0.000000e+00,chatter,-1.454750e-01,3.355180e+00,1.203910e-09,3.299940e+00,3.300040e+00,2.000510e-05,5.606250e-05,IIIITTTTT,IIIITTTTT,1.085381e-09,4.098361e-08,0.026483
mos_tt_res_typ_cap_typ_125c_3.3v_24p4MHz,3.463040e-10,lo,4.848256e-10,1.400000e+00,4.848256e-10,1.400000e+00,0.000000e+00,0.000000e+00,chatter,-1.494610e-01,3.376390e+00,9.543700e-10,3.299940e+00,3.300030e+00,2.020150e-05,5.825220e-05,IIIITTTTT,IIIITTTTT,8.626269e-10,4.098361e-08,0.021048
mos_ss_res_wcs_cap_wcs_-40c_3.3v_24p4MHz,2.838770e-10,lo,3.974278e-10,1.400000e+00,3.974278e-10,1.400000e+00,0.000000e+00,0.000000e+00,chatter,-9.629060e-02,3.339910e+00,1.834140e-09,3.299940e+00,3.300030e+00,1.681590e-05,5.673130e-05,IIIITTTTT,IIIITTTTT,1.573472e-09,4.098361e-08,0.038393
mos_ss_res_wcs_cap_wcs_27c_3.3v_24p4MHz,3.247040e-10,lo,4.545856e-10,1.400000e+00,4.545856e-10,1.400000e+00,0.000000e+00,0.000000e+00,chatter,-1.273390e-01,3.350860e+00,1.574630e-09,3.299950e+00,3.300030e+00,1.829800e-05,5.560830e-05,IIIITTTTT,IIIITTTTT,1.352330e-09,4.098361e-08,0.032997
mos_ss_res_wcs_cap_wcs_125c_3.3v_24p4MHz,3.924570e-10,lo,5.494398e-10,1.400000e+00,5.494398e-10,1.400000e+00,0.000000e+00,0.000000e+00,chatter,-1.373320e-01,3.370760e+00,1.248910e-09,3.299950e+00,3.300030e+00,1.904400e-05,5.703240e-05,IIIITTTTT,IIIITTTTT,1.074789e-09,4.098361e-08,0.026225
mos_ff_res_bcs_cap_bcs_-40c_3.3v_24p4MHz,2.193300e-10,lo,3.070620e-10,1.400000e+00,3.070620e-10,1.400000e+00,0.000000e+00,0.000000e+00,chatter,-1.186440e-01,3.352730e+00,1.005940e-09,3.299950e+00,3.300050e+00,2.162130e-05,5.717920e-05,IIIITTTTT,IIIITTTTT,9.522688e-10,4.098361e-08,0.023235
mos_ff_res_bcs_cap_bcs_27c_3.3v_24p4MHz,2.535530e-10,lo,3.042636e-10,1.200000e+00,3.042636e-10,1.200000e+00,0.000000e+00,0.000000e+00,chatter,-1.571020e-01,3.368590e+00,8.628430e-10,3.299940e+00,3.300040e+00,2.053460e-05,5.752580e-05,IIITTTTTT,IIITTTTTT,8.184330e-10,4.098361e-08,0.019970
mos_ff_res_bcs_cap_bcs_125c_3.3v_24p4MHz,3.107170e-10,lo,4.350038e-10,1.400000e+00,4.350038e-10,1.400000e+00,0.000000e+00,0.000000e+00,chatter,-1.678030e-01,3.386200e+00,6.829920e-10,3.299930e+00,3.300040e+00,2.125850e-05,6.039220e-05,IIIITTTTT,IIIITTTTT,6.504648e-10,4.098361e-08,0.015871
mos_sf_res_typ_cap_typ_-40c_3.3v_24p4MHz,2.458530e-10,lo,3.441942e-10,1.400000e+00,3.441942e-10,1.400000e+00,0.000000e+00,0.000000e+00,chatter,-1.095690e-01,3.339250e+00,1.408620e-09,3.299940e+00,3.300030e+00,1.952400e-05,5.610530e-05,IIIITTTTT,IIIITTTTT,1.262870e-09,4.098361e-08,0.030814
mos_sf_res_typ_cap_typ_27c_3.3v_24p4MHz,2.827630e-10,lo,3.958682e-10,1.400000e+00,3.958682e-10,1.400000e+00,0.000000e+00,0.000000e+00,chatter,-1.382610e-01,3.351650e+00,1.209130e-09,3.299950e+00,3.300040e+00,2.047080e-05,5.594910e-05,IIIITTTTT,IIIITTTTT,1.085381e-09,4.098361e-08,0.026483
mos_sf_res_typ_cap_typ_125c_3.3v_24p4MHz,3.446520e-10,lo,4.825128e-10,1.400000e+00,4.825128e-10,1.400000e+00,0.000000e+00,0.000000e+00,chatter,-1.433000e-01,3.373130e+00,9.586000e-10,3.299940e+00,3.300030e+00,2.043230e-05,5.810560e-05,IIIITTTTT,IIIITTTTT,8.626269e-10,4.098361e-08,0.021048
mos_fs_res_typ_cap_typ_-40c_3.3v_24p4MHz,2.495880e-10,lo,3.494232e-10,1.400000e+00,3.494232e-10,1.400000e+00,0.000000e+00,0.000000e+00,chatter,-1.155460e-01,3.346040e+00,1.397460e-09,3.299950e+00,3.300040e+00,1.849320e-05,5.666920e-05,IIIITTTTT,IIIITTTTT,1.262870e-09,4.098361e-08,0.030814
mos_fs_res_typ_cap_typ_27c_3.3v_24p4MHz,2.872160e-10,lo,4.021024e-10,1.400000e+00,4.021024e-10,1.400000e+00,0.000000e+00,0.000000e+00,chatter,-1.540910e-01,3.359480e+00,1.198950e-09,3.299940e+00,3.300040e+00,1.940080e-05,5.643580e-05,IIIITTTTT,IIIITTTTT,1.085381e-09,4.098361e-08,0.026483
mos_fs_res_typ_cap_typ_125c_3.3v_24p4MHz,3.497390e-10,lo,4.896346e-10,1.400000e+00,4.896346e-10,1.400000e+00,0.000000e+00,0.000000e+00,chatter,-1.530250e-01,3.379950e+00,9.503730e-10,3.299940e+00,3.300040e+00,1.994230e-05,5.851800e-05,IIIITTTTT,IIIITTTTT,8.626269e-10,4.098361e-08,0.021048
mos_tt_res_wcs_cap_typ_-40c_3.3v_24p4MHz,2.467270e-10,lo,3.454178e-10,1.400000e+00,3.454178e-10,1.400000e+00,0.000000e+00,0.000000e+00,chatter,-1.155570e-01,3.334190e+00,1.748500e-09,3.299940e+00,3.300030e+00,1.915480e-05,5.770480e-05,IIIITTTTT,IIIITTTTT,1.573472e-09,4.098361e-08,0.038393
mos_tt_res_wcs_cap_typ_27c_3.3v_24p4MHz,2.840560e-10,lo,3.976784e-10,1.400000e+00,3.976784e-10,1.400000e+00,0.000000e+00,0.000000e+00,chatter,-1.466890e-01,3.344780e+00,1.500450e-09,3.299940e+00,3.300040e+00,2.000510e-05,5.638550e-05,IIIITTTTT,IIIITTTTT,1.352330e-09,4.098361e-08,0.032997
mos_tt_res_wcs_cap_typ_125c_3.3v_24p4MHz,3.463040e-10,lo,4.848256e-10,1.400000e+00,4.848256e-10,1.400000e+00,0.000000e+00,0.000000e+00,chatter,-1.513190e-01,3.364000e+00,1.189930e-09,3.299940e+00,3.300030e+00,2.020150e-05,5.705830e-05,IIIITTTTT,IIIITTTTT,1.074789e-09,4.098361e-08,0.026225
mos_tt_res_bcs_cap_typ_-40c_3.3v_24p4MHz,2.467270e-10,lo,3.454178e-10,1.400000e+00,3.454178e-10,1.400000e+00,0.000000e+00,0.000000e+00,chatter,-1.171200e-01,3.355370e+00,1.057270e-09,3.299950e+00,3.300040e+00,1.915480e-05,5.570080e-05,IIIITTTTT,IIIITTTTT,9.522688e-10,4.098361e-08,0.023235
mos_tt_res_bcs_cap_typ_27c_3.3v_24p4MHz,2.840560e-10,lo,3.976784e-10,1.400000e+00,3.976784e-10,1.400000e+00,0.000000e+00,0.000000e+00,chatter,-1.432940e-01,3.371290e+00,9.068480e-10,3.299950e+00,3.300040e+00,2.000510e-05,5.684880e-05,IIIITTTTT,IIIITTTTT,8.184330e-10,4.098361e-08,0.019970
mos_tt_res_bcs_cap_typ_125c_3.3v_24p4MHz,3.463040e-10,lo,4.848256e-10,1.400000e+00,4.848256e-10,1.400000e+00,0.000000e+00,0.000000e+00,chatter,-1.464670e-01,3.392060e+00,7.188640e-10,3.299940e+00,3.300040e+00,2.020150e-05,6.096310e-05,IIIITTTTT,IIIITTTTT,6.504648e-10,4.098361e-08,0.015871
mos_tt_res_typ_cap_wcs_-40c_3.3v_24p4MHz,2.509340e-10,lo,3.513076e-10,1.400000e+00,3.513076e-10,1.400000e+00,0.000000e+00,0.000000e+00,chatter,-1.134010e-01,3.339820e+00,1.488980e-09,3.299950e+00,3.300030e+00,1.916350e-05,5.780420e-05,IIIITTTTT,IIIITTTTT,1.262870e-09,4.098361e-08,0.030814
