kind,geom_w,geom_l,geom_m,corner,temp_c,value,source
C(cap_cmim),20u,20u,1,cap_bcs,27,5.432000e-13,ngspice-subckt
C(cap_cmim),20u,20u,1,cap_bcs,125,5.434021e-13,ngspice-subckt
C(cap_cmim),20u,20u,1,cap_wcs,-40,6.630460e-13,ngspice-subckt
C(cap_cmim),20u,20u,1,cap_wcs,27,6.632000e-13,ngspice-subckt
C(cap_cmim),20u,20u,1,cap_wcs,125,6.634467e-13,ngspice-subckt
C(cap_cmim),30u,30u,1,cap_typ,-40,1.354485e-12,ngspice-subckt
C(cap_cmim),30u,30u,1,cap_typ,27,1.354800e-12,ngspice-subckt
C(cap_cmim),30u,30u,1,cap_typ,125,1.355304e-12,ngspice-subckt
C(cap_cmim),30u,30u,1,cap_bcs,-40,1.219517e-12,ngspice-subckt
C(cap_cmim),30u,30u,1,cap_bcs,27,1.219800e-12,ngspice-subckt
C(cap_cmim),30u,30u,1,cap_bcs,125,1.220254e-12,ngspice-subckt
C(cap_cmim),30u,30u,1,cap_wcs,-40,1.489454e-12,ngspice-subckt
C(cap_cmim),30u,30u,1,cap_wcs,27,1.489800e-12,ngspice-subckt
C(cap_cmim),30u,30u,1,cap_wcs,125,1.490354e-12,ngspice-subckt
C(cap_cmim),36u,36u,1,cap_typ,-40,1.949307e-12,ngspice-subckt
C(cap_cmim),36u,36u,1,cap_typ,27,1.949760e-12,ngspice-subckt
C(cap_cmim),36u,36u,1,cap_typ,125,1.950485e-12,ngspice-subckt
C(cap_cmim),36u,36u,1,cap_bcs,-40,1.754952e-12,ngspice-subckt
C(cap_cmim),36u,36u,1,cap_bcs,27,1.755360e-12,ngspice-subckt
C(cap_cmim),36u,36u,1,cap_bcs,125,1.756013e-12,ngspice-subckt
C(cap_cmim),36u,36u,1,cap_wcs,-40,2.143662e-12,ngspice-subckt
C(cap_cmim),36u,36u,1,cap_wcs,27,2.144160e-12,ngspice-subckt
C(cap_cmim),36u,36u,1,cap_wcs,125,2.144958e-12,ngspice-subckt
C(cap_cmim),40u,40u,1,cap_typ,-40,2.405841e-12,ngspice-subckt
C(cap_cmim),40u,40u,1,cap_typ,27,2.406400e-12,ngspice-subckt
C(cap_cmim),40u,40u,1,cap_typ,125,2.407295e-12,ngspice-subckt
C(cap_cmim),40u,40u,1,cap_bcs,-40,2.165897e-12,ngspice-subckt
C(cap_cmim),40u,40u,1,cap_bcs,27,2.166400e-12,ngspice-subckt
C(cap_cmim),40u,40u,1,cap_bcs,125,2.167206e-12,ngspice-subckt
C(cap_cmim),40u,40u,1,cap_wcs,-40,2.645785e-12,ngspice-subckt
C(cap_cmim),40u,40u,1,cap_wcs,27,2.646400e-12,ngspice-subckt
C(cap_cmim),40u,40u,1,cap_wcs,125,2.647384e-12,ngspice-subckt
C(cap_cmim),45u,45u,1,cap_typ,-40,3.043993e-12,ngspice-subckt
C(cap_cmim),45u,45u,1,cap_typ,27,3.044700e-12,ngspice-subckt
C(cap_cmim),45u,45u,1,cap_typ,125,3.045833e-12,ngspice-subckt
C(cap_cmim),45u,45u,1,cap_bcs,-40,2.740313e-12,ngspice-subckt
C(cap_cmim),45u,45u,1,cap_bcs,27,2.740950e-12,ngspice-subckt
C(cap_cmim),45u,45u,1,cap_bcs,125,2.741970e-12,ngspice-subckt
C(cap_cmim),45u,45u,1,cap_wcs,-40,3.347672e-12,ngspice-subckt
C(cap_cmim),45u,45u,1,cap_wcs,27,3.348450e-12,ngspice-subckt
C(cap_cmim),45u,45u,1,cap_wcs,125,3.349696e-12,ngspice-subckt
C(cap_cmim),50u,50u,1,cap_typ,-40,3.757127e-12,ngspice-subckt
C(cap_cmim),50u,50u,1,cap_typ,27,3.758000e-12,ngspice-subckt
C(cap_cmim),50u,50u,1,cap_typ,125,3.759398e-12,ngspice-subckt
C(cap_cmim),50u,50u,1,cap_bcs,-40,3.382214e-12,ngspice-subckt
C(cap_cmim),50u,50u,1,cap_bcs,27,3.383000e-12,ngspice-subckt
C(cap_cmim),50u,50u,1,cap_bcs,125,3.384259e-12,ngspice-subckt
C(cap_cmim),50u,50u,1,cap_wcs,-40,4.132040e-12,ngspice-subckt
C(cap_cmim),50u,50u,1,cap_wcs,27,4.133000e-12,ngspice-subckt
C(cap_cmim),50u,50u,1,cap_wcs,125,4.134538e-12,ngspice-subckt
