kind,geom_w,geom_l,geom_m,corner,temp_c,value,source
R(rhigh),0.5u,6u,1,res_typ,-40,2.297799e+04,ngspice-subckt
R(rhigh),0.5u,6u,1,res_typ,27,1.974857e+04,ngspice-subckt
R(rhigh),0.5u,6u,1,res_typ,125,1.569554e+04,ngspice-subckt
R(rhigh),0.5u,6u,1,res_bcs,-40,1.732658e+04,ngspice-subckt
R(rhigh),0.5u,6u,1,res_bcs,27,1.489143e+04,ngspice-subckt
R(rhigh),0.5u,6u,1,res_bcs,125,1.183524e+04,ngspice-subckt
R(rhigh),0.5u,6u,1,res_wcs,-40,2.862941e+04,ngspice-subckt
R(rhigh),0.5u,6u,1,res_wcs,27,2.460571e+04,ngspice-subckt
R(rhigh),0.5u,6u,1,res_wcs,125,1.955584e+04,ngspice-subckt
R(rhigh),0.5u,100u,1,res_typ,-40,3.771332e+05,ngspice-subckt
R(rhigh),0.5u,100u,1,res_typ,27,3.241294e+05,ngspice-subckt
R(rhigh),0.5u,100u,1,res_typ,125,2.576078e+05,ngspice-subckt
R(rhigh),0.5u,100u,1,res_bcs,-40,2.829430e+05,ngspice-subckt
R(rhigh),0.5u,100u,1,res_bcs,27,2.431771e+05,ngspice-subckt
R(rhigh),0.5u,100u,1,res_bcs,125,1.932695e+05,ngspice-subckt
R(rhigh),0.5u,100u,1,res_wcs,-40,4.713234e+05,ngspice-subckt
R(rhigh),0.5u,100u,1,res_wcs,27,4.050817e+05,ngspice-subckt
R(rhigh),0.5u,100u,1,res_wcs,125,3.219461e+05,ngspice-subckt
R(rhigh),0.5u,300u,1,res_typ,-40,1.130654e+06,ngspice-subckt
R(rhigh),0.5u,300u,1,res_typ,27,9.717471e+05,ngspice-subckt
R(rhigh),0.5u,300u,1,res_typ,125,7.723141e+05,ngspice-subckt
R(rhigh),0.5u,300u,1,res_bcs,-40,8.480837e+05,ngspice-subckt
R(rhigh),0.5u,300u,1,res_bcs,27,7.288906e+05,ngspice-subckt
R(rhigh),0.5u,300u,1,res_bcs,125,5.792993e+05,ngspice-subckt
R(rhigh),0.5u,300u,1,res_wcs,-40,1.413223e+06,ngspice-subckt
R(rhigh),0.5u,300u,1,res_wcs,27,1.214603e+06,ngspice-subckt
R(rhigh),0.5u,300u,1,res_wcs,125,9.653288e+05,ngspice-subckt
R(rhigh),0.5u,500u,1,res_typ,-40,1.884172e+06,ngspice-subckt
R(rhigh),0.5u,500u,1,res_typ,27,1.619363e+06,ngspice-subckt
R(rhigh),0.5u,500u,1,res_typ,125,1.287020e+06,ngspice-subckt
R(rhigh),0.5u,500u,1,res_bcs,-40,1.413223e+06,ngspice-subckt
R(rhigh),0.5u,500u,1,res_bcs,27,1.214603e+06,ngspice-subckt
R(rhigh),0.5u,500u,1,res_bcs,125,9.653288e+05,ngspice-subckt
R(rhigh),0.5u,500u,1,res_wcs,-40,2.355120e+06,ngspice-subckt
R(rhigh),0.5u,500u,1,res_wcs,27,2.024123e+06,ngspice-subckt
R(rhigh),0.5u,500u,1,res_wcs,125,1.608710e+06,ngspice-subckt
R(rhigh),0.5u,700u,1,res_typ,-40,2.637689e+06,ngspice-subckt
R(rhigh),0.5u,700u,1,res_typ,27,2.266979e+06,ngspice-subckt
R(rhigh),0.5u,700u,1,res_typ,125,1.801724e+06,ngspice-subckt
R(rhigh),0.5u,700u,1,res_bcs,-40,1.978362e+06,ngspice-subckt
R(rhigh),0.5u,700u,1,res_bcs,27,1.700315e+06,ngspice-subckt
R(rhigh),0.5u,700u,1,res_bcs,125,1.351358e+06,ngspice-subckt
R(rhigh),0.5u,700u,1,res_wcs,-40,3.297015e+06,ngspice-subckt
R(rhigh),0.5u,700u,1,res_wcs,27,2.833641e+06,ngspice-subckt
R(rhigh),0.5u,700u,1,res_wcs,125,2.252090e+06,ngspice-subckt
R(rhigh),0.5u,1000u,1,res_typ,-40,3.767961e+06,ngspice-subckt
R(rhigh),0.5u,1000u,1,res_typ,27,3.238399e+06,ngspice-subckt
R(rhigh),0.5u,1000u,1,res_typ,125,2.573780e+06,ngspice-subckt
R(rhigh),0.5u,1000u,1,res_bcs,-40,2.826068e+06,ngspice-subckt
R(rhigh),0.5u,1000u,1,res_bcs,27,2.428882e+06,ngspice-subckt
R(rhigh),0.5u,1000u,1,res_bcs,125,1.930400e+06,ngspice-subckt
R(rhigh),0.5u,1000u,1,res_wcs,-40,4.709851e+06,ngspice-subckt
R(rhigh),0.5u,1000u,1,res_wcs,27,4.047913e+06,ngspice-subckt
R(rhigh),0.5u,1000u,1,res_wcs,125,3.217158e+06,ngspice-subckt
C(cap_cmim),4u,4u,1,cap_typ,-40,2.463428e-14,ngspice-subckt
C(cap_cmim),4u,4u,1,cap_typ,27,2.464000e-14,ngspice-subckt
C(cap_cmim),4u,4u,1,cap_typ,125,2.464917e-14,ngspice-subckt
C(cap_cmim),4u,4u,1,cap_bcs,-40,2.223484e-14,ngspice-subckt
C(cap_cmim),4u,4u,1,cap_bcs,27,2.224000e-14,ngspice-subckt
C(cap_cmim),4u,4u,1,cap_bcs,125,2.224827e-14,ngspice-subckt
C(cap_cmim),4u,4u,1,cap_wcs,-40,2.703372e-14,ngspice-subckt
C(cap_cmim),4u,4u,1,cap_wcs,27,2.704000e-14,ngspice-subckt
C(cap_cmim),4u,4u,1,cap_wcs,125,2.705006e-14,ngspice-subckt
C(cap_cmim),6u,6u,1,cap_typ,-40,5.494724e-14,ngspice-subckt
C(cap_cmim),6u,6u,1,cap_typ,27,5.496000e-14,ngspice-subckt
C(cap_cmim),6u,6u,1,cap_typ,125,5.498045e-14,ngspice-subckt
C(cap_cmim),6u,6u,1,cap_bcs,-40,4.954849e-14,ngspice-subckt
C(cap_cmim),6u,6u,1,cap_bcs,27,4.956000e-14,ngspice-subckt
C(cap_cmim),6u,6u,1,cap_bcs,125,4.957844e-14,ngspice-subckt
C(cap_cmim),6u,6u,1,cap_wcs,-40,6.034598e-14,ngspice-subckt
C(cap_cmim),6u,6u,1,cap_wcs,27,6.036000e-14,ngspice-subckt
C(cap_cmim),6u,6u,1,cap_wcs,125,6.038245e-14,ngspice-subckt
C(cap_cmim),20u,20u,1,cap_typ,-40,6.030599e-13,ngspice-subckt
C(cap_cmim),20u,20u,1,cap_typ,27,6.032000e-13,ngspice-subckt
C(cap_cmim),20u,20u,1,cap_typ,125,6.034244e-13,ngspice-subckt
C(cap_cmim),20u,20u,1,cap_bcs,-40,5.430739e-13,ngspice-subckt
