corner_tag,mos_corner,res_corner,cap_corner,temp_c,vsup_v,fref_hz,twin_r_s,twin_f_s
mos_tt_res_typ_cap_typ_-40c_3.3v_24p4MHz,mos_tt,res_typ,cap_typ,-40,3.3,24.4e6,2.46727e-10,2.56326e-10
mos_tt_res_typ_cap_typ_27c_3.3v_24p4MHz,mos_tt,res_typ,cap_typ,27,3.3,24.4e6,2.84056e-10,2.92531e-10
mos_tt_res_typ_cap_typ_125c_3.3v_24p4MHz,mos_tt,res_typ,cap_typ,125,3.3,24.4e6,3.46304e-10,3.54745e-10
mos_ss_res_wcs_cap_wcs_-40c_3.3v_24p4MHz,mos_ss,res_wcs,cap_wcs,-40,3.3,24.4e6,2.83877e-10,2.93595e-10
mos_ss_res_wcs_cap_wcs_27c_3.3v_24p4MHz,mos_ss,res_wcs,cap_wcs,27,3.3,24.4e6,3.24704e-10,3.34294e-10
mos_ss_res_wcs_cap_wcs_125c_3.3v_24p4MHz,mos_ss,res_wcs,cap_wcs,125,3.3,24.4e6,3.92457e-10,4.02530e-10
mos_ff_res_bcs_cap_bcs_-40c_3.3v_24p4MHz,mos_ff,res_bcs,cap_bcs,-40,3.3,24.4e6,2.19330e-10,2.28560e-10
mos_ff_res_bcs_cap_bcs_27c_3.3v_24p4MHz,mos_ff,res_bcs,cap_bcs,27,3.3,24.4e6,2.53553e-10,2.61444e-10
mos_ff_res_bcs_cap_bcs_125c_3.3v_24p4MHz,mos_ff,res_bcs,cap_bcs,125,3.3,24.4e6,3.10717e-10,3.18324e-10
mos_sf_res_typ_cap_typ_-40c_3.3v_24p4MHz,mos_sf,res_typ,cap_typ,-40,3.3,24.4e6,2.45853e-10,2.56013e-10
mos_sf_res_typ_cap_typ_27c_3.3v_24p4MHz,mos_sf,res_typ,cap_typ,27,3.3,24.4e6,2.82763e-10,2.91952e-10
mos_sf_res_typ_cap_typ_125c_3.3v_24p4MHz,mos_sf,res_typ,cap_typ,125,3.3,24.4e6,3.44652e-10,3.54102e-10
mos_fs_res_typ_cap_typ_-40c_3.3v_24p4MHz,mos_fs,res_typ,cap_typ,-40,3.3,24.4e6,2.49588e-10,2.58450e-10
mos_fs_res_typ_cap_typ_27c_3.3v_24p4MHz,mos_fs,res_typ,cap_typ,27,3.3,24.4e6,2.87216e-10,2.95157e-10
mos_fs_res_typ_cap_typ_125c_3.3v_24p4MHz,mos_fs,res_typ,cap_typ,125,3.3,24.4e6,3.49739e-10,3.57241e-10
mos_tt_res_wcs_cap_typ_-40c_3.3v_24p4MHz,mos_tt,res_wcs,cap_typ,-40,3.3,24.4e6,2.46727e-10,2.56326e-10
mos_tt_res_wcs_cap_typ_27c_3.3v_24p4MHz,mos_tt,res_wcs,cap_typ,27,3.3,24.4e6,2.84056e-10,2.92531e-10
mos_tt_res_wcs_cap_typ_125c_3.3v_24p4MHz,mos_tt,res_wcs,cap_typ,125,3.3,24.4e6,3.46304e-10,3.54745e-10
mos_tt_res_bcs_cap_typ_-40c_3.3v_24p4MHz,mos_tt,res_bcs,cap_typ,-40,3.3,24.4e6,2.46727e-10,2.56326e-10
mos_tt_res_bcs_cap_typ_27c_3.3v_24p4MHz,mos_tt,res_bcs,cap_typ,27,3.3,24.4e6,2.84056e-10,2.92531e-10
mos_tt_res_bcs_cap_typ_125c_3.3v_24p4MHz,mos_tt,res_bcs,cap_typ,125,3.3,24.4e6,3.46304e-10,3.54745e-10
mos_tt_res_typ_cap_wcs_-40c_3.3v_24p4MHz,mos_tt,res_typ,cap_wcs,-40,3.3,24.4e6,2.50934e-10,2.60241e-10
mos_tt_res_typ_cap_wcs_27c_3.3v_24p4MHz,mos_tt,res_typ,cap_wcs,27,3.3,24.4e6,2.88963e-10,2.96992e-10
mos_tt_res_typ_cap_wcs_125c_3.3v_24p4MHz,mos_tt,res_typ,cap_wcs,125,3.3,24.4e6,3.52110e-10,3.60115e-10
mos_tt_res_typ_cap_bcs_-40c_3.3v_24p4MHz,mos_tt,res_typ,cap_bcs,-40,3.3,24.4e6,2.42319e-10,2.52399e-10
mos_tt_res_typ_cap_bcs_27c_3.3v_24p4MHz,mos_tt,res_typ,cap_bcs,27,3.3,24.4e6,2.78997e-10,2.88023e-10
mos_tt_res_typ_cap_bcs_125c_3.3v_24p4MHz,mos_tt,res_typ,cap_bcs,125,3.3,24.4e6,3.40213e-10,3.49292e-10
mos_tt_res_typ_cap_typ_-40c_2.97v_24p4MHz,mos_tt,res_typ,cap_typ,-40,2.97,24.4e6,2.68387e-10,2.77273e-10
mos_tt_res_typ_cap_typ_-40c_3.63v_24p4MHz,mos_tt,res_typ,cap_typ,-40,3.63,24.4e6,2.31514e-10,2.40343e-10
mos_tt_res_typ_cap_typ_27c_2.97v_24p4MHz,mos_tt,res_typ,cap_typ,27,2.97,24.4e6,3.10127e-10,3.18864e-10
mos_tt_res_typ_cap_typ_27c_3.63v_24p4MHz,mos_tt,res_typ,cap_typ,27,3.63,24.4e6,2.64788e-10,2.73124e-10
