xrpu_w,xrpu_l,xcw_w,xcw_l,rc_min_s,rc_min_at,rc_max_s,rc_max_at,rc_min_over_tref_slow,rc_max_over_tref_slow
0.5u,300u,45u,45u,1.588421e-06,res_bcs/cap_bcs/125C,4.731007e-06,res_wcs/cap_wcs/-40C,5.5595,16.5585
0.5u,300u,50u,50u,1.960499e-06,res_bcs/cap_bcs/125C,5.839494e-06,res_wcs/cap_wcs/-40C,6.8617,20.4382
0.5u,500u,4u,4u,2.147690e-08,res_bcs/cap_bcs/125C,6.366765e-08,res_wcs/cap_wcs/-40C,0.0752,0.2228
0.5u,500u,6u,6u,4.785950e-08,res_bcs/cap_bcs/125C,1.421220e-07,res_wcs/cap_wcs/-40C,0.1675,0.4974
0.5u,500u,20u,20u,5.245617e-07,res_bcs/cap_bcs/125C,1.561553e-06,res_wcs/cap_wcs/-40C,1.8360,5.4654
0.5u,500u,30u,30u,1.177946e-06,res_bcs/cap_bcs/125C,3.507843e-06,res_wcs/cap_wcs/-40C,4.1228,12.2775
0.5u,500u,36u,36u,1.695130e-06,res_bcs/cap_bcs/125C,5.048581e-06,res_wcs/cap_wcs/-40C,5.9330,17.6700
0.5u,500u,40u,40u,2.092066e-06,res_bcs/cap_bcs/125C,6.231141e-06,res_wcs/cap_wcs/-40C,7.3222,21.8090
0.5u,500u,45u,45u,2.646903e-06,res_bcs/cap_bcs/125C,7.884169e-06,res_wcs/cap_wcs/-40C,9.2642,27.5946
0.5u,500u,50u,50u,3.266923e-06,res_bcs/cap_bcs/125C,9.731450e-06,res_wcs/cap_wcs/-40C,11.4342,34.0601
0.5u,700u,4u,4u,3.006538e-08,res_bcs/cap_bcs/125C,8.913058e-08,res_wcs/cap_wcs/-40C,0.1052,0.3120
0.5u,700u,6u,6u,6.699822e-08,res_bcs/cap_bcs/125C,1.989616e-07,res_wcs/cap_wcs/-40C,0.2345,0.6964
0.5u,700u,20u,20u,7.343308e-07,res_bcs/cap_bcs/125C,2.186073e-06,res_wcs/cap_wcs/-40C,2.5702,7.6513
0.5u,700u,30u,30u,1.649000e-06,res_bcs/cap_bcs/125C,4.910752e-06,res_wcs/cap_wcs/-40C,5.7715,17.1876
0.5u,700u,36u,36u,2.373002e-06,res_bcs/cap_bcs/125C,7.067686e-06,res_wcs/cap_wcs/-40C,8.3055,24.7369
0.5u,700u,40u,40u,2.928671e-06,res_bcs/cap_bcs/125C,8.723193e-06,res_wcs/cap_wcs/-40C,10.2503,30.5312
0.5u,700u,45u,45u,3.705383e-06,res_bcs/cap_bcs/125C,1.103732e-05,res_wcs/cap_wcs/-40C,12.9688,38.6306
0.5u,700u,50u,50u,4.573345e-06,res_bcs/cap_bcs/125C,1.362340e-05,res_wcs/cap_wcs/-40C,16.0067,47.6819
0.5u,1000u,4u,4u,4.294806e-08,res_bcs/cap_bcs/125C,1.273248e-07,res_wcs/cap_wcs/-40C,0.1503,0.4456
0.5u,1000u,6u,6u,9.570622e-08,res_bcs/cap_bcs/125C,2.842206e-07,res_wcs/cap_wcs/-40C,0.3350,0.9948
0.5u,1000u,20u,20u,1.048983e-06,res_bcs/cap_bcs/125C,3.122848e-06,res_wcs/cap_wcs/-40C,3.6714,10.9300
0.5u,1000u,30u,30u,2.355578e-06,res_bcs/cap_bcs/125C,7.015106e-06,res_wcs/cap_wcs/-40C,8.2445,24.5529
0.5u,1000u,36u,36u,3.389807e-06,res_bcs/cap_bcs/125C,1.009633e-05,res_wcs/cap_wcs/-40C,11.8643,35.3372
0.5u,1000u,40u,40u,4.183574e-06,res_bcs/cap_bcs/125C,1.246125e-05,res_wcs/cap_wcs/-40C,14.6425,43.6144
0.5u,1000u,45u,45u,5.293099e-06,res_bcs/cap_bcs/125C,1.576704e-05,res_wcs/cap_wcs/-40C,18.5258,55.1846
0.5u,1000u,50u,50u,6.532974e-06,res_bcs/cap_bcs/125C,1.946129e-05,res_wcs/cap_wcs/-40C,22.8654,68.1145
