kind,instance,corner,temp_c,w,l,m,value,source
R,XRPU(rhigh),res_typ,-40,0.5u,500u,1,1.884172e+06,ngspice-subckt
R,XRPU(rhigh),res_typ,27,0.5u,500u,1,1.619363e+06,ngspice-subckt
R,XRPU(rhigh),res_typ,125,0.5u,500u,1,1.287020e+06,ngspice-subckt
R,XRPU(rhigh),res_bcs,-40,0.5u,500u,1,1.413223e+06,ngspice-subckt
R,XRPU(rhigh),res_bcs,27,0.5u,500u,1,1.214603e+06,ngspice-subckt
R,XRPU(rhigh),res_bcs,125,0.5u,500u,1,9.653288e+05,ngspice-subckt
R,XRPU(rhigh),res_wcs,-40,0.5u,500u,1,2.355120e+06,ngspice-subckt
R,XRPU(rhigh),res_wcs,27,0.5u,500u,1,2.024123e+06,ngspice-subckt
R,XRPU(rhigh),res_wcs,125,0.5u,500u,1,1.608710e+06,ngspice-subckt
C,XCW(cap_cmim),cap_typ,-40,45u,45u,1,3.043993e-12,ngspice-subckt
C,XCW(cap_cmim),cap_typ,27,45u,45u,1,3.044700e-12,ngspice-subckt
C,XCW(cap_cmim),cap_typ,125,45u,45u,1,3.045833e-12,ngspice-subckt
C,XCW(cap_cmim),cap_bcs,-40,45u,45u,1,2.740313e-12,ngspice-subckt
C,XCW(cap_cmim),cap_bcs,27,45u,45u,1,2.740950e-12,ngspice-subckt
C,XCW(cap_cmim),cap_bcs,125,45u,45u,1,2.741970e-12,ngspice-subckt
C,XCW(cap_cmim),cap_wcs,-40,45u,45u,1,3.347672e-12,ngspice-subckt
C,XCW(cap_cmim),cap_wcs,27,45u,45u,1,3.348450e-12,ngspice-subckt
C,XCW(cap_cmim),cap_wcs,125,45u,45u,1,3.349696e-12,ngspice-subckt
C,XDW.XC1(cap_cmim),cap_typ,-40,45u,45u,1,3.043993e-12,ngspice-subckt
C,XDW.XC1(cap_cmim),cap_typ,27,45u,45u,1,3.044700e-12,ngspice-subckt
C,XDW.XC1(cap_cmim),cap_typ,125,45u,45u,1,3.045833e-12,ngspice-subckt
C,XDW.XC1(cap_cmim),cap_bcs,-40,45u,45u,1,2.740313e-12,ngspice-subckt
C,XDW.XC1(cap_cmim),cap_bcs,27,45u,45u,1,2.740950e-12,ngspice-subckt
C,XDW.XC1(cap_cmim),cap_bcs,125,45u,45u,1,2.741970e-12,ngspice-subckt
C,XDW.XC1(cap_cmim),cap_wcs,-40,45u,45u,1,3.347672e-12,ngspice-subckt
C,XDW.XC1(cap_cmim),cap_wcs,27,45u,45u,1,3.348450e-12,ngspice-subckt
C,XDW.XC1(cap_cmim),cap_wcs,125,45u,45u,1,3.349696e-12,ngspice-subckt
