corner_tag,mos_corner,res_corner,cap_corner,temp_c,vsup_v,fref_hz,twin_r_s,twin_f_s
mos_tt_res_typ_cap_typ_-40c_3.3v_24p4MHz,mos_tt,res_typ,cap_typ,-40,3.3,24.4e6,5.29072e-09,4.68157e-09
mos_tt_res_typ_cap_typ_27c_3.3v_24p4MHz,mos_tt,res_typ,cap_typ,27,3.3,24.4e6,6.02712e-09,5.24095e-09
mos_tt_res_typ_cap_typ_125c_3.3v_24p4MHz,mos_tt,res_typ,cap_typ,125,3.3,24.4e6,7.19730e-09,6.09417e-09
mos_ss_res_wcs_cap_wcs_-40c_3.3v_24p4MHz,mos_ss,res_wcs,cap_wcs,-40,3.3,24.4e6,6.99463e-09,5.50275e-09
mos_ss_res_wcs_cap_wcs_27c_3.3v_24p4MHz,mos_ss,res_wcs,cap_wcs,27,3.3,24.4e6,7.90516e-09,5.89880e-09
mos_ss_res_wcs_cap_wcs_125c_3.3v_24p4MHz,mos_ss,res_wcs,cap_wcs,125,3.3,24.4e6,9.33390e-09,6.33954e-09
mos_ff_res_bcs_cap_bcs_-40c_3.3v_24p4MHz,mos_ff,res_bcs,cap_bcs,-40,3.3,24.4e6,4.09202e-09,3.79892e-09
mos_ff_res_bcs_cap_bcs_27c_3.3v_24p4MHz,mos_ff,res_bcs,cap_bcs,27,3.3,24.4e6,4.68806e-09,4.32414e-09
mos_ff_res_bcs_cap_bcs_125c_3.3v_24p4MHz,mos_ff,res_bcs,cap_bcs,125,3.3,24.4e6,5.65216e-09,5.22110e-09
mos_sf_res_typ_cap_typ_-40c_3.3v_24p4MHz,mos_sf,res_typ,cap_typ,-40,3.3,24.4e6,4.88012e-09,5.01992e-09
mos_sf_res_typ_cap_typ_27c_3.3v_24p4MHz,mos_sf,res_typ,cap_typ,27,3.3,24.4e6,5.57609e-09,5.63417e-09
mos_sf_res_typ_cap_typ_125c_3.3v_24p4MHz,mos_sf,res_typ,cap_typ,125,3.3,24.4e6,6.69212e-09,6.60275e-09
mos_fs_res_typ_cap_typ_-40c_3.3v_24p4MHz,mos_fs,res_typ,cap_typ,-40,3.3,24.4e6,5.76323e-09,4.37499e-09
