corner_tag,mos_corner,res_corner,cap_corner,temp_c,vsup_v,fref_hz,twin_r_s,twin_f_s
mos_fs_res_typ_cap_typ_27c_3.3v_24p4MHz,mos_fs,res_typ,cap_typ,27,3.3,24.4e6,6.54102e-09,4.86653e-09
mos_fs_res_typ_cap_typ_125c_3.3v_24p4MHz,mos_fs,res_typ,cap_typ,125,3.3,24.4e6,7.76940e-09,5.58368e-09
mos_tt_res_wcs_cap_typ_-40c_3.3v_24p4MHz,mos_tt,res_wcs,cap_typ,-40,3.3,24.4e6,5.29072e-09,4.68157e-09
mos_tt_res_wcs_cap_typ_27c_3.3v_24p4MHz,mos_tt,res_wcs,cap_typ,27,3.3,24.4e6,6.02712e-09,5.24095e-09
mos_tt_res_wcs_cap_typ_125c_3.3v_24p4MHz,mos_tt,res_wcs,cap_typ,125,3.3,24.4e6,7.19730e-09,6.09417e-09
mos_tt_res_bcs_cap_typ_-40c_3.3v_24p4MHz,mos_tt,res_bcs,cap_typ,-40,3.3,24.4e6,5.29072e-09,4.68157e-09
mos_tt_res_bcs_cap_typ_27c_3.3v_24p4MHz,mos_tt,res_bcs,cap_typ,27,3.3,24.4e6,6.02712e-09,5.24095e-09
mos_tt_res_bcs_cap_typ_125c_3.3v_24p4MHz,mos_tt,res_bcs,cap_typ,125,3.3,24.4e6,7.19730e-09,6.09417e-09
mos_tt_res_typ_cap_wcs_-40c_3.3v_24p4MHz,mos_tt,res_typ,cap_wcs,-40,3.3,24.4e6,5.79761e-09,5.07295e-09
mos_tt_res_typ_cap_wcs_27c_3.3v_24p4MHz,mos_tt,res_typ,cap_wcs,27,3.3,24.4e6,6.60426e-09,5.62603e-09
mos_tt_res_typ_cap_wcs_125c_3.3v_24p4MHz,mos_tt,res_typ,cap_wcs,125,3.3,24.4e6,7.88578e-09,6.40667e-09
mos_tt_res_typ_cap_bcs_-40c_3.3v_24p4MHz,mos_tt,res_typ,cap_bcs,-40,3.3,24.4e6,4.78382e-09,4.26504e-09
mos_tt_res_typ_cap_bcs_27c_3.3v_24p4MHz,mos_tt,res_typ,cap_bcs,27,3.3,24.4e6,5.44997e-09,4.80821e-09
mos_tt_res_typ_cap_bcs_125c_3.3v_24p4MHz,mos_tt,res_typ,cap_bcs,125,3.3,24.4e6,6.50881e-09,5.68657e-09
mos_tt_res_typ_cap_typ_-40c_2.97v_24p4MHz,mos_tt,res_typ,cap_typ,-40,2.97,24.4e6,5.88959e-09,4.88700e-09
mos_tt_res_typ_cap_typ_-40c_3.63v_24p4MHz,mos_tt,res_typ,cap_typ,-40,3.63,24.4e6,4.84614e-09,4.52724e-09
mos_tt_res_typ_cap_typ_27c_2.97v_24p4MHz,mos_tt,res_typ,cap_typ,27,2.97,24.4e6,6.71077e-09,5.47828e-09
mos_tt_res_typ_cap_typ_27c_3.63v_24p4MHz,mos_tt,res_typ,cap_typ,27,3.63,24.4e6,5.51217e-09,5.04942e-09
mos_tt_res_typ_cap_typ_125c_2.97v_24p4MHz,mos_tt,res_typ,cap_typ,125,2.97,24.4e6,7.99594e-09,6.31614e-09
mos_tt_res_typ_cap_typ_125c_3.63v_24p4MHz,mos_tt,res_typ,cap_typ,125,3.63,24.4e6,6.58444e-09,5.88367e-09
mos_tt_res_typ_cap_typ_27c_3.3v_3p5MHz,mos_tt,res_typ,cap_typ,27,3.3,3.5e6,6.02712e-09,5.24095e-09
mos_tt_res_typ_cap_typ_27c_3.3v_12p0MHz,mos_tt,res_typ,cap_typ,27,3.3,12e6,6.02712e-09,5.24095e-09
mos_ff_res_bcs_cap_bcs_-40c_3.63v_24p4MHz,mos_ff,res_bcs,cap_bcs,-40,3.63,24.4e6,3.73196e-09,3.65879e-09
mos_ss_res_wcs_cap_wcs_125c_2.97v_24p4MHz,mos_ss,res_wcs,cap_wcs,125,2.97,24.4e6,1.02487e-08,6.31141e-09
