mos_corner,res_corner,temp_c,band_code,vctrl_v,tstep,duty_pct
mos_tt,res_typ,27,00,1.5,20p,46.7146
mos_sf,res_typ,27,11,2.7,20p,48.3853
mos_fs,res_typ,27,11,2.7,20p,46.7695
mos_ss,res_wcs,125,00,0.9,20p,49.8565
mos_tt,res_typ,27,00,1.5,5p,46.7809
mos_sf,res_typ,27,11,2.7,5p,48.3907
mos_fs,res_typ,27,11,2.7,5p,46.9190
mos_ss,res_wcs,125,00,0.9,5p,49.8840
