mos_corner,res_corner,temp_c,band_code,vctrl_v,period_s,thigh_s,duty_pct,period2_s,thigh2_s,duty2_pct,idd_avg_a
mos_tt,res_typ,-40,00,0.3,1.909220e-09,8.543900e-10,44.7507,1.909440e-09,8.544400e-10,44.7482,1.368460e-03
mos_tt,res_typ,-40,00,0.9,1.794440e-09,8.057100e-10,44.9004,1.793690e-09,8.034900e-10,44.7954,1.411620e-03
mos_tt,res_typ,-40,00,1.5,1.460480e-09,6.597000e-10,45.1701,1.460460e-09,6.596700e-10,45.1686,1.527420e-03
mos_tt,res_typ,-40,00,2.1,1.213470e-09,5.543500e-10,45.6830,1.214670e-09,5.549900e-10,45.6906,1.665400e-03
mos_tt,res_typ,-40,00,2.7,1.048990e-09,4.838600e-10,46.1263,1.049140e-09,4.837700e-10,46.1111,1.792380e-03
mos_tt,res_typ,-40,10,0.3,1.909220e-09,8.543900e-10,44.7507,1.909440e-09,8.544400e-10,44.7482,1.368460e-03
mos_tt,res_typ,-40,10,0.9,1.750670e-09,7.861500e-10,44.9057,1.750380e-09,7.859000e-10,44.8988,1.423460e-03
mos_tt,res_typ,-40,10,1.5,1.277640e-09,5.810400e-10,45.4776,1.276680e-09,5.815800e-10,45.5541,1.623390e-03
mos_tt,res_typ,-40,10,2.1,9.962300e-10,4.612000e-10,46.2945,9.951500e-10,4.613900e-10,46.3639,1.838350e-03
mos_tt,res_typ,-40,10,2.7,8.439300e-10,3.977300e-10,47.1283,8.449400e-10,3.967800e-10,46.9595,2.016690e-03
mos_tt,res_typ,-40,01,0.3,1.909220e-09,8.543900e-10,44.7507,1.909440e-09,8.544400e-10,44.7482,1.368460e-03
mos_tt,res_typ,-40,01,0.9,1.725920e-09,7.735200e-10,44.8178,1.724600e-09,7.749900e-10,44.9374,1.428780e-03
mos_tt,res_typ,-40,01,1.5,1.173620e-09,5.368400e-10,45.7422,1.173040e-09,5.374600e-10,45.8177,1.696670e-03
mos_tt,res_typ,-40,01,2.1,8.873200e-10,4.165100e-10,46.9402,8.869400e-10,4.156100e-10,46.8589,1.958500e-03
mos_tt,res_typ,-40,01,2.7,7.535000e-10,3.582500e-10,47.5448,7.540900e-10,3.590500e-10,47.6137,2.172760e-03
mos_tt,res_typ,-40,11,0.3,1.909220e-09,8.543900e-10,44.7507,1.909440e-09,8.544400e-10,44.7482,1.368460e-03
mos_tt,res_typ,-40,11,0.9,1.706570e-09,7.653900e-10,44.8496,1.707960e-09,7.668600e-10,44.8992,1.434710e-03
mos_tt,res_typ,-40,11,1.5,1.101760e-09,5.066300e-10,45.9837,1.102090e-09,5.080300e-10,46.0970,1.748110e-03
mos_tt,res_typ,-40,11,2.1,8.187900e-10,3.851200e-10,47.0353,8.187800e-10,3.850800e-10,47.0309,2.061070e-03
mos_tt,res_typ,-40,11,2.7,6.999600e-10,3.348100e-10,47.8327,6.999500e-10,3.348200e-10,47.8348,2.295420e-03
mos_tt,res_typ,27,00,0.3,2.024510e-09,9.451700e-10,46.6864,2.023300e-09,9.438000e-10,46.6466,1.237090e-03
mos_tt,res_typ,27,00,0.9,1.876540e-09,8.758500e-10,46.6737,1.876830e-09,8.761300e-10,46.6814,1.273950e-03
mos_tt,res_typ,27,00,1.5,1.528280e-09,7.139300e-10,46.7146,1.527190e-09,7.146100e-10,46.7925,1.397990e-03
mos_tt,res_typ,27,00,2.1,1.267850e-09,5.932300e-10,46.7902,1.268660e-09,5.934300e-10,46.7761,1.519330e-03
mos_tt,res_typ,27,00,2.7,1.097330e-09,5.140900e-10,46.8492,1.097710e-09,5.149500e-10,46.9113,1.644610e-03
mos_tt,res_typ,27,10,0.3,2.024510e-09,9.451700e-10,46.6864,2.023300e-09,9.438000e-10,46.6466,1.237090e-03
mos_tt,res_typ,27,10,0.9,1.822620e-09,8.512400e-10,46.7042,1.823150e-09,8.519500e-10,46.7296,1.292430e-03
mos_tt,res_typ,27,10,1.5,1.337130e-09,6.263600e-10,46.8436,1.337760e-09,6.274200e-10,46.9008,1.481500e-03
mos_tt,res_typ,27,10,2.1,1.042300e-09,4.889500e-10,46.9107,1.042660e-09,4.907000e-10,47.0623,1.688250e-03
mos_tt,res_typ,27,10,2.7,8.843500e-10,4.171500e-10,47.1702,8.862500e-10,4.166500e-10,47.0127,1.853430e-03
